qortnq**|좋습니당 택배도 빨리왔고 옷도 예뻐요 많이비치는 소재이고 여름에 입기 딱입니다 예뻐요 ㅋㅋㅋㅋ핏도 예쁩니다  좋아요좋아요 ㅋㅋㅋㅋㅋ목에 트임도 딱 예쁜더같애요 ㅋㅋㅋㅋ어깨라인이예쁩니다 ~~~~~~다움에 또구마하겠습니당
qortnq**|이뻐요 ㅋㅋ 편해서 좋아용 핏도 딱 좋습니당 편안한핏ㅋㅋㅋ소재도 얇아서 여름에 입기 좋을거같아요 ~~~~~~~~~기장도 적당하고 이뻐요이뻐요 이뻐요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ많이크지도 않아서 좋습니당 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
jjeki**|블랙이라 비침없고 부드러워서 하나만 입어도 문제 없을 것 같아요 반값 세일해서 6,000원에 샀는데 아무도 안믿을 듯퀄리티 진짜 좋네요엄마도 가격 듣고 깜놀하심폴리 소재가 면소재보다 전 세탁도 쉽고 항상 새옷 같아서 좋거든요 이 제품도 그래요화이트보다 바느질 상태가 눈에 안띄는 블랙이라 그런가 갠적으론 더 낫네요
dndudeoq**|보자마자 바로 구입했어요. 마음만은 색별로 다 사고 싶었는데 무난하게 검은색 회색 샀습니다. 너무 마음에 들어요!!!!!!!! m 사이즈 구입했는데 핏이 엄청 마음에 듭니다. 저녁이나 비올때 이거 입으면 춥지도않고 덥지도 않을거같아요 다들 꼭 사세요
ksh9608**|사진처럼애뻐용하지만..사진보다 ㅠㅠ 키때매그런지 살짝 짧아서 아쉽네용...ㅜ
ksh9608**|너무얇지도않고조아용
ksh9608**|저렴한가격에 잘산거같아용발에도딱맞아서 좋아용
ksh9608**|사진이랑똑같아여 애뿜
ksh9608**|딱원하던 핏의 셔츠를 찾은거같아요!!셔츠가 흐물흐물하지않아서 좋아요
ksh9608**|사이즈도 넉넉하고무엇보다 치마가 길어서 좋아요 ㅎㅎ하지만 구김이 심하다는거...ㅠㅠ이뿌게잘입을게요~
dnfl74**|예전부터 봉우리 청스커트 살까고민하다가 후기에서 다들좋다길래 이번에 삿어요ㅋㅋㅋ 진짜 쫀쫀하고 길이도적당하고 맘에들어요) 단 가운데줄이잇어서그런지 자꾸 그줄이걸을때마다 돌아가는거같아여ㅠ원래 삐뚤삐뚤한가요? 그거빼고는 다맘에들어요 정말잘산거같아요
bhj09**|이런 츄리닝바지 여름에 편하게 입기 좋아해서 하나 샀어요 흰색 사고싶어서 샀는데 속옷이 많이 비침ㅠㅠ근데 색깔 잘 맞춰서 입으면 될거같고 길이나 이런건 짧지만 원래 다 짧으니까..... 좀만 길었으면 활동하기 더 편할거같긴해요 그래도 예쁩니다
bhj09**|평소에 바지 26~7입는데 원래 딱붙는 핏인지 타이트해요 근데 그래서 예쁘고 날씬해보이고 핏이 좋아요 제가 살만빼면 진짜 예쁘게 입을 수 있을거같아요 여름이라서 못입을 줄 알았는데 얇아서 괜찮을거같고 무릎도 잘 늘어나는 재질은 아닌 듯ㅋㅋ
g406**|여름엔 스타킹을 신고다닐수없어서 주문했는데 잡티도 가려지고 좋았어요 ! 제가 커피색을 주문했는데도 좀 색이 하얀편이더라구요 주문하실때 참고하세요:)
choi08**|얇고 짱짱하고 좋긴한데전 자꾸 말려올라가네요 ㅠㅠ그리고 골반에 걸쳐지네요
choi08**|편하고 좋네요키가 작아서 그런지 좀 긴듯한 느낌도 있지만 접어서 입으니 괜찮아요여름에 입을정도로 엄청 얇진 않아요
choij**|남색옷이 하나 필요했는데 싸게 잘 산거 같아요!!
choi08**|솔직히 옷은 괜찮아요.그가격처럼 보이긴하지만 뭐 나름 입을만 한것 같아요. 그런데 문제는 지퍼입니다.이게 끝까지 올리면 고정이 안되고 계속 내려가네요몇걸음 걷다보면 어느새 지퍼가 반쯤 내려와있어요.오늘 회사에 처음 입고 출근했는데 너무 화가나서 후기를 쓰네요. 원래 다 이런건지 이제품만 이런건지..교환하고 싶어도 이미 택도 다 떼고 해서 뭐 어떻게 할수가 없네요. 그냥 돈버린듯....
choij**|가격도 싼데 옷 너무 이뻐요~
