hsyk1**|좋아요! 허리가 크다고 해서 좀 걱정했는데 저한텐 딱맞고 좋네요 ㅋㅋㅋ 얇고 편해요!
wpdls1**|기장이 생각보다 너무길어요ㅜㅜ작은키가 아닌데 무릎을 덮네용 ㅋㅋㅋㅋ기장수선해서 잘 입을께요 색은 이뻐요
sally9**|데일리로 입기 좋아요
sally9**|너무 타이트 하지않구 좋아요
qlllwll**|지금 옷이 저렇게 덮혀져 있어서 하이웨스트 인줄 모를 수도 있는데 이 바지는 진짜 진정한 하이웨스트 인거 같아요 ㅋㅋㅋ 사이즈도 제가 평소에 스키니 27~28 입는데 사이즈 m 시키니까 완전 잘 맞아요!! 하이웨스트 처음 사보는 데 성공한거 같아요
qlllwll**|포토후기 3등이에요~~~~ 다른 사이트 보면 길이가 너무 짧아서 사고 싶어도 못 샀었는데 제 키에 저 정도 길이라서 너무 이뻐요 너무 짧지도 않고 너무 길지도 않은 딱 이쁜 길이에요 ㅎㅎ 근데 아쉬운 게 입거나 벗을 때 몸에 딱 걸려서 불편해요 ㅠㅠ 그래서 팔이랑 목 넣는 게 좀 힘들어요 ㅠㅠ
qlllwll**|가격에 반해서 샀는데 옷에 한번 더 반햇네요 ㅋㅋㅋ 제일 기본적인 티인데도 재질도 좋고 얇아서 여름에 시원하게 입을 수 있을 거 같아요! 다른 데서는 이 가격주고 이렇게 좋은 거 못 사는데 고고싱 짱이에요~~~ 앞으로도 고고싱 자주 이용할께요ㅎㅎ
yeonjoo44**|너무 맘에 들어요 다만 목이 너무 잘 늘어나는것 같아서 아쉬워요 ㅠㅠ 한번 입었는데 목이 많이 늘어났더라구요 ㅠㅠ! 저기 청멜빵치마에 받쳐입었는데 너무너무 잘어울리고 친구들도 너무 귀엽다고 어디서 샀냐고 물어볼 정도에요! 너무 귀여워요!
qlllwll**|재질이 쫀쫀해서 자주 빨아도 목 부분이 안 늘어날거같아서 너무 좋아요 원단도 보들보들한게 카키색자체도 너무 이쁘고 반바지에 입어도 이쁠 거 같고 치마랑 입어도 잘 어울릴거 같아요 ㅎㅎ 핏도 루즈하게 떨어져서 맘에 들어요 !! 하여튼 너무 이쁩니다~~
yeonjoo44**|너무 이뻐요 화면에서 본 모습이랑 실제 택배 밭아서 본 보습이랑 똑같아요 색도 똑같고 친구들도 예쁘다고 하더라구요 ㅎㅎ 어디에 메도 잘 어울리고 받자마자 너무 많이 메고다녀서 지금 벌써 때가 탔을 정도에요! 완전 만족합니당 예뻐요오오오오오
yeonjoo44**|친구들도 보자마자 너무 귀엽고 이쁘다고 칭찬해주었어요 ! 햇빛이 쨍쨍한 날에 입으면 훨씬 더 예쁜것 같아요! 그냥 흰 반팔티에 입어도 너무 귀엽고 길이도 통도 적당한것 같아서 좋아여 정말 잘 산것 같고 산지 얼마 안됐는데 너무 자주 입고있을만큼 마음에 듭니다.
siye**|일단 딱 처음보면 드는 생각이 이쁘다에요!! 그런데 모델분이나 마네킹 착용샷으론 보이지 않는 큰 느낌이 있네요.. 그래도 일단 꽃자수가 너무 아기자기하고 귀엽구요 거기에 가운데 글씨가 있으니까 안심심해요!! 너무 더운소재도 아니라서 지금 딱 입기 좋은 두깨네요! 잘입을게요:)
gpdusldy**|허리부분편하고 너무좋아요
yeonjoo44**|옷이 너무 예뻐요 색도 예쁘고 화면이랑 실제랑 같아서 정말 받자마자 기분이 좋았어요 사이즈도 프리해서 누구나 입을수 있는 옷이니까 부담없이 사도 되는 옷 같아요 흰바지에 매치해서 입으면 정말 예쁘더라구요 재질도 정말 좋은것같아요 ~!!~~~
lo6**|귀여워요!재질도 좋고 양말 안신는거보다 훨씬 좋을거같아요
busy45**|얇아서 여름에도입고다닐수잇어서좋아요!!!!그리고또 질도좋고 오래오래입을거같아요 고맙습니당
lo6**|이런옷 사고싶었는데길이때문에 고민하다가 이번에 한번 삿네요~길이도 이쁘고 ㅠㅠㅠㅠㅠ데이트할떄 입으면 짱짱일둡 ^....^!!!!!!가격도 싸고 여러분 고민하지말고 사세욥
siye**|어느정도 기대를 했던 상품이에요. 그런데 생각보다 굉장히 품이 크네요. 입으면 거북스러운정도의 핏감을 아니고 딱 이쁘게 루즈한 핏 이에요. 그런데 마네킹컷보다 살짝 큰 느낌이 들어요. 쫘악 펼쳐놓으면 굉장히 큰옷같달까... 그런 느낌이 드네요. 그래도 여름에 무난하게 입을 수 있는 티네요 잘입겠습니다~~
lo6**|생각보다 괜찮아요 !!!!!!그냥 무난하게 입고다닐수 있을둡..^^!
yeonjoo44**|너무너무 귀여워요ㅠㅠ 민무늬 버선은 신발 벗었을때 약간 민망한데 귀여운 캐릭터 그림이 그려져있어서 신발을 벗어도 아무런 부담이 없을것 같아서 너무 좋아여 추천 완~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~전 추천
lo6**|재질이 천이 아니라도복?..커..튼?어쨋든 뭔가 특이한 옷감이었어욬ㅋㅋㅋㅋㅋㅋㅋ사진은 이렇지만 손목에 리본도 묶고...따로 이쁘게 입으면 이쁠거같아요 ㅠ.ㅠ....근데 지금 잠옷으로 입고있네요 ㅠㅠㅠㅠㅠ만 구천원 짜리 잠옷...ㅜㅜ
siye**|생각보다 훨씬 더 허리가 높은 하이웨스트였어요. 그래서 처음엔 조금 당황스러웠지만 입어보니 괜찮네요. 아쉬운점은 한쪽 바지원단이 조금 왼쪽으로 치우쳐있어서 자세히보면 음..? 이게뭘까 싶은 느낌이 들어요. 그래도 매우 만족스러워요. 다리도 길어보이구요! 검정이라 아무옷이나 다 잘 어울리네요.
lo6**|무난하게 잘 입고 다닐수있겠네요~!!!!싸고 괜찮고고고싱이 짱임 ^.^
mnnm**|화이트 구매했는데 생각보다 되게많이 얇더라구용 근데 그래두 들고다니기엔 괜차나용~~!
lo6**|크롭티 라기보다 상체가 짧고 키가 짧아서그냥 티로 입을려구요근데 옷재질도 괜찮고 시원할거같고그냥 잘 입을수있을거같아요~~~
siye**|오늘 택배 받았네요. 제가 생각한 핏이라 마음에 들었어요! 그리고 약간 빈티지한 느낌의 색상도 너무 이쁜 것 같구요. 아무 옷이나 다 잘어울릴 색이에요. 그런데 롤업된 부분이 조금 더 치밀하게(?) 고정되어잇다면 더 보기 좋았을 것 같네요!! 그래도 매우 만족한 상품이였어요. 이쁘게 입을게요 ㅎ
yeonjoo44**|너무 귀여워요~잃어버려서 한번 더 샀어요!
jhj9805**|진짜이뻐요!!!!!!제가본멜빵중에가장이쁩니다!!!
gksthf**|너무편해요~ 생각햇던것보다 신축성더너무좋고 색상도 적당하고 제가생각햇던거이상으로 좋아여ㅎㅎ 진짜 너무편합니다!!
jhj9805**|비교적날씬해보여요!!!!
songsy4**|블랙 S사이즈종아리가 살짝 끼긴 끼지만 만족하면서 잘 입고 다니겠습니다!!처음 슬랙스 도전했어요 ㅎㅎ
zve4**|검은색 구매했는데 사진그대로에요! 옷은 예쁜데 진짜 시스루라서 안에 속옷이 다 비쳐요. 밖에 나갈 때는 안에 나시를 입고 입어야 할 듯합니당 근데 나시 입고 입으면 예뻐서 괜찮은거 같아요~ 고고싱에서 제일 놀란 점은 엄청난 배송!!!진짜 너무 빨라서 많이 놀랐습니당ㅎㅎ~ 빠른배송 완전 좋아요!
haemin8**|써틴컬러베이직반티후기!!!!아이거진짜예뻐요ㅠㅠㅠㅠㅠ기장도딱엉덩이덮는기장이라서완전여리여리해보이는!!!!색ㄱ깔도딱무난한아이보리라서여기저기자주입을거같아요ㅎㅎㅎㅎ재질도가격에비해굿굿굿♡♡♡다른색깔도장만해야겟어요ㅎㅎㅎㅎ
zzz15**|한달만에왔는데사은품이런것도없고;빡치네요고고싱이런말하기뭐하지만이래도되나요?품질도안좋아요다비치고
amortis**|이뻐요!!!!!!!!!!!원피스로 입기에는 길이가 애매하긴한데 일반 트레이닝 반바지입고 입으니까 이쁘고 청순하다는 소리 꽤 드ㅡㄹ었어요ㅎㅎ 항상 감사합니다ㅎㅎ
haemin8**|베어티 슬리퍼 후기ㅠㅠㅠㅠ아 이거 징짜 짱짱 완소템이에요ㅠㅠㅠ가격도 완전 저렴이에다가 푹신푹신하고 진짜 편해요!!!!인터넷에서 주문한 신발 중에 이렇게 편한 신발 처음 봉거같아요ㅎㅎㅎㅎㅎㅎㅎ흰색도 하나 장만해야겟어요ㅎㅎㅎ
amortis**|괜찮은 것 같아요!! 클까봐 걱정했는데 통고 괜찮고 길이도 그렇고 맨날 하이웨스트만 입다가 입어서 어색한 기부는 있지만 잘산것같아요ㅎㅎ항상 만족하고 갑니다ㅎㅎ
haemin8**|바비 끈나시 후기!!!!!!여름 되고 이너로 입을 나시가 필요해서 찾다가 고고싱에서 주문햇어요!!!가격도 완전 저렴이에 가격에 비해서 퀄리티도 좋아요ㅎㅎㅎ올여름 내내 애용할거같아요!!!몇개더주문해야겟용ㅎㅎㅎㅎ고고싱짱♡♡♡♡
heeweon**|m사이즈 샀는데 너무 커서 s사이즈로 다시 주문했어요사이즈 딱 확인차 한 번 입어봤는데 통풍도 엄청잘되고 가볍습니다다만 허리랑 바지통이 너무 커요.. 슬랙스라 다른 숏팬츠랑 다른 점 감안하시고 구매하시면 될듯해요!
kwonmi**|잘받아써여^^소재가진짜좋아요 시원하보 부들한느낌ㅋㅋㅋ낮에는 나시만ㅇ저녁에는 가디건까지실용적인아이라서 두개구매했어요
heeweon**|같이 코디되있는 미니슬랙스 (블랙)이랑 같이 주문했어요분홍색 티 입고싶어서 주문했는데 생각보다 너무 크네요색깔은 사진대로 너무 예쁘게 나왔는데, 활동하기에 불편할정도로 저한테는 안맞아서 반품시켰습니다다른 예쁜 옷들에 만족할게요!!
heeweon**|회색 티셔츠가 필요해서 샀는데 크기가 너무 크네요..클거라고 예상하고 샀는데도 팔 길이, 기장 모두 길어요ㅠㅠ 미키는 귀여운데 크기 감당을 못해서 반품시켰습니다그래도 다른 예쁜 옷들에 만족할게요!!
akdrn**|우왕 처음으로 고고싱에서 구매했는데 기대이상이네요무지반티는 베이직하게 많이입는거고 가격대비 별 기대없이 샀는데 재질도 너무좋고 진심 대만족입니당 ㅋㅋㅋㅋ배송받자마자 후기남기네요 그정도로 만족
heosm**|포토후기 1등!!- 키, 몸무게 158/47-착용사이즈 f-착용후느낌은?(좋은점/나쁜점)좋아요 ㅋㅋㅋ사실 산지 좀 됬는데 지난주까지는 입을만 했는데갑자기 날씨가 더워져서 한낮에는 입기 좀 그래요 ㅠㅠ그래도 저녁되면 쌀쌀하니깐 입기 좋음..ㅎㅎ가격대비 옷 엄청 좋아요 별로 싼거같지도 않고 놀러가서 잘입고 다녔습니당니트재질인데 얇고 막 늘어나는 재질도 아니여서 편했어요!!
heeweon**|고고싱에서 산 다른 티 들은 사이즈가 너~무 커서 반품 신청했는데 스티치 티만 살아남았어요..너무 큰 티 부담스러워하시는 분들이 좋아하실거같아요 저도 그랬거든욥색깔도 예쁘고 청바지랑 같이 입으니까 잘 어울리네요스티치도 귀엽구요! 잘 입을게요~
heeweon**|교복안에 입어도 좋고 따로 입어도 좋아요통풍 잘되서 시원하고 핏도 크지 않게 딱 적당해요싼 가격에 딱 좋은 티 구매한거 같아서 넘 좋아요ㅎㅎ챠콜색으로 샀는데 베이직한 색깔이다보니 부담스럽지도 않구요이런 스타일 좋아하시는 분들께 추천합니다 !
wlswn94**|남자친구가 안짧다고 맨날이것만입으래용 ㅎ 감사해용
wlswn94**|친구가어디서삿냐고 자기도산다구 너무이쁘게 잘입구다녀용ㅎㅎ
wlswn94**|ㅠㅠㅠㅠㅠㅠㅠㅠ엠인데에에엥 너무작자나요오오오오오 이바지덕분에그래도 다이어트마음먹엇어요ㅠㅠ
lcsscl20**|이뻐여~
lcsscl20**|이뻐여~
lcsscl20**|이뻐여~
wlswn94**|진짜 잘입구다닙니당 감사함니당
lcsscl20**|이뻐여
mykmj5**|훔.....인기도 많고 후기도 많아서 그래도 믿고 삿는데 더 기대하고사서그런지 실망도크네요ㅠㅠㅠㅠ컨버스랑 나이키운동화 다 230 신고 이것도 230주문햇는데 저한테 커요...양말 신고 줄 끊어지듯이 꽉 묶어매면 발 안빠질정도..? 교환하기귀찮아서 그냥 줄 꽉매고 신고잇긴한데...암튼 실망이에요...
dongk23**|하얀색 m 샀는데 일부러 상의 허리안에 옷집어넣어서 입으려고 낙낙하게 시켰구요  편하고 잘맞는거같아요 스판끼도있어서 입고 다리 움직이기도 편하고요! 팬티도 안비치는거같아요, 근데 저는 모델처럼 치마밑단까지 다 쪼여지진않는거같아요 아래쪽이 좀 벙벙함 그래도 실제로보면 이뻐서 친구도 보고 ㄱ이쁘다고했어요 약간 잘구김이 보여서 신경쓰이는데 한번 다릴려고요!
dongk23**|배송빨랐어요~!물건받아서 열어보는데 너무예뻐서 기분좋았어요 청치마 몇번 샀던것들은 핏이 너무 구려서 안입게되고 구석에 짱박아놨는데 고고싱에 스커트 보러왓다가 움짤로 스판이 팡팡튕기는 걸보고 이거다 하고 바로 질러버렸어요 가격이 싸니까 그냥 막지르게되요 ㅋㅋㅋ 스판진짜 장난아니게좋고 처음에 여유있게 입으려고 m샀는데 딱보고 작을거같아서 식겁햇다가 입으니까 짱짱하고 핏이살아서 좋았어요!ㅋㅋ 스판진짜 좋아서 꽉맞게입어도 불편한거 하나도 모르겠고 색도이쁘고 밑단헤짐도 직장언ㄴ가 이쁘다고 난리였어여
mykmj5**|저는 되게 얇은 면재질인줄 알앗는데 두꺼운 반팔이엇어요!!!좋은듯 하면서도 좀 더운것같기도하고...ㅋㅋㅋㅋㅋ저는 그레이 삿는데 그래도 두꺼워서 땀나고 흔적 안묻을꺼같아서 그건 조아요...ㅋㅋㅋ암튼 그냥 무난한 티 같습니덩
mykmj5**|이거 사진으로 봣을때 모델언니가 입엇는건 진짜 이뻐보이는데 역시 제가입으니까 안되네요...ㅎ제가 생각햇던 스타일은 아니에요ㅠㅠ그리고 제가 키가 작은편인데도 조금 짧은편이에용 키크신 분들이 입으시면 엄청 짧을것같아요 참고하세용...
rkdgusdk**|고고싱 첫구매인데 일단 배송면에서 매우 만족했어요. 금요일 5시정도에 입금했는데 빨간날인 일요일.월요일 건너뛰고 화요일 낮에 일찍 도착했어요! 사이즈는 s시켰는데 솔직히 딱 입었을때 꽉끼는감이 있었어요 근데 스판끼가 장난아니라 불편한건 못느끼겠더라구요. 고고싱 배송도 빠르고 옷도 저렴한테 품질 굿 만족해오 첫구매~
mykmj5**|....사진만 보고 너무 기대하고 산것같아요생각보다 엄청 큽니다ㅜㅜ제가 키도 좀 작고체형도 작은편이긴한데 이건 진짜너무커요수선 무조건 한번 맡겨야할것같아요...모델언니도 체형이 글케 큰편은 아닌것같은데...진짜 모델핏이 따로잇는건가요ㅠㅠㅠ
joo36**|스판기나 밴딩하나도앖어서 벗을때 벗지도못하고 튿어질거같아요
hyunn**|진짜 발목보이는거 좋아해서 맘에 들어요 근데 허리가 커서 근데 허벅지가 맞아서 ㅇㅅaㅇ 어쩌라고 내몸이 그런걸 그리고 값하닌깐 괜찮구요 완전 몀이 아니라 폴리랑 섞인 면이에요~
joo36**|퉁퉁한편이라 박시한티찾고있었는데 다좋다는 후기보고 샀어요!근데 좀많이길어요ㅠㅠㅠㅠ161인데 엉덩이다덮더라구요  뭐불편한정돈아닌데 하여튼 이뻐요~
mykmj5**|저는 레드 샀어요!!! 진짜 맘에 들어욜제가 키가 좀 작은편인데 길이도 적당하고 ㅣ색깔도 예쁜빨간색이라서 입고나가면먼가 확튀긴 한데 이뻐요ㅋㅋㅋㅋ재질도 구겨지는 면이 아니라서 어디 앉고 일어나도 구겨질 걱정 안해도되서 좋습니당!!
hyunn**|값합니다 괜찮아요!
mykmj5**|배송이 조금 늦게와서 오늘 처음 입엇는데괜찮은것같아요!! 근데 먼가 한번 빨면목 확늘어날것같은 느낌.....ㅜㅜㅜ빨래 잘해야될 것 같아용그리구 반팔통이 커서 소매도 팔꿈치까지 내려와요!암튼 목 부분만 빼면 그럭저럭 만족합니다~
thdwltjs4**|캐릭터너무예뻐요!!이번여름에이반티로살아갈듯!너무맘에들어요~
thdwltjs4**|옷이깔끔하게잘나왓어요!아직입아보진않앗지만너무맘에들어용~
mintjim**|이거이거 하얀색으로 샀는데 회색도 사고싶어요 저 자수가 진짜 이쁘고 청바지나 멜빵이나 치마나 아무데나 무난하게 잘 어울리고 두께도 좀 있어서 잘 안비치긴한데 그래도 저는 이너입고 입었구 저거 입고 전주갔다왔는데 전주에서 고고싱 회사같은데 봤어요 고고싱 피팅모델한다구 종이붙어있어서 신기해했는데ㅎㅎㅎ 고고싱 옷들 진짜 좋아요 짱
sia07**|ㄹㅇ 이뻐요 진심 만족스럽..
wjdekdm**|기대이상 ㅎㅎ바지 핏이랑  이뻐요
sia07**|완전 이쁘고 편해요ㅜㅜ!잘산듯
wjdekdm**|배기팬츠 핏 이쁘게 입을께요 ㅎㅎ
erynee**|다리길이랑 허벅지는 겨우 맞는데 허리가 정말커서 수선해서 입고있어요ㅠㅠ
