hsyk1**|좋아요! 허리가 크다고 해서 좀 걱정했는데 저한텐 딱맞고 좋네요 ㅋㅋㅋ 얇고 편해요!
eills8**|m사이즈 구매했어요~ :>  전체적인 통은 정말 모델컷이랑 비슷했는데 저는 골반이 넓어서 그런가 입는데 조금 불편했었습니다ㅜㅠㅠ 밑위길이가 짧아서 조금 불편하지만 그외엔 괜찮았어요!
dbsk85**|240으로 샀는데 되게 이뻐요~~ 하루종일 신고 돌아다녔는데 아쉬운게 있다면 새끼발가락쪽이 좀 아픈거 같아요! 근데 제가 발 폭이 좀 넓은 편이라서 그런거같아요! 발폭이 적으신분들은 괜찮을거같아요~ 굽이 7센치라서 키도 커보이고 좋아요
yeojeo**|일단 같이 주문한 다른 옷땜에 약간 배송지연된 점이 아쉽네요. 평소 하의 정사이즈가 27이여서 M사이즈샀는데 생각보다 길이가 짧고 허리가 타이트해서 깜놀 ㅠㅠ근데 옷은 너무 이뿝니다. 여튼 가격대비 만족하며 잘입고다니네요 이쁨요... 색상별로 다 구매하고 싶네요 ㅠ
gkdms25**|고고싱은 진짜 기본템이 짱인거같아요ㅠㅠㅠㅠㅠㅠ 진짜 가격에 비해 핏도 퀄리티도 장난없네요!!! 첫구매인데 구매한 옷이 다 핏이 예뻐서 너무너무 좋아요ㅠㅠ 어깡도 소화할수있는 옷입니다ㅎㅎㅎㅎ
dbsk85**|지금입기에는 조금 더운데, 소매걷어서 입으면 입을만해요! 생각보다 두꺼웠어요~~ 하지만 봄이나 가을에 입으면 딱 적당한 두께였어요! 무늬도 여성스러운 무늬고 검정바지랑 같이 입으니까 예뻤어요~~ 옷이 모델이 입은 그대로 라서 좋았어요~~
dbsk85**|옷이 되게 빳빳하고 질이 좋습니다! 소매 걷어서 입으면 시원해보이고 좋아요! 특히 앞에 독특하게 줄로 연결되어있어서 입으면 여성스러워 보여요^^!! 이옷입고 치마랑코디해도 예쁘고 바지랑 코디해도 예뻐요~~ 어느 종류의 바지랑도 다 잘어울려서 좋아요~
gkdms25**|고고싱에서 첫구매인데 짱이예요!! 가격도 저렴하고 바지가 진짜 쫀쫀하니 좋습니다♥ 평소 26입고 27은 좀 큰감이있어서 고민하다가 27로 시켰는데 딱좋아요~ 진짜 색깔별로 쟁여두고싶어요! 고고싱짱 진짜 기본템bb!
dbsk85**|멜빵원피스 처음사보는데, 처음에는 너무 어려보이지 않을까? 걱정했는데 무난무난하게 예쁜거 같습니다~ 진청으로 샀는데 입고 친구들 만났는데 다들 귀엽다고 했어요~~ 질도 좋아서 더 좋아요! 근데 배송이 늦어서 좀 아쉬웠어요~~ㅠㅠ
dbsk85**|어떤 색깔의 바지랑 입어도 다 잘어울려요~~질도 좋고 슬랙스같은 종류의 바지랑 입어도 잘어울려요~~ 글씨 색깔이 독특해서 더 예뻐보이는 거 같아요~~ 특히 면 질이 좋아서 엄마께서도 잘샀다고 하십니다~~ 가격도 저렴하구요!! 꼭사세요~~
lina97**|일단 재구매의사100입니다 진심 레알!!!!짱이야 이옷 지금 작성하는 이유가재구매하려고온거에요근데 주의할게 옷 빨면 줄어드니까.. 아무래도 한 치수크게도괜찮을듯싶네요!!!진심 옷 질도좋고ㅜㅜ밖이든 집이든 편하게  입을수있어서 너무좋아요잘입을게요
dbsk85**|검정바지랑 같이 입었는데 되게 여성스럽고 예뻤어요 ! 전 모델처럼 입지 않고 단추하나 풀고 소매 접어서 입었는데 시원해보이고 친구들이 예뻐보인다고 했어요~~ 가격도 저렴하고 질도 백화점에서 사는거랑 비슷한거 같아요~~예쁘니까 걱정말고 사셔도 될거같아요!
duawngm**|포토후기 1등인건가요2인등건가요... 재질이 특이해서 좋았고 저는 모델분처럼 마르지않아서 저옷이 크지않게 보이는데 그렇다고 달라붙지도 않고 딱 맞아 보여서 말라보이는것 같이보여요!!
lina97**|핑크가 칙칙한 핑크가아니라 사진그대로 이쁜핑크였어요근데생각보다 구피가 작아써여ㅡㅡㅜㅜ길이도쪼끔짝고저처럼좀 하비이신분들은 살짝 실망하실지도모르겠네염그래도오랜만에ㅣ고고싱에서 쇼핑해서좋았습니다구피반티 강추합니다^^
dbsk85**|바지가 생각보다 짧긴한데, 여름에 시원하게 입을 수 있을 거 같아서 좋습니다~ 앵두 자수가 들어가서 더 여성스러워 보이는거 같아요 위에 티셔츠 코디 할때도 왠만한 티셔츠 다 예쁘게 잘어울려서 하나씩 가지고 있으면 코디하기 편하실꺼같아요~
dbsk85**|어떤 색깔의 바지랑 입어도 다 잘어울려요~~질도 좋고 슬랙스같은 종류의 바지랑 입어도 잘어울리니까 기본티로 좋은거 같아요~ 색깔도 무난한거 같습니다~ 하나씩 가지고 있으면 코디하기 좋을거 같아요~~ 사셔도 후회 안하실거에요 추천합니당 ㅎㅎ
dbsk85**|바지가 생각보다 짧긴한데, 여름에 시원하게 입을 수 있을 거 같아서 좋습니다~ 베이지 색깔로 샀는데 베이지색 바지는 처음 사는건데 무난하게 잘 입을 수 있을 거 같아요~ 색깔이 여러가지 많아서 다른색깔도 구매하고 싶어요~ 입었을때 핏도 괜찮은거 같아요.
dbsk85**|어떤 색깔의 바지랑 입어도 다 잘어울려요~~질도 좋고 슬랙스같은 종류의 바지랑 입어도 잘어울리니까 기본티로 좋은거 같아요~ 색깔도 무난한거 같습니다~ 하나씩 가지고 있으면 코디하기 좋을거 같아요~~ 사셔도 후회 안하실거에요 추천합니당 ㅎㅎ
dbsk85**|다리 라인이 예쁘게 빠진거 같아서 좋아요~~ 요즘 계속 이바지만 찾고 있어요!! 질도 좋고 면이 두껍지 않아서 여름에 입기 좋을거같아요~~ 동생도 입어보고 좋다고 하네요! 고고싱 바지가 다 질이 좋아서 자주 이용할 거 같아요~~ 감사합니당
dbsk85**|이 옷사고 바지랑 입으면 잘 안어울리는 거 같아서 흰색치마도 같이 구매했는데 음.. 모델 핏까지는 안나오지만 입을만 한거 같습니다~ 색깔이 화면보다 더 밝은거 같아서 아쉬웠는데 그래도 예쁩니다~~ 하나씩 가지고 있으면 좋을거같아요~추천!
tjdgus65**|베이지색 티 갖고 싶어서 기프티드 반티로 구매했는데 일단 천은 좋은것같아요 너무얇지도않고 비치지도않고 쫀쫀한 재질이에요 가운데에 로고있는것도 진짜이쁘고 길이도 적당한것 같아요 색상도 이쁘구여!!사진에 있는색상보다는 진한 베이지색이여서 색은 예뻐용 근데 쪼금 아쉬운 점이있다면 팔길이가 약간 애매해서 차렷하고 서있으면 어깨가 약간 넓어보이고 펑퍼짐하게 퍼지는 감이있어서 약간 박시하게 입기에 좋은것같아요!무튼 고고싱에서 베이직색 티셔츠 득템한것같아용~♥
dbsk85**|어떤 색깔의 바지랑 입어도 다 잘어울려요~~질도 좋고 슬랙스같은 종류의 바지랑 입어도 잘어울리니까 기본티로 좋은거 같아요~ 색깔도 무난한거 같습니다~ 하나씩 가지고 있으면 코디하기 좋을거 같아요~~ 사셔도 후회 안하실거에요 추천합니당 ㅎㅎ
dbsk85**|미키미니가 있어서 귀여운 티셔츠에요! 어떤 색깔의 바지랑 입어도 다 잘어울려요~~질도 좋고 슬랙스같은 종류의 바지랑 입어도 잘어울리니까 기본티로 좋은거 같아요~ 색깔도 무난한거 같습니다~ 하나씩 가지고 있으면 코디하기 좋을거 같아요~~ 사셔도 후회 안하실거에요 추천합니당 ㅎㅎ
sml10**|사진상으로 봤을때에는 두꺼워 보였는데 오히려 하늘하늘하게 옷이 얇아서 너무덥지만 않은날이면 요즘 입어도 좋을것같구요 적당히 얇아서 저는 원피스랑 같이 입었는데 뭔가 여리여리해보인다고 해야할까.. 안에가 살짝 비치는 면이기는 해요! 그래도 정말 여기저기 코디하기에는 좋은 만족스러운 셔츠같아요 ^^
dbsk85**|어떤 색깔의 바지랑 입어도 다 잘어울려요~~질도 좋고 슬랙스같은 종류의 바지랑 입어도 잘어울리니까 기본티로 좋은거 같아요~ 색깔도 무난한거 같습니다~ 하나씩 가지고 있으면 코디하기 좋을거 같아요~~ 사셔도 후회 안하실거에요 추천합니당 ㅎㅎ
gkdms10**|처음에 늘어나면 어쩌나 고민많이햇는데그렇개 많이안늘어나고 비치지도않고길이도 적당해요 ! 만족
