150063834**|키가 작은데도 길이가 조금 짧긴 하지만 안에 검은 반바지 입고 입으면 딱 이쁠것같아요 !!!! 이 가격에 이쁜 옷 살 수 있어서 넘무 좋습니다 ㅠ.ㅠ 고고싱 자주 올게욥 ♥️♥️
christy10**|여러분 이 블라우스 꼭 사세요 ,,,,,,, 존예탱구리,... 제가 고고싱을 사랑하는 이유 ,,,... 일단 제가 프린팅제품이 잘 안어율린다는 말을 많이 들었는데 이 옷을 입고는 그런말을 들어본적이 없어요! 아무나 상관없이 다 잘어울리는 디자인 인거 같고 색깔도 봄봄 스러우니 너무 예븝니다!!♥️♥️ 꼭사세요❤️❤️❤️
fkdldhs84**|이거 입어보니 그냥 잘라낸? 옷인거같았는데.. 그것 빼고는 좋네요 박시하게입는데.. 커서 좋아요
hyn90**|핑크 색 샀는데 파스텔 톤의 이쁜 핑크색이라 완전 이뻐요:)리본도 있어서 포인트 주기도 좋고 허리 라인을 강조하기도 좋은것 같아요~
fkdldhs84**|이건 정말 좋았어요 얇아서 지금입기도 편하네요 추천!!!!!!!!!!!!!!!!!!!!!!!!!!
sweetgirl**|옷이 너무 예뻐용~~~ 많은 기다림끝에 겟하게 된 상품이라 그런지 너무 에쁘네요 ㅎㅎ 잘 입겠습니당
hyn90**|여름에 입어도 안 더울 것 같아요!!아이보리 색으로 샀는데 안에 속치마도 있어서 비칠 걱정 없이 입을 수 있을 것 같아요^^
sweetgirl**|오랜 기다림끝에 옷이 와서 일단 안심이 되고 기쁘네요 ㅎㅎ그만큼 인기가 많았던 아이템이었나 봅니다 ㅎㅎ옷은 사진처럼 생겼고 예쁩니당~~~ ㅎㅎ
fkdldhs84**|목부분이 잘안늘어나는거 빼고는 좋네요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
alfo48**|처음으로 와이드 청바지 샀는데 진짜 통이 커서 편해요 안입어봐서 안어울릴줄 알았는데 하이웨스트라 다리 진짜 길어보이고 접어입으면 또 다른 매력으로 귀여워요 나중에 기회되면 진청으로 구매하고싶어요 사이즈는 조금 커서 다행히 벨트랑 같이 사서 같이 착용했더니 괜찮습니당
hyn90**|색깔 진짜 너무 이뻐요!!!!!!!!!!!!!!!!!목 부분도 적당하게 파여서 크게 신경쓰이지도 않고 좋아요!!!
hyn90**|색깔도 이쁘고 적당한 팔 길이인것 같아요~큰 무늬는 별로 좋아하지 않은데 그림 크기도 적당해서 포인트로 입기 적당한 것 같아요:)치마랑 매칭하기도 좋고 바지랑 맞춰입기도 좋아서 만족해용~~
alfo48**|벨트가 탄탄해서 좋아요 가격도 저렴하고 얇은 벨트는 금방 헤졌는데 이건 꽤 오래갈거같네요 좋습니당
smfldnf**|포토후기 1등이드앗~~ 입고지연으로 부분배송 해주셨던 것은 진짜 좋았어요~! 색은 사진보다 좀 더 연한?밝은 색이었구 밴딩이라 정말 편하궁 바람도 솔솔ㅋㅋㅋㅋ 길이도 적당해요 저에겐~
hans50**|빨간색상을 봄가을에 자주 입었는데여름용으로 파란색도 구매했어요살짝 구김은 입지만 핏도 좋고 편합니다
hans50**|구매한 바지 중에 제일 마음에 듭니다사이즈도 적당하게 맞고 착용감이 편해요디자인도 예쁩니다
smfldnf**|입고지연으로 조금 늦게 받아봤지만ㅠㅠ 출고되고 다음 날 바로 받았습니다. 노랑색이랑 핑크색 시켰는데 노랑색이 좀 탁한 머스타드였구 핑크도 좀 톤다운된거라 제가 생각한 색상이라 달라서 좀 놀랐어유...! 차분한 색이에요! 재질은 시원해서 여름에 입기 좋을 것 가타용
popo46**|하비라 반바지따문에 엘샀는데엠살껄 그랬네요 ㅠㅠ 따로 수선집가서 허리 수선하긴 했지만 편하구 좋아요 ㅎㅎ 재구매할게용
hans50**|살짝 타이트한 느낌입니다그건 제 뱃살 때문인지라..ㅠㅠ딱 기본으로 입기 좋은 바지입니다!
popo46**|진짜 이가격에 이디자인 찾기 힘들어여 .. 진짜 좋아요 ㅠㅠ 굿 추천할게요 예쁘게 입을게요 감사합니당
popo46**|예뻐영 ㅎㅎ 지금입어두 될정도에요~~!! 가격대비 굿입니다!
popo46**|안에 끈나시같은거 입고입어야댈거같아요!! 생각보다 파였네요 ㅜ 그거빼고는 완전좋아요 ㅎㅎ 배송도 주문한지 이틀만에오구.. 굿이에요!!
ghkd07**|역시 모델컷은... 실제와 다르다는 걸 항상 받고 나서 깨닫네요ㅠㅠ 뒷밴딩이라 주름 지는데 뒷밴딩잉 걸 확인 안 하고 사가지구.. 그게 좀 별로였는데 색상이랑 디자인은 예뻐요!
ghkd07**|흰색 샀는데 비침 살짝 있구 진짜 쫀쫀..... 근데 쫀쫀을 벗어나서 꽉 끼고 팔뚝에 살이 꽤 있는 편이라 그런지 팔 굽힐 때 정말 힘들었습니다 ㅠㅠ 그리구 소매 트임 때문에 음식 먹을 때 불편해요. 저한테 안 어울리는 거인지... 생각보다 옷은 별로 안 예뻐요,,,
ghkd07**|정말 기본 양말이죵..... 오트밀 색상 샀는데 괜찮아요 예뻐요 기본으로 신기에 좋아요오옹ㅇ
rkfqns**|가격이 너무 싸서 고민하다가 샀는데 싼티도 별로 안나고 예뻐요 이번 여름에 많이 입고 다닐 것 같아요
polly67**|후기 없어서 구매할 때 많이 망설였는데 결론부터 말하자면 바지 쨩쨩!!일단 색상은 상세컷보다 좀 더 연청에 가까운 것 같아요 상세컷 중청이 너무 맘에 들어서 구매했는데 항상 입던 중청보다는 더 밝은 느낌?어두운 연청? 연청과 중청 그 사이같아요 하지만 이제 여름이니까요 좋습니당!사이즈는 제가 상체에 비해 매우 하비라ㅠㅠ m주문했는데 만약 하체가 좀 튼실하다 싶으시면 m해도 될 것 같아요 신축성 없어서 너무 딱 맞으면 불편할 것 같기도ㅠㅠ저는 m 사이즈가 크지도 작지도 않고 딱 좋았어요 다만 허리가 큰 부분은 어떤 바지를 입든 제 몸이 그렇기 때문에ㅠㅠ벨트하면 될 것 같아여 윗옷 바지 안에 넣어입고 싶어도 엉밑살 스트레스때문에 맨날 윗옷으로 엉덩이 가리고 다녔는데 이건 절대 노노 끼지도 않고 딱 예뻐요ㅠㅠ이제 맘껏 바지 속에 윗옷 구겨놓고 멋낼래요 흙흙 고고싱에서 바지 처음 사봤는데 이제 여기서 바지 계속 구매하려구요!
sh124**|스판끼가 없는 것 치고는 나름??편한 느낌의 바지였고앞 뒤 찢어진 것도 너무 과하지 않아서 과한게 부담스러워 싫은 사람들한테는 좋은 바지인 것 같아요~~
sacas**|진짜 편해요 사실 제가 찾은건 좀더a라인 치마였는데 이건 H라인이긴한데 쫀쫀해서 너무편해요ㅠㅠ살이 있는편이라 L샀는데 딱 좋아요♡완전맘에듭니다ㅎㅎ
sohyun12**|촤르르 떨어지는 핏이 너무 맘에들었어요평소m사이즈/27~28 입는데 딱 제 허리에 맞는 사이즈였어요.근데 단추가 너무 약해서 바로 떨어져버리네요그리고 제가 엉덩이가 커서 그런가? 엉덩이 부분이 너무 부담스럽네요엉덩이가 조금 작게 나왔나봐요 근데 이런적은 첨이에욬ㅋㅋㅋㅋㅋㅋㅋ무튼 친구줄거예요
ygrhd**|스판은 스판인데 엄청 편하지는 않아요..! 근데 그러니까 다리살을 잡아주는 느낌도 나고 선은 예뻐보여요 ㅋㅋㅋ 하지만 가부좌다리는 못할거같아요.. 정M사이즈 입었는데 핏되는 느낌납니다. 발목부분도 완전 딱맞아서 입고벗을때 살짝 불편하구요 가격이 저렴하다보니까 마감처리나 실밥같은건 직접 정리해주시는게 좋아요 ㅎㅎ 163인데 길이는 살짝 짧은 것 같습니당
sacas**|이뻐용ㅎㅎ근데 주름이 많이지는 소재라 관리할때잘해야할것같아요. 전 완전오프숄더는 좀불편해서 홀터넥있는걸찾았는데!!^^완전 탁월한 선택한듯~♡
sacas**|진짜 이뻐요ㅎㅎ제가 살이 있어서 55반까지 추천한다는 고고싱의 말을 무시하면서도 걱정이 됬는데 길이도 딱좋고 하늘하늘이쁩니다ㅎ 하지만 살빼고입으면 더이쁘겠죵ㅎㅎ나들이갈때입을께용♡
1892928070959354**|이뻐요 근데 다시 안팔아요?? 저 이거 작년에 샀는데 잃어버려서 다시 살라고 들어왔는데 상품을 찾을수가 앖네용..
ygrhd**|딱 이름그대로 벨트의 정석이에요 ㅋㅋㅋ 너비도 무난하고 두께도 무난하고 재질도 무난하고! 벨트버클이 그냥그런 은색이 아니라 더 예쁜 것 같아요! 좀 더 안쪽까지 구멍이 뚫려있으면 더 좋았겠지만.. 쓸만하네요! 벨트 헤지면 다시 구매할게요 ㅎㅎ
wownd33**|와 스판 1도없구요 제가 살이쪄서 그럴꺼라고 생각하다가 현타와서 적는게아니라 진심으로 너무작아요 청바지도 27입고 반바지도 보통 파는 M사이즈 딱맞거나 조금크다고생각하고입는데 이건정말 25아닌가요 교환신청했어요 라지로 엑스라지도 있었으면 엑스라지 했을것같음 나혼자 알고있으면 안될것같아서 적어요 으어어어어엄츠어어어엉나게 작습니다 스판없어요 한치수크게사시는걸추천함 사실 상세사이즈 안본 내잘못이에요 맞아요
210817752784074**|무난하게 신기좋은 기본템인거같아영 1100원치고 꽤 오래신는거같아여ㅎㅎㅎ 배송은 2일만에왔구 색깔별로 사기 좋아요 하나씩 장만하시면 좋겠네요
210817752784074**|현장체험학습갈때 입으려고 삿는데 너무너무 이뻐여 ㅠㅠ 저한텐 살짝 전체적으로 커서 수선맡겼어요 ㅜㅜ 이점 참고하시구 핏이 애초에 다른ㅊ투피스들처럼 딱붙는게 아니라서ㅎㅎㅎㅎ 그래도 예쁘게 잘입었어용 베이지색샀습니당
juhee19**|핏도예쁘고 색감도 괜찮은거 같아요.약간 아쉬운 점이 있다면 길이가 애먜한것 같아요. 다리가 기신분들에게는 약간 비추합니다.하지만 핏은 굿굿굿
milk64**|너무너무어무이뻐요오래 기다렷지만 그래도너무이쁘네요ㅠㅠ넘맘에들아여ㅠㅠㅠ기다린보람은잇네여 그래도 너무   늦엇어요ㅠㅠ그치만 만족합니다!!!!힘내세요
ruddmswjd**|골반이 좀 넓은 편이라 골반 올라갈때는 살짝 딱맞다??이런느낌이엇는데 막상 입고나니까 허리가 너무 크더라구요ㅠㅠㅠ 그래도 막 보기싫게 크거나 그러진 않아서 입을만해요 그리고 속바지가 같이있어서 속옷 비치지도 않구 활동하기 편해서 좋아요ㅎㅎ
ruddmswjd**|그냥 여기저기 편하게 매치하기 좋은것 같아요ㅎㅎ 연찢청에 검은색 티셔츠입고 그위에 이거 입었었는데 예쁘다는 소리도 많이 듣고 기분 좋았어요!!
leeng02**|살짝 언발? 같아요 앞기장이 1센티 정도 짧은데 입으면 별 티도 안나는,, 바지가 살짝 크게나온건지 허리가 좀 크네요 스몰 샀어도 됐을 것 같아요! 색상은 상세샷이랑 똑같고 연청으로 하나 더 갖고싶네요 이뿝니다!
alzl**|안녕하세요~^^♡ 2011년1월부터 지금까지 꾸준히 고고싱 이용하고있는 사람입니당! 고고싱 이용한지 벌써 7년이 흘렀는데 고고싱이 변화하는 모습들도 다 봐와서그런지 제가 애용하는 쇼핑몰이 발전해나가는 모습 보니까 너무뿌듯하더라구용ㅎㅎ 가격도 착하고 옷도 예쁘고 심지어 배송비까지 혜자스러운 ㅜㅜ♡ 항상 온라인으로 옷 살때 고고싱 한번씩은 꼭 봅니당ㅎㅎ 그러다가 이번에 티몇가지랑 벨트랑 지금 후기를 쓰고 있는 흰색 반바지! 까지 구매 했는데 아마 제가 여기 이용 하면서 포토후기 남긴건 처음인것같기도해용ㅎㅎ 기억도 잘안나서 ㅜㅜ 그만큼 고고싱 서비스에 많이 감동해서 후기를 쓰고 싶어지더라구요 ! 예전만큼 몸매도 좋지않고 살도 많이 쪄버렸지만 그래도 포토후기 쪼금이라도 남기고싶어서 여러 구매자분들께 도움이되고자 작성해봅니다 ㅎㅎ 진짜 이름값하는 벨트 구매했습니다 ㅎㅎ 데일리로 스키니,반바지 어디에나 잘 어울리고 심지어 자켓에 허리조임용으로 사용해도 진짜 너무 잘어울려요 ㅜㅜㅜ 화이트,블랙,브라운 이렇게 세컬러 장만했는데 진짜 너무 뿌듯해요 ㅎㅎㅎㅎ소장가치 완전탑클래스!!!! 무난한기본템필요하신분들 가격도 저렴하니까 저처럼 깔별로 구매 하세요!!@ 하나만삿으면진짜 후회할뻔했어요 ㅜㅜ 최고에요최고!!♡♡♡진짜 기본템은 고고싱이에요!!!!~5만원이하로 구매 했음에도 불과하고 부분배송 부탁드렸더니 두번이나 더 부분배송 해주시고 ㅜㅜㅠㅜ남는게없을것같아요진짜 고객 서비스 이렇게 좋은곳은 고고싱뿐이에요ㅜㅜ!!!!앞으로 제 후기글 보시는 모든 고고싱언니들 ! 진짜 고고싱만한 쇼핑몰 없으니까 다른곳 보시더라도 고고싱 꼭 봐주세요!! 기본템이상으로 살거 많아요 ㅎㅎ 지금도 고고싱 너무잘되고있는거 같아서 기분 좋지만 더 잘됬으면좋겠어요 ㅎㅎㅎ 고객복지 최강 고고싱 번창하세용!!!!!!!!♡♡♡♡♡
xnangelbi**|라뉴잇 레터링티 아이보리 구매하였습니당 우선 찰랑거리고 쫀쫀한 소재의 반팔티만 입다보니 이런류의옷만찾게되는데 마침 고고싱에서 퀄리티갑 가격대비 갑 ㅜ 이여서 구매했는데 진짜 사진에서보시는것처럼 신축성 장난없어여..
xnangelbi**|샴페인 레터링 반팔티 아이보리 구매하였습니당 우선 찰랑거리고 쫀쫀한 소재의 반팔티만 입다보니 이런류의옷만찾게되는데 마침 고고싱에서 퀄리티갑 가격대비 갑 ㅜ 이여서 구매했는데 진짜 사진에서보시는것처럼 신축성 장난없어여..
xnangelbi**|셈플 심술 티 아이보리색상 구매하였습니당 우선 찰랑거리고 쫀쫀한 소재의 반팔티만 입다보니 이런류의옷만찾게되는데 마침 고고싱에서 퀄리티갑 가격대비 갑 ㅜ 이여서 구매했는데 진짜 사진에서보시는것처럼 신축성 장난없어여..
leeng02**|이거 너무 이뻐요 ㅠㅠ 색은 그냥 상세샷 그대로 완전 화이트구요 어떻게 보면 속옷 비칠수도 있을 것 같긴 한데 또 어떻게보면 괜찮은거같아요ㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 밑위가 조금만 더 길었으면 좋았으련만..... 그래도 예쁘니까 입습니다 !
alzl**|안녕하세요~^^♡ 2011년1월부터 지금까지 꾸준히 고고싱 이용하고있는 사람입니당! 고고싱 이용한지 벌써 7년이 흘렀는데 고고싱이 변화하는 모습들도 다 봐와서그런지 제가 애용하는 쇼핑몰이 발전해나가는 모습 보니까 너무뿌듯하더라구용ㅎㅎ 가격도 착하고 옷도 예쁘고 심지어 배송비까지 혜자스러운 ㅜㅜ♡ 항상 온라인으로 옷 살때 고고싱 한번씩은 꼭 봅니당ㅎㅎ 그러다가 이번에 티몇가지랑 벨트랑 지금 후기를 쓰고 있는 흰색 반바지! 까지 구매 했는데 아마 제가 여기 이용 하면서 포토후기 남긴건 처음인것같기도해용ㅎㅎ 기억도 잘안나서 ㅜㅜ 그만큼 고고싱 서비스에 많이 감동해서 후기를 쓰고 싶어지더라구요 ! 예전만큼 몸매도 좋지않고 살도 많이 쪄버렸지만 그래도 포토후기 쪼금이라도 남기고싶어서 여러 구매자분들께 도움이되고자 작성해봅니다 ㅎㅎ 제목에 나온것처럼 스판진짜장난없어요!!! 제가 살찌기전에도 미디움입었는데 살찌고난후 이번에도 미디움을 시켰는데 스판기덕분에 무리없이 엄청 잘들어갔어요 ㅎㅎㅎ 완전 스판기짱짱하고 착용감도 편하고 ㅎㅎㅎ 지금 살 빼는중이라 빼고나서입으려했는데 후기쓰려고 입어봤다가 스판기에 놀랐어요,,ㅎ 흰색 기본 반바지 고민 하시는분들 진짜 강추합니다미디움사이즈도 생각보다 66까지는 잘 들어가니까 마음놓고 구매하세요!! 진짜 기본템은 고고싱이에요!!!!~5만원이하로 구매 했음에도 불과하고 부분배송 부탁드렸더니 두번이나 더 부분배송 해주시고 ㅜㅜㅠㅜ남는게없을것같아요진짜 고객 서비스 이렇게 좋은곳은 고고싱뿐이에요앞으로 제 후기글 보시는 모든 고고싱언니들 ! 진짜 고고싱만한 쇼핑몰 없으니까 다른곳 보시더라도 고고싱 꼭 봐주세요!! 기본템이상으로 살거 많아요 ㅎㅎ 지금도 고고싱 너무잘되고있는거 같아서 기분 좋지만 더 잘됬으면좋겠어요 ㅎㅎㅎ 고객복지 최강 고고싱 번창하세용
leeng02**|이런 헤진 반바지 찾아보는데 매우 저렴해서 구매했는데 포인트주기 딱 좋은거같네요 사이즈도 잘 맞고 예쁩니다! 무엇보다 색이 너무너무 이뻐요
leeng02**|반바지는 밑위가 짧게 나오는 바지들이 많아서 하이웨스트 필요해서 샀는데 너무 맘에 듭니당 다리도 길어보이고 색도 예뻐요 그냥 말그대로 진청입니댜! 하이웨스트라 스몰 샀어도 됐을 뻔 했어요 허리가 사알짝 크지만 벨트해서 입으려구요! 기장도 부담스런 기장도 아니라 맘에 듭니닷
eif**|이렇게 얇을 줄 몰랐습니다. 심하게 얇고 흐물흐물거려요. 돈이 너무 아깝네요. 사놓고 한두번 입고 방치해둡니다
jac061**|갑자기 체크남방에 빠져서 구매하게 되었어요디자인도 이쁘고 박시하게 입으면 이쁘더라구요넉넉하게 입으시면 추천해요
khg053**|키작은 사람한테도 딱 좋은 핏이에요 소매 끝 손목부분에 스판이 좋아서 맘에 들어요 또 골반쪽에서 엉덩이 전까지 딱 내려오니까 다리도 길어보이고 가성비 좋은거같아용 !
jac061**|얇은 가디건 입어보고 싶어서 구매하게 되었고검정색이랑 카키색 샀는데 둘다 만족하고 잘입고있어요!
khg053**|마감처리도 잘 되어있고 튼튼한거 같아서 너무 좋아요 사진 그대로 이뻐서 정말 잘 매고 다녀야겠어요!! 또 은근 들고다니는 짐들이 많은데 두구간으로 나눠져있고 은근 넓어서 수납력이 !! 맘에듭니다 정말 ㅠㅠ 블랙 좋아하신분에게 강추드려요
jac061**|디자인이 마음에 들어서 구매하게 되었는데 질도 괜찮고여름에 자주 입게 될거 같아요 잘입을께요~!
736598575**|색깔도 원했던 색이었고, 스판도 적당하게 잘 들어가 있어서 편해요.키가 크지 않아서 길이도 걱정했는데 아주 예쁘게 떨어져요. 봄과 가을에 예쁘게 입을 수 있을 것 같아요!!
jac061**|이런 후드집업 평소에 가지고 싶어서 구매하게되었는데 데일리용으로 입으면 좋고 이거입고 라이더 자켓 컬쳐도 이쁠거 같아용
ssr15**|이거 진짜 물건이네요 엄청 싼데 포인트 되구 이뻐용어깨 부분 줄이 두꺼워서 별론가 했는데입으니까 이뻤어요색깔 남은 게 없어서 네이비로 샀는데약간 물빠진 남색? 파란색 느낌이에요 이쁨이쁨ㅎㅎㅎ여리여리해보여요
jac061**|평소에 고고싱 자주 애용하는편인데 제가 산 바지중에서 가장 마음에 드는 바지 입니다 ! 사서 입으시면 알꺼예요 모든면에서 만족합니다
did81**|깔깔 어 그냥 저냥 막입기 좋은 치마 하나쯤 있으면 옷장에 이롭습니다 어 음 요기 벨트가 이ㅣ쁨 (중요) 벨트를 위한 치마라 해도 과언이 아니다(주관적이니 참고하셔용❀) 또 머더라 아 남색이지만 언뜻보면 검정임니다 빛비추면 남!색!!되는 고런 치마 임니다 그럼 안냥!
dkfma96**|평소사이즈 26-27이고, 살면서 프리사이즈가 안 맞아본 건 처음이에요 골반이 있거나 살이 많은 편도 아닌데 허벅지에서 걸려서 안들어 가요 지퍼 잠굴 생각도 못해봤구요 후기 남기신 분들은 어떻게 입으신건지...완전 날씬하신 분들인거 같네요..
did81**|뜨아 예뻐라소매도 짱짱하고 생각보다 싼티도 안나서 놀랐ㅅ슴니다 세일할때 사서 완존 음 굳 알찬소비여씀니다 진짜 음 예쁨니다 여러분 사시어요 예쁨니다 중요하니까 두번 강조하는겁니다(뚜둥) 고민안하면 가던길 마저 지나가시고 어머 예쁜데 완존 내꺼스럽네 하시면 고민하지 마시고 사십시오 오래는 못입어도 먹는것처럼 한순간은 아닙니다
daini12**|이뻐용!! 수련회 가서 다른 쇼핑몰에서도 옷 잔뜩 샀는데 진짜 이게 제일 마음에 들어용.. 이것저것 코디하기도 좋고!!
cjswldu**|첫 포토후기입니다 !! 여름 휴가용으로 딱 좋을 거 같아요 !! 제가 키가 작아서 길이는 발목까지오는데 안 펑퍼짐하고 H라인이라 이뻐요 근데 좀 아쉬운건 생각보다 어깨뽕이 크고 가슴쪽이 많이 파져있어용 .. 글고 배송이 조금 느렸어요 ㅠㅠ 그래도 이쁘니까 만족합니당 ㅎㅎ 면도 얇아서 길어도 별로 안더울거같아요 이쁘게 잘 입겠습니다~
wish**|배송은 이틀정도 걸렸구요 생각보다 옷이 많이 얇아요 런닝입고 꼭 입어야 될거같습니다.
wish**|배송은 이틀만에 도착했구요 바지천이 힘이없네요 저 한테는 허리가 조금 큰편입니다.
wish**|배송은 이틀만에 도착했어요 허리사이즈가 제가 입기에는 약간 크지만 맘에듭니다.
kcy65**|이런 옷 처음 시켜보고 후기가 하나도 없어서 고민 많이 하고 결정했는데 너무 이쁜것같아요 ㅠㅠ 키가 작아서 혹시 길면 어떡하지 생각했는데 딱맞고 여러분 모두 사세요  짱입니다 하늘하늘하고 너무 이뻐요!!색상은 딱이쁜 아이보리 색이에요 꽃무늬도 너무 예뻐요 !! 배송도 시킨 그날에 바로 보내주셨어요
impin**|그냥 이 가격대 티인거같아요원단이나 프린트는 그냥 쏘쏘그러나 길이가 너무 어쩡쩡해서 ㅜㅜ길이만 조금더 길었다면 딱 좋았을거같아요
impin**|처음 배송벋은 상품이 불량이라 바로 교환처리해주셨어요이상품은 배송도 빠르고조끼랑 같이 입어도 이뿐거같아요만족합니다
impin**|딱 기본 스타일 바지인거 같아요~~~~딸아이가 입었는데 길이도 적당하고 원단도 초여름까지 무난하게 입을거같아아이가 좋아라 하네요 ㅎㅎㅎㅎ통통한 체형이라 크게 주문했는데안쪽에 밴딩부분때문에 더 편하고기본 블랙팬츠 찾는다면 딱인듯해요키 165인데 딱 발목아래 기장입니다
keland94**|배송은 4일걸렸고 사이즈는 첨에 딱볼때는 왜이렇게 크지? 교환해야되나 했었는데 입어보니까 그정도아니고 딱 저 모델분이 입은것처럼 밑에좀 기장남는정도고 사진처럼 접어서입으니 부담되지않고 이쁘더라고여 요즘다리에엄청살쪄서 널널한바지가 너무좋던데 진짜 편하고 종아리 헐렁하면서 스타일살고 딱좋아요 진짜 제가입어본청바지중에서 제일 편하면서 스타일리시한바지같아요 돼지같은저에게도 널럴하고 핏이예쁘게나와요 하이웨이스트라 다리도짧은 저에게도 좀 그나마길어보일수있는 기회를주는바지인데 여전히 짧아서ㅎㅎㅎ 그래도 하이웨이스트인데도 허리부분전혀안불편하고 허리부분이 널럴해서 좋아요 진짜 여러모로 다마음에 듭니다 가격도 너무착해서 좋아요
rkdldk5**|반팔티가 필요해서 몇개구매했는데소라색이라서 곧 더 더워지면 입기 좋을것같아요 ㅋㅋ여기저기 맞춰입기 딱인것같아요
rkdldk5**|후드가 필요해서 구매했습니다가볍고 집앞에 갈때나 편하게 나갈때 걸쳘입기 좋은것같아요가볍기도 하구요 지금 입고 다니기 딱이네요 ㅋㅋ
rkdldk5**|그레이로 구매했어요 ㅋㅋ반팔티가 이제 곧 필요할것같아서몇개 주문했네요가격도 저렴하고 편하게 입고다닐것같아요
rkdldk5**|반팔티가 필요해서 구매했어요갑자기 몇일사이 조금 쌀쌀해서 안입고 있지만곧 다시 입을것같애요 ㅋㅋ 영문자가 있어서 포인트로 좋네요
rkdldk5**|펀하게 입을려고 구매했어요 ㅋㅋ청바지에 가볍게 입기 좋은 옷이네요잘 입고다닐것같아요가볍게 입고다니기 좋은옷입니다.
rkdldk5**|청바지나 치마에 같이 입을려고 샀어요요즘 이런 옷이 되게 많이 나오는데눈에 띄어서 구매하게 됬네요지금 입고다니면 좋을것같아요 ㅋㅋ
rkdldk5**|보기만 하다가 구매했네요길이도 알맞고 가격도 저렴해서 좋네요오늘 트렌치코트에 같이 입었는데 잘 어울리는것같아요 ㅋㅋ가볍고 심플하게 입기에 딱인 옷입니다.
rkdldk5**|커피색 구매했어요옷 살때 가끔식 끼워서 사는 상품입니다.가격이 싸서 하나씩 끼워 사기에 좋네요 ㅋㅋ단화나 구두신을때 신을려고 구매했어요
ljy14**|소풍때 입을려고했는데 ㅜㅠ 연청은 비추에요 고고싱에서 실패한옷 없었는데 이번엔 좀 별로네요 ! 그래도 보면볼수록 괜찮아요 !
rkdldk5**|옷 주문할때 가끔씩 끼워서 사는 상품입니다.단화신을 때나 운동화신을때 가볍게 신기에 좋은것같네요잘 안흘러내리고 저렴하게 살수있어 좋습니다.
rhaxlddl**|많이 얇네요이옷 역시 목부분 한번입고 다 늘어나서 입지못하고있습니다질이 좀 더좋으면 좋겠어요
gahyun**|항상 키에 맞는 바지가 없어서 바지 찾기가 너무 힘들었는데 이렇게 복숭아뼈위까지 올라오는 바지 첨입어봐요ㅜㅜ사이즈도 딱 맞고 너무 좋습니다. 저 M사이즈로 시켰다가 S사이즈로 바꿨어요 저랑 신체사이즈가 같으신분은 참고해주세용
rhaxlddl**|수학여행때 잘 입었어요포근하고 따뜻해요그런데 보풀이 장난 아니게 일어나네요오래 입지는 못할듯
guswn973**|너무이버용 여리여리 너무얇을까봐걱정했는데ㅜ괜찮아요 인기많은데는 다 이유가있어요 여러분 이쁘게입어요다같이
gahyun**|많이 크지만 루즈하게 입는게 훨씬 이쁜거같아요 딱 지금 날씨에 입기 적당하게 얇고 너무너무 이뻐요ㅜㅜ잘 입겠습니다
rhaxlddl**|수학여행 가서 잘입었어요그러나 너무 잘 늘어나요 한번 세탁후 못입었어요한번입고 못밉고있어요
sd9402**|이거 네이비로사서 진짜 핏이너무이뻐서 블랙도샀는데요 근데 처음에는 단추구멍이 안뚫려있어서 교환요청했는데 이게 핏이바뀐건지 허벅지쪽이 랑 종아리랑 안맞아서 핏이이상하더라구요 교환하기 귀찮아서그냥 입지도못하고 있긴한데..좀아쉬웟어요
469149137**|인기가 많은데다가 가격도 착해서 바로 질렀어요 ㅋㅋ 역시 인기가 많은지라 배송은 좀 늦긴 했지만 무척 맘에 듦요 ㅋㅋ 다른 분들 후기처럼 ㅋㅋ 똥배가 나오면 안될거같아요 ㅋ 굶고 입어야겠어요 ㅋㅋ 친구들도 너무 이쁘다고 다들 어디서 샀냐고 물어보길래 주저없이 고고싱 추천해줬습니다 ^^ 이쁜 사진도 많이 찍었어요 ㅋㅋ 다들 인생샷 찍었대요 ㅋㅋ 완전 굳 !!
