150063834**|키가 작은데도 길이가 조금 짧긴 하지만 안에 검은 반바지 입고 입으면 딱 이쁠것같아요 !!!! 이 가격에 이쁜 옷 살 수 있어서 넘무 좋습니다 ㅠ.ㅠ 고고싱 자주 올게욥 ♥️♥️
ha52**|결혼식 때 입으려고 산건데 색도 너무 예쁘고 같이 산 블라우스랑 코디해서 입었어요ㅎㅎ 길이도 너무 짧지 않고 딱 좋았어요!
usskim**|진짜 너무이뻐요 지금 입기엔 이젠 좀 덥지만 가을에 입으면 진짜 최고일것같아요 제거 77사이즌데 팔뚝이며 가슴이며 너무잘맞습니다!
codms6**|진짜이뻐요! 길이가 가장마음에들어여 짧으면 어쩌나 걱정했는데 다행이에요! 원피스라 바람불때는 좀뜨지만 속에 검은반바지입고 입으면될거같아여  살랑살랑될때 진짜이뻐요 얇아서 지금입기딱좋아여
60704847**|.
zxc9512**|너무 이뿌고 마음에 들어요!!!!!! 와인보다는 약간 붉지만 그래도 만족합니다 핏도 이쁘고 좋습니다 약간 배에 힘줘야 되지만 ㅜㅜ 그래도 전체적으로 만족해요~~~~!!!!이뻐요~~~~
spacelog**|엄청 팔랑팔랑해요옷은 이쁜데 잘 입어야 할 것 같아요너무 팔랑팔랑 하늘거려서......검은색이 더 나을 것 같아요
spacelog**|재질이 특이하다는 후기가 많았는데받아보니 알겠더라구요특이한 재질이구요.. 여름엔 못입겠어요짧은편이에요
sbsm09**|굳
spacelog**|속치마가 없어요...ㅜㅜ벙벙한 편이구.. 소매에 있는 고무줄이 엄청엄청 짱짱해요한철입기 괜첞아요
spacelog**|베이지 샀는데 블랙도 예쁠 것 같아요요즘엔 더워서 못입겠지만 부들부들하고촤르르하고 예뻐요!
hyk6**|롱원피스 입고 싶었는데 진짜 이뻐요! 하늘 하늘하고 부해보이지도 않는 것 같아요. 색깔두 넘 이뻐요. 봄 가을에 잘 입고 다닐게요~!
hyk6**|오프숄더로 입어도 이쁘고 위로 올려도 이뻐용검정색이지만 재질도 시원해서 여름에도 이쁘게 입을 수 있을 것 같아요^*^!
aclover49**|시원한 재질이라 여름에 딱일것같아요
aclover49**|재질자체가 시원한 재질이에요~~
aclover49**|예뻐요! 색상! 품절빨리되고 입고가 느려서 ㅠㅠㅠ 아쉽긴했지만
aclover49**|예뻐요~ 약간 빳빳한느낌이긴하지만 시원한 느낌이기도하고!
84906876**|배송은 너무나도 늦게 왔지만 (ㅠㅠ) 사이즈는 잘맞아요! 치마 핏이 예뻐요 ㅠㅠ 물론 밴딩이라 뒷부분이 주름진 건 아쉽지만... 그리고 뷔스티에 끈이 너무 길어서 이건 수선 맡기려구요! 이 가격에 이 정도 핏이면 정말 모두들 사세요..... 넘 예쁩니다~
gajis**|사진이랑 색이 많이 다를까 걱정했는데 괜한 기우였네요재질도 보드랍고 꽤 얇아서 여름 초까지 입을 수 있을 것 같아요대신 세탁할 때 손 빨래 하시는 걸 추천드립니다만족스러운 상품이라 한장 더 살까 말까 고민이네요ㅎㅎ
scp**|전 이런재질좋아하는데 잘못하면질이안좋아서고민하다샀는데 마음에듭니다. 질도좋구 후회안하실거에요
scp**|흰색살지 초록살지고민하다가 흰색샀는데 질도좋구 마음에듭니다. 초록색하나더사려고 지금생각중입니다.
