hhhh7**|ㅇㅀ- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)ㄹ
back23**|포토후깅- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)이뻐요ㅎㅎㅎㅎㅎ길이도 적당하고~두툼해서 추운 겨울에도 따뜻하게 입을 수 있을거같네요~잘 입을게요!
js11111**|네이비- 키, 몸무게166.44-착용사이즈 s-착용후느낌은?(좋은점/나쁜점)재질이빳빳해요ㅠㅠㅠ사이즈m해도댈뻔햇어요...총장이너무딱맞네요ㅠㅠㅠ 그래도무난하니이뻐요 ~
yooheejen10**|;;;;- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)제가 2틀전에 사서 오늘왔는데 기쁜마음으로 봤더니주머니 옆구리 터져있고 단추 거는? 그구명도 잘안들어가게 실이엉켜있네요 앞부분쪽에 2개구멍 있네요; 괜히산듯;; 고고싱에서많이샀는데 이런건 처음이네요
dooli**|요거골지 헨리넥티- 키, 몸무게164-착용사이즈-착용후느낌은?(좋은점/나쁜점)재질도 좋은것같고 다른후기에서 다들 말한것처럼 핏도 너무 예뻐요!!다른색도 나오면 좋겠어요!!!
chadolho**|솔직후기~- 키, 몸무게163 . 53-착용사이즈-착용후느낌은?(좋은점/나쁜점)엄마 생신선물로 사드렸는데, 좋아하세요~~저한테는 엉덩이 위로 올라오구요~보는 것 보다 입어 보니까 훨씬 괜찮네요~엄마 사드린 건데 제가 많이 입고 다닐듯 ㅎㅎ좀 냄새가 많이 나는 거 빼고는 좋아요~냄새야 금방 빠지겠죠~?:??엄청 두꺼운 편은 아니고 그냥 그래요~저는 나름 만족입니다,ㅎㅎ엄청 기대 이상도 아니고 기대 이하도 아니구 그래요^_^많이 파세용 고고싱~~~
fnal02**|완전 맘에 들어요!!- 키, 몸무게164/50-착용사이즈-착용후느낌은?(좋은점/나쁜점)아이보리 색 구매 했습니다!! 색깔 완전 이뻐요~ 사진이랑 똑같아요!! 사슴자수도 이쁘고 완전 귀엽네요~길이도 적당하고 특히 팔부분에 통이 크지 않고 적당하니 이뻐서 좋아요 !!! 진짜 짱!!! 여기서 자주 구매 하는데 구매 할 때마다 너무 좋네요!!어디에나 다 잘 어울릴 것 같네요!! 진짜 잘 산것같습니다.~ 완전 맘에 들어요~
fnal02**|완전 맘에 들어요~- 키, 몸무게164/50-착용사이즈-착용후느낌은?(좋은점/나쁜점)색상은 그레이로 구매했습니다.!! 색깔 이뻐요~ 사진으로보고 얇을 것 같다고 생각했는데 막상 받아보니 얇지도 않고 지금 입기에 적당한 것 같아요~완전 맘에 들어요~ 다음에는 다른 색깔로 또 한번 구매 하고 싶네요~
fnal02**|완전 이뻐요~- 키, 몸무게164/50-착용사이즈-착용후느낌은?(좋은점/나쁜점)재질이 부드러워 좋아요~ 완전 부들부들해요~ 길이도 딱 적당하고!! 생각보다 얇긴 하지만 겉에 아우터 입고 입으면 괜찮을 꺼 같아요~잘 산것 같아요~~짱짱!!!!!!
gydus9**|후기- 키, 몸무게 172/60-착용사이즈 29-착용후느낌은?(좋은점/나쁜점) 바지가생각보다엄청짧아요 이런바지를처음입어봐서그런거일수도있지만..ㅎㅎ골반바지인건알앗지만이정도일줄이야...ㅎ근데바지는진짜편하긴하네요~~인터넷으로처음사봣는데나름괜찮은거같아요 자주애용할게요♡
fnal02**|와인색 후기!!- 키, 몸무게164/50-착용사이즈-착용후느낌은?(좋은점/나쁜점)생각 보다 얇긴 했지만 색깔도 이쁘고 좋아요~ 사진이랑 색깔 똑같고특히 길이가 맘에 들어요!너무 길지도 않고 너무 짧지도 않고 딱 적당한 길이여서 좋네요~ 좀 얇지만 그래도 겉에 아우터 입으면 괜찮을 것 같아요~너무 이뻐요~
fnal02**|아이보리색 후기!!- 키, 몸무게164/50-착용사이즈-착용후느낌은?(좋은점/나쁜점)사진과는 약간 색깔이 달라서 좀 놀라긴했지만 그래도 재질도 좋고!! 짱 좋아요!! 색깔은 아이보리라 그런지 약간 노란빛이 돌아요재질이 잘 안늘어나는 재질인것같아서 오래오래 입을 수 있을것 같고 검은색 치마나바지에도 잘 어울릴것같네요~감사합니다~
heejini**|예뻐요~- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)생각보다 비치긴하는데예뻐요~편하게 입을 수 잇어서 좋아요~~니트소재라 따뜻하고 저렴하게 잘산것같아요요새 많이 입고잇어요~
shm3**|블랙후기용- 키, 몸무게16550-착용사이즈Free-착용후느낌은?(좋은점/나쁜점)루즈하고 괜찮아요 부담스럽지않은 데일리룩으로 제격인것같아요편하게 입구 다닐수 있겠어요!
uiop61**|좋아요!ㅎㅎ- 키, 몸무게158 50후반-착용사이즈29-착용후느낌은?(좋은점/나쁜점)착용 느낌 정말 좋아요! 얇고 잘늘어나고 좋습니다 ㅎㅎ그런데 문제점이라면 물이 잘빠져요!아무생각없이 손톱으로 다리긁었다가 손톱에 물이 들었다는 ㅠㅠ몇번 세탁해야 될듯해요
dlgmldms8**|그레이s- 키, 몸무게156/-착용사이즈그레이s-착용후느낌은?(좋은점/나쁜점)보들보들하고 좋았어요!근데 올때 주름이 많이져서 와가지고 그거하나만 조금 아쉽네요.
shm3**|예쁜데 너무 커요 ㅠㅠ- 키, 몸무게165 50-착용사이즈Free-착용후느낌은?(좋은점/나쁜점)가격대비 괜찮고 나름 도톰합니다. 디자인은 마음에 들어요.그런데 품이 너무 크네요.. 소매폭도 너무 크고 옷이 커서 아빠옷 뺏어 입은 것 같아서 핏이 아쉬워요 ㅠㅠ그래두 가격대비 만족합니다 많이파세요
dhtmfrl70**|이뻐용ㅋ기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)그레이샀는데편하구기장두적당하고이쁜거같아용
seulgi9**|착용샷- 키, 몸무게 79 비밀-착용사이즈-착용후느낌은?(좋은점/나쁜점) 나름갠춘
wngml**|후기저는 블랙으로 샀구요! 사진이 좀 밝게 나온것같아요ㅠ처음에 받았을 때 너무 부들부들해서 좋았구요무난해서 어느 옷에 입어도 잘 어울릴것같아요!가격대비 짱짱!(배송은 조금 늦었지만 딱 필요한 날에 도착했네요!)
wngml**|후기키:154목부분이 조금 까끌하기는 하지만 옷이 두껍고 따뜻해서 좋아요!플레어치마랑 같이 입으니까 이쁘구요 맘에 들어요~그리고 어깨선이 너무 밑에 있지 않아서 덜 부해보이는 것같아요!
dndn94**|포토후기일등- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)이쁘고 두껍네요 ~적립금빨리받구싶네용
dndn94**|포토후기블랙- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)길이가짧지만 이뻐요
dlfo**|포토후기~- 키, 몸무게158/48-착용후느낌은?(좋은점/나쁜점)주문한옷중에제일맘에들어요!!!!입엇을때 박시한느낌이엄청이뻐요회색이라비침도없고 아주좋아요~
goeun09**|실용적이에요~클로스로도 쓸수있고 클러치로도 쓸수있고 !그런점은 좋은데 좀 작아요..ㅋㅋ그래도 만족이네요 !근데 이번에 상품 12개를 구매했는데 스티커? 가 한개도 않왔어요 ㅠㅠ이건 어디에 문의 해야하나요?
goeun09**|말이 뭐 필요하겠어요 ~블랙으로 구매했는데그냥 카시오에요 ㅋㅋ방수되고 편하고ㅋㅋ 시간까지 맞춰서 배송해주셨더라구요 !직원분들의 센스에 다시 감동~!! ㅋㅋ
goeun09**|귀여워용너무 도돔하지 않아서 가벼워보여서 좋네요 !무난하고 아무 옷에 쓰기도 좋고~ 가격도 좋고!! ㅋㅋ검은색으로 샀는데 회색으로 하나 더 구입할까봐요 ㅋㅋ
dlfo**|후기~- 키, 몸무게158/48-착용후느낌은?(좋은점/나쁜점)생각보다 기장이짧은데 그래도이쁘고 목부분은 좀흐물거려요그래도 세일할때사서만족해요!!
lleekk**|남방 굿굿 만족합니다- 키, 몸무게 158-착용사이즈-착용후느낌은?(좋은점/나쁜점)소매가일단짧구요 .. 원단은막얇은편은아니라 만족해요 ㅎ다른색도구매할예정이구용 가격대비최고인거같아요 깔끔하고~조만간 또 구매할게요
goeun09**|편하네요 ~모자를 쓰면 쓴거인듯 쓴거아닌 쓴거같아요 ㅋㅋㅋ제가 좀 심플하게 입는편인데포인트주는걸로 짱인듯 ! ㅋㅋ보관하기도 편하고 ! 좋아용
lleekk**|만족해요 ~- 키, 몸무게 158.47-착용사이즈-착용후느낌은?(좋은점/나쁜점)생각보다 얇은편이고 안에다 비춰요 ㅜ 비침없는줄알았는데그래도 이점만빼면 소재도좋고 귀엽고 넥부분이이뻐용^^ 슬랙스에입으묜최고에욤
sinhoa**|엄청짱짱함- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)여태 여기서 옷사면서 이렇게 짱짱한 옷은 첨임...그래서 좋아욤몸에 딱 붙는 느낌이라서 저 좀 하비인데 치마가 별로 안올라가네욤가격이 싼편은 아니지만 그래도 좋스니당사세요!!!
cdwl**|포토후기 1등이에요- 키, 몸무게160/50-착용사이즈free-착용후느낌은?(좋은점/나쁜점)핏이 정말예뻐요! 모직이라 두꺼운편인데도 뚱뚱하거나 부해보이지 않고 똑 덜어지는 핏이에요 기장도 엉더이 가리는 기장이구요치마나 스키니 둘다 잘어울려요 캐주얼하게 입으면 캐주얼 느낌도나고 정장스타일로입으면 그런느낌도나네용 활용하기 좋을거같아요소매부분에도 회색으로 배색되있어서 너무 어둡지 않아서 좋아요생각했던것보다 더 두꺼워서 지금 낮에는 좀 더울수도있는데 아침저녁에는 괜찮을거같아용 겨울 중반까지도 입을수 있을거 같아요아쉬웠던점은 어깨부분에 끈이 있는데 팔을 들떄 위로 튀어나오는게 좀 아쉽네요 ㅜㅜ소매도 접지 않으면 살짝길어요 근데 접으면 딱 이쁜길이에요배송도 2틀만에 빨리와서 좋았어요! 세일 이벤트있어서 늦게올줄 알았는데 ㅎㅎ이쁘게입을게요!
lleekk**|너무좋아요- 키, 몸무게 158. 47-착용사이즈 s-착용후느낌은?(좋은점/나쁜점)동생이먼저구매했는데 예뻐서저도했는데 ㅜ생각보다스판끼는없구요 ..엄청얇아요 ..그래도핏이이쁘니 만족해여 ㅎㅎ
goeun09**|한번 세탁했는데..그냥 편하게 입으려고 구매했어요~입기전에 세탁기에 한번 돌렸는데..허리 밴딩부분 실밥이 다 뜯어졌네요...;; ㅜㅜ박음질이 약한거같아요.. 이거 어떻게 해야할까요... ㅠㅠ
dbwjd2**|네이비후기- 키, 몸무게 166 55-착용사이즈-착용후느낌은?(좋은점/나쁜점) 핏도적당하고 제가 덩치가 좀잇어서 뚱뚱해보일까바 걱정햇는데 괜찮은거같아용배송도 생각보다 빨리와서 놀랫어옄ㅋㅋㅋㅋ잘입을께여
ravender**|굿- 키, 몸무게 155.50대-착용사이즈 프리-착용후느낌은?(좋은점/나쁜점)그냥 두껍지는 않은데 환절기때 입기에는 좋아요옷자체는 이쁜데 어깨가 제가 좁은편이라 그런지 어깨가 쫌 남던데 뽕?들어간거같은데이쁘긴 이뻐요 아무옷이나 잘어울릴거같아서 저는 그럭저럭 좋아요~
goeun09**|살랑살랑!슬랙스여서 좀 빳빳할줄 알았는데 소재자체가 좀 얇고 부드러워요~겨울에 입으려면 안에 레깅스 신고 입어야 할거같지만.. 핏 자체는 이쁘네요구김이 좀 많이 가서 바지옷걸이에 걸어두고 입어야 할듯.. ㅠㅠ ..그래도 만족 !
dbwjd2**|블랙이 더이뻐용- 키, 몸무게 166 55-착용사이즈-착용후느낌은?(좋은점/나쁜점) 맨투맨중에서 딱눈에 들어오길래 샀는데 실물이 더이쁜거같아요 ㅠㅠㅠㅠㅠ사고나서 후회전혀없구용..맨투맨 두개주문한거중에 젤 이쁜거같아요 ㅠㅠ칭구들이 어디서샀냐고 물어볼정도로 ㅋㅋ가격대비 잘산거같아서 뿌듯하네여 ㅎㅎ..배송도 생각보다 빨리와서 만족햇어영
cbcb**|진짜 쫀쫀해욧- 키, 몸무게 160-착용사이즈 진청29-착용후느낌은?(좋은점/나쁜점)완전 쫀쫀해욧!!완전 일자핏이고 발목도 좋여주고 맘에드네요~배송도 완전빠르구요 엄마가 이쁘다네요 ㅋㅋ싼가격에진짜 잘산거같아요 근데 저는 생각보다 그렇게 얇지않은 것 같아요!저는 지금도 잘 입고다닐수있을걱 같네요~강추에요~
dooli**|허니믹스니트 그레이- 키, 몸무게164(55사이즈)-착용사이즈-착용후느낌은?(좋은점/나쁜점)원단이 보들보들하고 가격에 비해 좋아요 !딱붙으면 어쩌나 했는데 다행히 예쁜 핏이네요근데 확실히 마른 55나 44사이즈이신분이 입으시면 훨씬 예쁠것 같아요~ㅠㅠ목이 살짝 답답한 감이 있긴한데 좋아요안에 넣어입기에 좋은것 같아요!!
qhrud54**|좋아요좋아요 근데 치마가 신축성이 없어요.지퍼가 잘 안내려간다해야하나 걸리기도 하지만 그다지 불편하지는 않아요.
dooli**|어반 골지니트 블랙- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)딱 붙으면 어쩌나 걱정했는데 다행히 예쁘게 몸에 핏되는 정도네요 !맘에들어요 베이지색도 살까 생각중입니다! ㅎㅎ길이감은 크롭보다는 길고 일반 티보다는 짧으네요~ 안에 넣어입으면 예쁜것 같아요두께감도 있고 만족입니당! !
myk43**|베이지색 차분해서 좋네요ㅎㅎ- 키, 몸무게 151/43-착용사이즈-착용후느낌은?(좋은점/나쁜점) 처음에 열어봤을땐 좀 얇은가 했는데, 추워지면 겹쳐입으면 되니까요ㅎㅎ 니트를 이너로 입어도 되고 안에 남방 입어도 되고ㅎㅎ 색도 차분하고 좋네요 무난무난해요!
sa**|좋아요 ㅎ.ㅎㅎㅎ- 키, 몸무게 155/49-착용사이즈 F-착용후느낌은?(좋은점/나쁜점)얇지만 괜찮아요 ㅎ.ㅎ.
sa**|좋아요- 키, 몸무게 155/49-착용사이즈 F-착용후느낌은?(좋은점/나쁜점)얇지만 괜찮아요 ㅎ.ㅎ.
rkdska74**|싱글코트 카키색♡- 키, 몸무게153 43-착용사이즈-착용후느낌은?(좋은점/나쁜점)느낌이랑색감이랑다좋아용 내가키가작아서조금짧은걸로삿긴햇는데 역시나 조금크네요 그래도 너무마음에들어요♥
icecream10**|후 기입니다~!배송도 빠르고바지 디자인, 색도 화면과 같습니다~~진청이어서 어느 옷에나 잘 어울리고 좋아여!핏도 딱 달라붙어서 리얼 스키니같구여!
rkdska74**|세모자수 검정색♡- 키, 몸무게153 43-착용사이즈-착용후느낌은?(좋은점/나쁜점)맨투맨이조금클거같앗는데생각보다사이즈가좋네요완전이뻐용♥
rlatheka**|포토 후기 1등이에요~사이즈: 225ㅠㅠ너무 이쁩니다.사진보다 받아보니 더 이뻐요.근데 남자친구는 걸그룹 같데요..ㅋㅋㅋㅋㅋㅋ..에나멜이라서 그런가굽이 좀 있는데 다리라인도 살려주면서작은 키도 올려주고..발도 너무너무 편해요.통굽 이후로 9cm가 이렇게 편한건 처음이네요.학교가 급경사인데 잘 신고다닐만큼 편해요. 약간 통굽 느낌이라고 보심 될거같아요너무 잘 산거같네요사이즈는 정사이즈로 샀습니다. 딱 맞아요.
rkdska74**|너무이쁘다- 키, 몸무게153 43-착용사이즈-착용후느낌은?(좋은점/나쁜점)너무편하고길이도딱좋은거같아요 사실키가작아서조금걱저하긴햇는데 생각보다길이도좋고착용느낌도좋네요 완전추천입니다
kikib**|꼭 갖고 싶은 벨트~ 맞습니다!!-착용후느낌은? 색상:브라운하나쯤 꼭 갖고싶은 벨트!! 상품 이름처럼 그러네요~~어떠한 옷에도 좋을거 같아요.딸랑구 마니 좋아하네요~~고고싱!!자주이용해야겠어요.제품들 몇가지 받았는데 모두 만족입니다!!
rlatheka**|포토후기 일등이네요~150/50사이즈: 44~55가격대비 좋아요.허리가 작으면 어쩌나 했는데..평소에 치마는 무조건 s시키고 바지는엉덩이 때문에 m 시키는데 만족해요~허리가 잘 늘어나서 27~8 정도 까지는 입으실수 있을거같네요..다만 뱃살 있는 분들에게는 비추에요고무가 없고 딱 배랑 허리라인이 다 들어나는 치마에요길이는 좀 짧은 편이구요..저는 키가작아서 괜찮네요저한테도 짧다고 느껴지니 키크신분들은 많이 짧을 거 같아요.
rlap09**|핑크- 키, 몸무게166 46-착용사이즈25-착용후느낌은?(좋은점/나쁜점)이쁜데 너무 까끌까끌해요 ㅋㅋㅋㅋ 근데 안에 티셔츠입고 입으면 괜찬을거같아요 사진그대로에요
kikib**|가격대비 대만족!!- 키 : 158cm, 몸무게 : 44kg-착용사이즈 : free , 색상:차콜-착용후느낌은? 옷감은 마니 얇아요~올 여름에 트레이닝팬츠 여러벌사서 입었는데~옆부분이 삼선으로 다른 모습이라서~ 단다가 저렴하고 ㅎㅎ울 딸랑구 딱!! 맞데요.앞뒤로 넉넉한것도 없고 딱 자기 사이즈라고!!하체가 통통하시면 입기 힘드실거 같아요~
rlatheka**|포토후기 2등 후기~150/50사이즈: free배송은 빨랐습니다. 이틀만에 온거같네요~우선 길이가 길었어요. 이건 제 키탓이겠죠ㅋㅋㅋㅋㅋ아마 158이상 되는 분들은 진짜 이쁘게 입으실수 있을거에요.저는 어쩔 수 없이 힐 신고 입어야 겠네요..ㅎㅎ그리고 두께는 두꺼웠어요~ 한겨울에도 안에 잘 갖춰입으면 입을수 있을거같아요.집에서도 옷 갈아입으면서 사진찍으려니까 땀이 삐질삐질..그리고 생각보다 좀 부했어요..모델분이 입을땐 안그런거 같은데 ㅠㅠ딱 떨어지는 핏인거 같은데........제가 키가작아서 그럴지도 몰라요..팔도 좀 길었거든요..하여튼 작으신 분들께는 제 후기가 도움이 되겠지요..따뜻하게 잘 입을게요~
spielpla**|초귀여움- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)귀여운거 같아요아직 입지는않음
kikib**|울딸랑구한테 딱!! 좋아요^^- 키: 158cm, 몸무게:44kg-착용사이즈 : free-착용후느낌은? 중3아이인데 이번에 고등학교 실기시험을 볼때 정장스러운거 입고 싶다고해서 구매했어요다른쇼핑몰보다 제품은 만족입니다.사진에서 보여지는것과 똑같고...바느질 마감처리도 다른곳보다 잘되어있더라구요.거의 쇼핑몰에서 옷을 사서 마감처리같은거 잘 안되고 사진보다 좀 이상하고...이런거 알면서도 구입하게 되는데고고싱은 괜찮네요.블라우스도 소매길이도 좋고...치마허릿부분이 울딸한테 좀 넉넉한 느낌은 있는데입어보고 이쁘다 했어요^^갑자기 날씨가 추워져 버려서 옷을 입기에 얇은가 싶은데...ㅋㅋ배송도 문의 드린대로 신경써서 맞춰주시고 감사합니다.^^
escafr79**|베이지235-착용사이235-착용후느낌은저는 평소에 운동화를 225를 신는데요 칼발임에도 불구하고..다른곳에서 230를 주문했다가 작아서 반품한 맘아픈..현실이..넉넉히..가아니고 딱좋게 신으려면 2치수는 높여서 구매하는게 좋을꺼같습니다~저는 230을 주문했을때 발가락이 아프고 불편하더라구요~ 무늬도 맘에들고 235로 신으니까 평소에신던사이즈처럼 편하더라구요~그래서 제결론은~2치수를 크게사시는게..ㅎ
bake**|흠..?- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)일단ㅋㅋ 저는 삿는뎅 캐쥬얼하게 입고 매려고삿거든요딱뜯기전에보기만햇을때는 오헐! 이쁘다 이쁘다 ㅎ햇는데 막상 뜯어서 매보니까 엄마가 ...ㅠㅠㅠ조..조그ㅜㅁ ㅆ..싼티가 난다고 하시더라구요 ㅠㅠㅠ저도동감................................ㅋㅋㅋㅋㅋㅋㅋㅋ아...진짜ㅓ 예쁜데먼가 애매하고 사이즈가 생각보다 작아요 그리고 가로는 넓고 세로는 좁은 편이라크기가 애매하기도하고..ㅠㅠㅠ아좀아쉽네요그닥..자주들것같진 않아요 ㅠㅠ
bake**|왕예쁨!- 키, 몸무게164 48-착용사이즈-착용후느낌은?(좋은점/나쁜점)이거 색이정말 예뻐요 ㅠ 딱 이쁜 남색이랄까ㅓ?엄마가 저 옷시켜서 와서 뜯어보는데 옆에 계시다가다른옷들은 별말 안하시는데 이남방은 색갈진짜이쁘다면서너무 맘에 들어하시더라구요 ㅎㅎ 입었을 때도 약간 컸는데 오히려벙벙하면서 귀여워 보여요 ㅎㅎ 정말 맘에들어여!
bake**|이거진짜예빠ㅓ요 ㅠ- 키, 몸무게164 48-착용사이즈-착용후느낌은?(좋은점/나쁜점)이거진짜이뻐요!!!!!!!ㅎㅎㅎ 제가 이번에 빨간색으로 머리를 염색했고든요이맨트맨 입으면 잘어울릴듯해서 삿는데 역시 진짜 잘받더라구요'일단 색 이 너무예쁘고 그 가운데 프린팅 된 강아지가 진짜 너무귀여워요 ㅠㅠㅠㅋ 대신 굳이 단점을 꼽자면 약간 오버핏이라어깨가 좀 마니 넓어보여요 ㅠㅠㅠ근대전 원래 좁은편이라섴ㅋㅋㅋㅋㅋㅋㅋㅋ괜찮더라구요! 바지에 입으면진짜 캐쥬얼하게 완전 예빠요남친도 예쁘대요 ㅎㅎ! 잘입을게요!
bake**|음...ㅠㅠㅠㅠㅠ- 키, 몸무게164 48-착용사이즈-착용후느낌은?(좋은점/나쁜점)음... 저는 약간 하얀색 니트를 사고싶엇거든요조금 크롭느낌의 새하얀색 니트 보들보들한거 근대 없길래 고고싱엔 ㅠㅠ이거삿는데 솔직히 딱받고서 엄청 예쁘지는 않았어용 ㅠㅠ일단 핏이 약간 오버핏이라 그런가 조금 애매하기도하고 색상이베이지인데 저는 그닥 이뻐보이진 않더라고요 색이 좀 누래서 ㅠㅠㅠ아좀아쉽네요..이가격대에 다른니트 엄청많던데 베이지색 그니트 살껄조금 후회는했찌만!!!!! ㅠㅠㅠ그래도 치마나 바지에 잘 입으려구요!
bake**|이뻐영!ㅎ- 키, 몸무게164 47-착용사이즈-착용후느낌은?(좋은점/나쁜점)일단 핏자체가되게예쁘구여진ㅉㅏ사진보다 이뻐용 ㅎㅎ색두 딱 이쁜 카키색이구 원래저는 가을에 입는 코트로사려고했었거든요 ㅎㅎ카키 근대 머 지금 시기는 약간 지낫지만 그래두 안에 조금두꺼운니트나 남방 등등 껴입구 입고잇어요 ㅎ 다만 두께는 그렇게 두꺼운편은아니라서 완전 추운 한겨울에는 못입지 싶어요 ㅠㅠ그래도 길이도 딱 예쁘구 ㅎㅎ맘에듭니다! 가격도싸니까용!
elizabeth**|기대한 소재는 아니네요- 키160, 몸무게47-착용사이즈-착용후느낌은?(좋은점/나쁜점)탄탄한 소재라고 그러길래 처지지 않고 딱 모양 유지해주는 소재인줄 알았어요 그런데 그런 소재는 아니고 윗부분 빼고 좀 흐물거리네요그리고 안에 기모안감이라 부드럽고 겨울에 따뜻할거 같긴 해요접혀서 와서 좀 구겨졌는데 펴보려고 해도 구김이 잘 안펴지는것같아요허리뒤에 자크부분 올리는곳에 작은 후크가 달려 있는건 좋아요소재를 조금 더 신경써서 만들었으면 훨씬 좋았을 듯 하네요
elizabeth**|프릴블라우스- 키160, 몸무게47-착용사이즈-착용후느낌은?(좋은점/나쁜점)Free size라 그런지 평소 조금 작은사이즈 입는 분들한테는 클수도 있겠네요 그래도 소재도 구김 별로 안가는 소재고 블라우스치고 두껍기도 하네요 카라부분이랑 어깨 프릴부분이 특히 예뻐서 맘에 들어요 프릴이 처지는 소재가 아니라 더 괜찮네요
thdtmdq**|카키후기- 키, 몸무게155-착용사이즈-착용후느낌은?(좋은점/나쁜점)소풍가기전에삿는데!!!!딱소풍전날와서좋앗어요근데...폭이너무커서 못입고가고세탁소맡겻는데이쁘게되서왓네요!!실용적으로잘입을수잇을것같아요고민하시는분들꼭사세요~
duddms0**|와인 s- 키, 몸무게157/44-착용사이즈와인 s-착용후느낌은?(좋은점/나쁜점)배송 빨라요~ 색깔이랑 재질 다 좋은데 너무 커요ㅠㅠㅠㅠ 수선해서 입었지만 치마는 엄청 예뻐요!두껍워서 가을이나 겨울에 입으면 좋을 것 같네요ㅎㅎ
duddms0**|네이비- 키, 몸무게157/44-착용사이즈free-착용후느낌은?(좋은점/나쁜점)배송 완전 빨라요!ㅎㅎ 네이비 색깔도 이쁘고 핏도 이쁘네요~~ 바지, 치마에 다 잘 어울릴 것 같아요!!예쁘게 잘 입을게요^^*
jyej**|폴폴플리츠 스커트 와인색 후기^3^~♥- 키 : 170 cm-착용사이즈 : 와인색 m-착용후느낌은?(좋은점/나쁜점) : 안이 바지처럼 되어있어서 편하고 좋았다 귀여운 느낌~ 그런데 주름이 많은 치마이기때문에 잘 관리해야한다
ppp18**|포토후기 3등이예요!- 키, 몸무게163/60-착용사이즈차콜-착용후느낌은?(좋은점/나쁜점)면이 진짜 좋아서 세탁해도 안 늘어 날 것 같아요진짜 옷 퀄리티가 좋아요여태까지 샀던 면티 중에 제일 잘 산 것 같아요아이보리, 베이지 ,블랙도 구매하려구요!치마든 바지든 어디에든 다 잘어울릴 것 같아요
ppp18**|베이지 후기- 키, 몸무게163/60-착용사이즈베이지-착용후느낌은?(좋은점/나쁜점)얇고 살짝 박시한데 면도 좋고 색깔이나 모양도 예뻐요길이도 딱 적당하구요 약간 니트 짜임새가 굵긴해요그래도 여태까지 산 니트 중에 제일 예쁜 것 같아요브라운도 샀는데 사길 잘 한 것 같아서블루랑 블랙도 살까 생각중이예요
dkwl9**|이가격에 사다니- 키, 몸무게160 52-착용사이즈-착용후느낌은?(좋은점/나쁜점)남친이랑 커플로 샀어요싼가격에 완전 좋아요 요즘입기좋겠어요
dkwl9**|좋아요 굿- 키, 몸무게160 52-착용사이즈-착용후느낌은?(좋은점/나쁜점)싼가격에 완전 잘샀어요스키니에 입음이쁘겠어요
ppp18**|그레이 후기- 키, 몸무게163/60-착용사이즈그레이-착용후느낌은?(좋은점/나쁜점)너무 딱 붙지않아 부담스럽지도않고 면도 좋아서 편해요사길 잘 한 것 같아요 두꺼운 옷 입을때 입어도 좋을 것 같고그냥 집에서 홈웨어로 입어도 괜찮을 것 같아요제가 통통한 편인데 그래도 살짝 헐렁하네요블랙도 주문했는데 사길 잘 한 것 같아요
ppp18**|블랙, 29사이즈 후기- 키, 몸무게163/60-착용사이즈블랙/29-착용후느낌은?(좋은점/나쁜점)면이라 얇아서 겨울에는 조금 추울 것 같지만 진짜 편해요원래 28 입는데 한 치수 크게 29 샀는데 너무 딱 맞아서 30 샀으면 좀 더 편했을 것 같아요살빼면 편하게 입을 수있을 것 같네요ㅠㅠ아무튼 면이라 편하면서도 스판끼가 있어서 딱 좋아요 너무너무 편해요블랙스키니는 필수라 강력추천합니다
leebo**|좋아요- 키, 몸무게 158/48-착용사이즈M-착용후느낌은?(좋은점/나쁜점)좋아요 일단 가격에 비해 재질도 부들부들하고!근데 처음 온날 옷냄새가 너무 나서ㅜㅜ좀 역했어요
ppp18**|포토후기 2등이예요!- 키, 몸무게163/60-착용사이즈와인색-착용후느낌은?(좋은점/나쁜점)생각보다 많이 얇아서 입기엔 좀 추울듯해요 안에 니트를 입던가 해야될 것 같아요마감이 생각보다 별로네요 입자마자 바로 단추가 떨어져서 꿰매느라고 고생했어요모델언니가 입었을땐 색이 예쁜데 실제로는 좀 더 어둡고 진한 것 같아요그래도 옆태가 예쁘긴 예쁘네요 그런데 허리벨트가 너무 짧아서 리본도 안묶여져요허리 벨트 좀 교환 해 주실 수 없나요? 원래 이런 건가요?예쁘긴 한데 참...퀄리티는 떨어지네요
