saena**|무난하고아주좋습니당~!고고싱은항상가성대비최고에여!ㅎㅎ배송도무난했구두루두루잘활용할거같아여!
saena**|너무따듯하고핏도좋고다좋습니당~!고고싱옷은항상가성대비최고에여!ㅎㅎ배송도무난했구올겨울잘입을거같아여!
qweas1**|느낌도 좋고 따뜻해요 가격싸서 기대안했었는데 진짜 기대 이상이예요 진짜 다른색상들도 더 살예정이예요ㅎㅎ
okbi**|길이가 정말 딱인것 같아요!!두께는 생각보다는 조금 얇긴한데길이나 핏이 마음에 들어요 ㅎㅎ 심지어 편합니다추천합니당 ㅎㅎ
dbsdk53**|처음봤을때 엄청커서 놀랐고 ㅋㅋㅋㅋㅋ정말 예쁘고 따뜻해요!! 어떤 옷이든 잘 어울리고자주 쓸거같아요!!
570859883**|진짜 쫀쫀하고 잘늘어나요 처음엔 조금 작은것같았는데 입어보니까 들어가더라구요! 근데 며칠입었는데 살짝 보풀이 생기는 기분도 들었어요 그래도 가격대비 만족함니다
570859883**|제가 어깨가 넓어서 그런지 어깨선이 조금 애매해서 붕뜨는 느낌이 있고 길이가 조금 짧아서 바지에 넣어입기엔 무리였지만 키165정도되는 친구가 입으니 딱 이쁘고 좋았어요 재질도 좋네요!
qwqw1**|색깔은 화면이랑 똑같이 이쁜 블루에요~ 근데 너무 잘늘어나고 핏이 좀 커요 ㅠㅠ 그리고 기모 있어서 얇은데도 따뜻해요~
47642088**|쇼핑을 한동안 안하다가 한번에 몰아서 많이 샀는데 그중에서 제일 맘에드는 옷입니다. 블라우스랑 매칭해보려고 산건데 너무 잘어울리고 앞길이 뒷길이 다른게 가장 예쁜 포인트인것 같아요^^ 잘샀습니당 길이도 제키에 적당해요~
570859883**|정말 활용만점이더라구요 평범한 목티입기엔 너무 밋밋했는데 단가라폴라티를 입으니까 좀더 꾸민느낌에 조금추울때 껴입으면 보온효과도 있구요 지금은 너무추워서 단일제품으론 못입어봤네요 ㅠㅠ
47642088**|사진이 확대한거라 잘 안보이시겠지만 다올린게 아니고 좀 느슨하게 내렸는데도 저정도 길이입니다. 길이때문에 이 양말 저 양말 엄청 뒤졌는데 잘찾은것 같아요. 여기저기 막 신을 수 있는 가격과 그 가격에 맞는 퀄리티여서 맘에 듭니다!!
wooso10**|지금도 입고 잇은데 안에 레이어드 ? 검정부분이 약간 따끔하면서 가려운게 조금 아쉬워요 따듯하고 예뻐서 자주 애용해요 !!
47642088**|평소에 자주 입어보지 않을만한 재질이더라구요.그래서 다소 먼지붙음이 심하고 다른분들이 써놓으신 것처럼 전혀 스판이 없는 옷이라 머리나 팔 넣을때 뜯어질까 무섭습니다ㅋㅋㅋㅋ 그치만 같이 입으려고 산 니트원피스랑 입어보니 역시나 매치가 잘돼서 후회는 안합니다!!
wooso10**|정전기가 많이나서 빨아입는걸 추천해료 그리고 솔직히 조금 통이 좁아서 그리 핏은 좋아요 보들보들 맘에 듭니다 따듯해여
570859883**|발끝까지 나온사진이 없네요ㅠㅠ 근데 진짜이쁜 기장이에요 키큰녀들이 입어도 팔도안짧고 벙벙한핏 어깨 좁은분들이 입으면 더 귀여울것같고 색도 어두운핑크?라서 싸구려처럼 안보이고 두꺼워서 따뜻하고 좋아요!
wooso10**|소매부분이 넓어서 더욱 포인트가 되는거 같아요하얀색이라 깔끔하고 무난하게 입을수 잇는거 같아요소매가 넓어서 안에 폴라티를 입느면 예쁠거 같아요
47642088**|브라운을 시켰는데 단추색도 예쁘고 무엇보다 니트재질의 쫀쫀함과 모든 색감이 예뻐요. 다만 제시된 사진보다는 아랫부분이 더 펑퍼짐해요. 그래도 몸에 붙다가 갑자기 펑퍼짐한게 아니라 전체적으로 박시한 가디건이어서 만족합니다.
qufdmlgid**|진짜 물빠짐 개심해요;;그냥 입어도 이너에 청색 다 스며들고 손빨래 한번 했는데 파란물이 엄청 나오네요 손에 다 스며들고 ㅋㅋㅋ와..넘 심하다 역대급 물빠짐...
570859883**|옷이 극세사 이불처럼 뽀송했고 일본갔을때 입었는데 11월임에도 불구하고 안에 얇은티에 저것만입었는데 따뜻했어요! 제가 키가큰데도 엉덩이 가리는 기장에 손도 가려져서 조금더 여리해보이고 예뻤어요 저옷만 색깔별로 사라고 하면 다사고싶어요 ㅠㅠㅠ가격대비 엄청만족입니다
1673366369601539**|처음엔 발목부분 가죽이 딱딱해서 발목이 많이 아팠는데 계속 신다보니 발목부분이 부드러워져서 뼈가 별로 안아팠어요 디자인은 정말 이뻐요 특별한날이나 꾸미고싶은날엔 자주 신게될거같네요
1673366369601539**|부드럽고 따뜻해요 정전기가 많이 올라오긴 하지만 재질특성이니뭐..ㅎ블랙으로 구매해서 데일리로 많이 입을 수 있을듯해요 날씨가 추워지니까 이렇게 따뜻한 옷만 찾게되요 올겨울 이옷을 젤 많이 입을거 같습니다!!하하
1738390366466954**|완전따뜻하고 이뻐요 이거완전추천드려요 택배오자마자뜯었는데 진짜이뻤어요 ㅠㅠ 꼭사세요 이옷 인생탬
lllong**|이 가디건 9천원 실화?고민하는분들 사세요사세요브릭 색감 너무 예뻐요빨강도아니고 그렇다고 완전 어두운 안예쁜 빨강도아니고포인트 주기 딱 예쁜 색이에요그리고 목부분 흐물흐물하단 글봤는데 전혀요?두께감은 얇지도 두껍지도 않아요 걍 적당한느낌이에요
54730808**|핑크니트 갖고 싶었는데 진짜 입어보니까 정말 이뻐요ㅠㅠㅠ 역시 나트는 고고싱이 최고인거 같아요! 여러분들도 얼른사세요 ㅎㅎ
54730808**|이거 진짜 이뻐요ㅠㅠ 사진으로 봤을 때도 이뻤지만 실제로 입고 보니까 너무 이뻐요 ㅠㅠ 여러분 얼른 사세여! 짱입니다! 역시 니트는 고고싱이 짱인듯..!
54730808**|음...생각보다 따가워서 당황했습니다..그래도 이쁘니까 잘 입을게요!!  이너로 입기에 괜찮은거 같아요 고고싱 짱!
54730808**|귀고리 이뻐요! 친구들도 어디서 샀냐고 물어보네욯ㅎ 진짜 배송도 빠르고 같이 산 옷들도 이쁘고 ㅎㅎ 고고싱 짱입니당 번창하세요!
lllong**|와 이옷은 대체 뭐죠기본 니트라 별생각없이 주문했는데와 촉감이 진짜 끝내주네요러시안블루 고양이 만지는 느낌?ㅋㅋㅋㅋㅋ원래는 그린이 사고싶었는데 이 촉감으로 다른색은 어땟을지 궁금하네요
lllong**|일단 예뻐요지퍼는 옆에달려있고 뻑뻑하단 글 있던데 그런느낌 저는 못느꼈어요모양이 잘 안잡힌다던데 밑에 단 조금 꼬매거나 고정시키면 더 예쁜 핏 나올꺼같아요두께도 나름 두껍고 무늬도 예쁘고 색도 굿굿예전에 고고싱에서 산 남방이랑도 매치해보니 어울려서 더 맘에들어요
