aliceson**|학교 다니면서 쓰려구 샀는데 전공책, 노트북, 파우치 별의별 거 다 넣어도 자리가 남을 만큼 커요!! 어떤 옷이랑 매칭해도 잘 어울리고 좋아요!! 실용적이게 잘 쓸게요!!
circle20**|생각했던 대로 진짜 이뻐요!!!꼭 사세요. 벨트랑 분리 되지는 않지만 그래도 이쁘니까 좋아요 ㅋㅋㅋㅋㅋ 길이도 딱 좋네요.
dhwogml**|보자마자 너무 이뻐서 질러버렸네요 ㅠㅠ배송오자마자 뜯어서 입어봤는데 ,역시 너무 이뻐요 ㅠㅠ핏도 여리여리 해보이고질도 괜찮아요 !심플해서 데일리로 괜찮을거같구요 !!
dhwogml**|보자마자 너무 이뻐서 구매했는데구매하길 잘했네오 ㅎㅎㅎ핏도 괜찮구 색감도 이뻐요 !화면이랑 똑같아요 !심플해서 아무때나 입기도 좋을것같구요 ㅎㅎ
dhwogml**|다른분들은 어깨 넓어보이신다는데 ,그래서 고민을 많이 했다가 질렀는데 ,박시하기는한데 저는 괜찮았어요 !! 질은 두툼해서 좋았구요 ㅎㅎ가격도 이정도면 저렴하다고 생각되네요 ㅎㅎ
won35**|진짜 입고 될때까지 기다리다 바로 샀어욯ㅎ 오자마자 입었는데 너무 이쁘고요 정날 후회 안하십니다 친구들이랑 수능 끝나고 놀러 갈 때 입으려고요 너무 사랑해요 고고싱ㅠㅠ♡
tpqls7**|진짜 옷이 너무 이뻐요ㅜㅜㅜ.치마 잘 안입는데 이런 치마 사고싶어서 구매했는데.이건 진짜 꼭 사야되요!강력추천!여태까지 옷 산거 인생이라고 붙힐만한거 없었는데.이건 인생치마에요!9,900원인데 이정도 퀄리티 고고싱 사랑합니다♥♥벨트도 같이 구매했는데. 혹시 고고싱 신이세요ㅜㅜ?진짜 완전 짱!!다리도 길어보이고 짱 좋아요!!♥♥
agnes09**|친구 생일 선물로 줬는데 진짜 잘 하고 다녀요! 평소에 다른 것들로 자주 바꿔 끼고 다녔는데 최근에는 이것만 하고 다니네요. 기분이 좋습니다
108629618**|옷은 진짜 이쁜데...사이즈가 ㅜㅜ..분명 프리인데 프리가 아닌 느낌...마른분만 시켜야할거 같아요...ㅜㅜㅜ
agnes09**|친구 생일선물로 줬는데 잘 신고 다니고 있어요! 친구가 좋아하더라구요 핑크핑크한게 사진이랑 똑같아서 더욱 신뢰되는 고고싱입니다!!
dhwogml**|기대없이 구매했는데 너무 이뻐요 !!핏도 여리여리 해보이구요 !!옷 넣어서 입어도 괜찮고 ,빼고 입어도 괜찮아요 !!색깔별로 갖고 싶네요 ㅠㅠ
agnes09**|친구 선물로 줬는데 아주 잘 입고 있다고 하네요! 솔직히 받았을 때 그냥 내가 가질까 하고 생각할 만큼ㅜㅜ 이쁘다네요.. 고고싱 감사합니다!
dhwogml**|드디어 옷 왔네요 ㅠㅠ제가 구매할려고 할때마다 품절이여서 ..,그래도 이쁘니까 계속 기다렸네요 ㅎㅎ입어보니까 핏도 괜찮구 색감도 이쁘네요 ㅎㅎ기다린 보람 있어요 ㅎㅎ
won35**|제가 처음으로 고고싱에서 치마를 샀는데 뭣도 모르고 s를 사서ㅠㅠ 좀 작네여ㅠㅠㅠ 그래서 교환하려구요 근데 진짜 이뻤어요 다리도 길어보이고 고고싱 더 자주 애용하겠습니다..!!!
chloe0**|박시하고 무난한 회색 후드티를 사고 싶어서 찾던 와중에 가격도 다른곳에 비해서 저렴하고 핏도 딱 제가 원하는 핏일 것 같아서 구매했어요!!진짜 받자마자 같이 주문한 바지랑 입어봤는데 퀄리티도 너무 좋고 핏이 짱 예뻐요!!♥ 교복에도 입어봤었는데 진짜 완전 만족스러워요!!!돈생기면 다른 색깔도 주문하려고 합니다ㅎㅎ:-) 박시한 후드티 사고 싶은 분들 꼭꼭꼭 사세요!!
392877456**|브라운 색상 샀는데 너무 예버서 검정색도 샀습니다! 딱 날씬해 보이게 해주고 허벅지 두꺼운 것도 쏙 가려줘서 너무 좋네요ㅋㅋ
392877456**|너무 예뻐요.. 고고싱 옷들이 다 제 취향인데 그 중에서도 블라우스가 너무 예쁩니다.. 앞으로 블라우스 더 많이 올려 주세요ㅠㅠ
owoo**|자주이용하눙데 후기처음남겨요!너무길지않을까 걱정했는데 멜빵으로 길이조절도 되구우너무이쁘고 편해오(●__●)
gust**|키 작은 저에게 소매길이도 딱 맞고 기장도 적당했어요!여성스럽기도 하고리본카라가 달려 있어서 더더욱 귀여운 거 같아여ㅠㅠ! 어떤 코디에도 다 어울려서 자주 입을 것 같아요배송도 빠르고! 역시 믿고 이용하는 고고싱 입니다ㅎㅎ
kim40**|사실 저는 좀 불안했거든요 파는 사진이랑 실물이랑 색이좀 다를까봐요...ㅎㅎ 근데 전혀 다르지않고 똑같아요 근데 팔길이가 너무 딱맞아서 앞으로나란히만해도 좀 짧은느낌이드네요ㅠ
kim40**|색상도 딱 사진그대로이고 실물 너무이뻐요♡♡제가 사실 핑크는 잘안받는 편인데 이거는 너무 이쁘더라구요 어제 입금했는데 오늘 와서 너무 좋았어요
lld50**|너무너무너무 예뻐요 생각하던 치마 그대로에요 !! 속치마만 잘 내려서 입으면 짧지도 않아서 좋습니다배송도 한 이틀만에 된거같아요
boo**|지금 제가 s 샀는데 좀 아쉬워요, 다행히 입지 못하는 정도는 아니지만 허리가 약간 당깁니다 사이즈가 작네요 입어보니까 핏은 예쁘긴 한데, 좀 딱 떨어져요 스키니에 좀 더 가까운 핏이 나옵니다저랑 사이즈가 같으신 분들은 m 사이즈 사시는게 좀 더 넉넉한 일자핏이 나올거라고 생각해요
boo**|입었는데 세상 너무 이뻐요 옷이 사실 봄에 이 가디건 나왔을 때 색상이 스트로베리랑 화이트 두가지 뿐이여서 참 아쉬웠는데 ㅠㅠㅠ 이렇게 색상이 다양하게 나오니 너무 좋습니당단추+주머니+여리한 핏 완벽해요
boo**|제가 이 바지 살 때 사이즈가 참 애매했어요 딱 사진 모델분처럼 딱 달라붙지 않고 일자로 떨어지되 너무 통 크지도 않은 적당한 핏을 원했어서 s를 살까 m을 살까 많이 고민했던 거 같아요결론적으로 저랑 사이즈 같으신 분들은 s사시면 모델분처럼 핏이 이쁘게 나와요 다만 바지 기장이 조금 기니 접어 입어주시면 이쁘겠네요
boo**|배색이 무난하고 캐주얼하니 이뻐요 오후수업 밖에 없는 날은 이 후드티를 대충 걸치고 나가면 완---벽 그 자체편하단 얘기입니다
boo**|치마가 너무 이뻐요!! 사진 그대로이고 위에 니트도 똑같은 걸로 사서 입었는데 넘나 가을 분위기 납니다 입고 밖에 나가고 싶은데 요즘 날씨가 다시 따뜻해져서 못 나갔는데 다음주는 좀 추워지길 기대해봅니다..(간절)
guswjd31**|색이 진짜 너무너무 예쁘고 막 그렇게 흔한 니트 색도 아니여서 좋아요! 길이가 조금 짧은 감은 있지만 두꼐도 가격대에 비해 도톰하고 밑단 트임이 너무 예뻐용!!!!!!!!!!!!!!
10457177**|색깔 고민 진짜 많이 했는데 핑크 사길 잘했어요품이 좀만 작았음 더 예뻣을거 같아요저한테도 크네요ㅋㅋ디자인 예뻐요 단추있고 주머니 있고 소매 넓어서 귀여워보여요
guswjd31**|핏이 진짜 예쁘고 다들 입은 거 보고 사고싶다고 막 이야기해주니까 너무 좋네여! 소매도 막 폭이 넓지도 좁지도 않고 딱 적당하고 어깨선도 넓어버이지도 않고 애매하지도 않게 딱 좋아요! 굳이 단점을 고르자면 주름이 은근 잘 안펴지네요ㅜㅠ 이거 어떻게 꿀팁 없을까요? ㅎㅎ 여튼 구겨짐에도 불구하고 너무 예쁜 옷 이예여!
10457177**|배송 오자마자 입었더니 구김이 있네요길이감 길어서 좋구 재질도 부들부들해요약간 가오리핏이라 어깨 넓어보이는게 좀 아쉽네요..
wlgp11**|평소 하의실종 패션으로 자주 다녀서 그런가 딱 제가 찾는 그런 옷!! 진짜 예뻐요..ㅜㅜ옆이 트여있는 덕분에 바지가 보여서 더 좋구용ㅎㅎ자주자주 입을 옷이 될 거 같아요 블랙도 살까봐요ㅜㅜ
ddu**|치마가 생각보다는 많이 짧게 나온거 같아요그래도 재질도 생각보다 괜찮았고 핏도 이뻤아요~ ><조끔만 더 길면 더 만족할거같아요
10457177**|와인색 예뻐요 조명때문에 색상 잘안잡혔는데 실물 이쁩니다입을때 엉덩이에서 걸리는데ㅠ 허리짱짱해서 뱃살 다감춰줘요A라인이라 진짜 편하구요 이거 입고 외출한날 옷이쁘게입었단 얘기 들었어요~
ddu**|핏이 굉장히 여리여리하게 이쁘게 나온 것 같아요조금 박시하지만 그래서 더 이빠요><다른 색깔도 더 사려구용~~♡♡♡
10457177**|모델 코디대로 구입했어요팔길이는 팔목보다 짧아요딱 가을용인거같구요핏이 예뻐요 재질도 좋고 배송 오자마자 애용중입니다!
ruyj20**|사진 보고 너무 예뻐서 구입했습니당ㅎㅎ 일단 받고 나서 바로 확인해 보니 프린팅 아주 예쁘고요 길이도 길고요 박시하고 딱 좋아용ㅠㅠ 제가 평소 밝은 색 옷을 많이 입는 편이라 노란색 티가 많음에도 불구하고 이왕 해바라기니까 옐로우 구입 해야지 하고 옐로우 구입했는데 매우 만족합니당 색깔 고민하시는 분들께 옐로우 추천 드려용!!
116311637**|다른 사이트에서 옷을 샀는데 너무 잘 안맞길래 고고싱에서 사봤는데 세상에나..너무 편해요ㅠㅠ 정말 고무바진줄 알았습니다 스판 정말좋고, 아래 컷팅된것도 너무 예뻐요 다리가 짧은편은 아니라 롤업은 못하지만 롤업하시고 입어도 정말 예쁠것 같아요 색상이 화면보다 어두워서 아쉽지만 허벅지 안쪽살이 많은데도 그걸 커버해줍니다 앞으로 자주 이용하겠습니당❣️
