snbjy**|항상 골반사이즈 맞추면 허리가커서 수선했는데 이 옷은 딱 좋아요.라인도 너무 이쁘게 떨어지고 편해서 좋습니다.한개 더 주문하려구용
pon031**|슬랙스 전부터 계속 가지고싶어서 틈틈히 기회노리다가 재입고 됬길래 바로 구매했습니다 살이 많아서 스판도 있다길래 고민없이 질렀죠 역시나 살이 많다보니 허벅지쪽이 끼는데 그래도 이쁘네요ㅎㅎㅎㅎ살좀빼야겠어요 진짜 여름에 입어도 시원할것같구 일자바지형식이라 제가 딱 원하던 바지라 너무 맘에드네요 살빼고 하나 더사려구용 자주입ㄷ고다닐깨요!!
meow1**|일단로브를너무사고싶어찾아보다가디자인도이쁘고가격도착해서바로구매했는데후기가없어고민하다가일단구매했는데너무맘에들고요!소재도시원하고 손목부분도이쁘고길이도괜찮아요블랙이라코디도편하고 연청이나 나시랑입으면진짜이쁘고 바람불면진짜짱짱이쁨바로구매하세요!^^
lds04**|이거 진짜 예뻐요 고민하시는 분 있으면 꼭 사시길 바라게요! 어디든 적당히 다 어울려서 청순하고 싶으실 때 입고 나가심 될 것 같아요!
hjoo8**|모양도 이쁘고 뽕브라라서 골도 생기고 뽕있는부분도 딱딱하지않고 좋아요! 근데 처음에 딱 뜯었을때 어깨끈이 한쪽이 빠진것도 아니고 아예 없더라고요..; 교환하기도귀찮고 그래서 집에 안입는브라 한쪽끈떼서 달았어요..
pon031**|반팔티가 없어서 딱 적당히 이쁜 노란색?개나리색에 선인장 그림이 잘 어울려서 너무 이쁘더라구요 이번에 고고싱에서 옷 엄청 많이 질렀는데 하나같이 다 맘에듭니다 정말루ㅠㅠㅠㅠㅠ사랑해요 고고싱!!!근데 한번 빨았는데 줄어든건지 그새 살이찐건지 갑자기 길이가 짧아진 느낌이랄까..뭘까요 도대체ㅜㅜ그래도 옷이 너무 이뻐서 계속 입고있습니당 옷 정말 귀여워요 반바지에 잘 어울릴것같아여 잘입을께용!!
lds04**|후기에서 블랙 추천하시는 것 같아서 블랙으로 구매 했는데 좋은 선택이었던 것 같아요! 길이감이 꽤 있지만 재질이 워낙 얇고 부드러워서 입고 나가도 꽤 시원하더라고요! 단지 조금 아쉬운 점은 허리가 좀 크다는 거? 데이트날 급하게 입고 나가느라 옷핀으로 살짝 집었었는데 맘에 들어서 자주 입을 생각이라 아예 수선맡기려구요!
meow1**|롱치마입고싶어서구매했는데 만족하구요.여름데일리로도입기좋을것같고 놀러가서도입기좋을것같네요사진처럼나플나플거려서바람살짝불면이쁘고 걸을때도이쁘네요!제가키가작은데도괜찮은것같아요 아쉬운건허리가큰거?빼고는괜찮고이뻐요 소재도시원하고 다리도길어보이고좋네요^^
hjoo8**|뽕있는부분이 조금 딱딱하긴한뎅.. 좋아요! 뽕브라처음입어보는데 가슴골도 딱 생기구! 속옷이라 목부터 발까지 사진은 좀..ㅠㅠㅠ
76808201**|키 작으신분들 상의사이즈?ㅠㅠ작으신분들은 좀 고민해보세여.. 생각보다 엄청 펑퍼짐하고 어깨도 넓어보이는거 있는것같아요..색도 생각보다 칙칙해요 딱 베이지색?아이보리 아닌건 리뷰보고 사서 괜찮은데 역시 프리사이즈라그런지 키작녀분들한텐 좀 클것같아요ㅠ
tndus6**|소매가 이런건줄 몰랐는데 당황했어요ㅠ근데 진짜 여신핏 ㅠ 꽃무늬원피스가 실제로봤을때 안이쁠수 있어서 잘 보고 사는데 이건 진짜 구매각입니다 여리하게 보일 수 있고 길이가 너무 길지도 않아서 키가 작은사람이 입어도 좋을 것 같아요 ㅎ 이런걸로 많이 올려주세요ㅠㅠ
pon031**|딱 옷 보자마자 너무 이뻐서 사고싶었는데 몸이 통통?뚱뚱한 체형이라 안어울릴줄알고 계속 고민했는데 다른 후기들 보면서 자신감얻고 결국 질렀는데..이게 무슨일입니까 너무 예뻐요ㅠㅠ사진은 급하게 찍는다고 대충입고찍었는데 원피스랑 치마에 입으면 존예입니다 여름에 입으면 덥겠지만 날 더워지기전까지 매우 잘 입고다녔어요 그냥 단가라티에도 입어도 이쁘더라구용 번창하세욯ㅎ
tndus6**|청지마를 입어본적이 없어서 m샀는데 안에 옷넣고 입으면 힘들것같아서 l로 바꿨는데 너무 커서 이것도 못입을것같아요ㅠ 배송비가 부담되서ㅜ그냥 친구 주려고요 디자인은 나쁘지도 않고 무난하답니다ㅠ 모델처럼 날씬하지않아 사이즈 측정이 어려운것 같아요ㅠㅠ
tndus6**|생각보다 너무 두꺼워요....지금 입긴 조금 그래서 가을 되면 입으려고요 사진은 안그래보였는데 봄 여름 가디건이아닌듯 하네요...쩝 그래도 차콜색이 이뻐서 입으려고요  가디건 두께감이 잘 모르니깐 설명 해주면 더 좋을 것 같아요 ㅎㅎ
tndus6**|생각보다 너무 두꺼워요....지금 입긴 조금 그래서 가을 되면 입으려고요 사진은 안그래보였는데 봄 여름 가디건이아닌듯 하네요...쩝 그래도 차콜색이 이뻐서 입으려고요  가디건 두께감이 잘 모르니깐 설명 해주면 더 좋을 것 같아요 ㅎㅎ
tndus6**|생각보다 박시합니다ㅠ엉덩이 가릴정도로 좀 길고 색깔이 핑크가 이쁠 것 같아서 샀는데 색깔이 나쁘진안았어요 무지여서 그런가  색깔이 먼가 심심해보이더라고요 요즘 더워서 이거하나입고 다녀요 그린색이나 파란색도 나쁘지 않을 것 같아요 사고싶네요
tndus6**|고고싱에서 청자켓 샀었는데 너무 이뻐서 요번에도 샀어요 색깔이 밝은 색이라 봄에입기 좋고 요즘은 더워서 밤에 쌀쌀할때 입기 좋아요 ㅎ 자켓이 그렇게 박시한건 아닌것 같아요 딱 적당하고 걸칠 수 있는게 가디건말고 이뿐게 더 나왔으면 좋겠어요 ㅎ 잘입을게요
tndus6**|골지로 된 걸 처음 입어보는데 딱 붙더라고요. 치마에 입기 좋을 것 같아요 다만 물이 빠진 다는 점입니다...더워서 그런가..속에 입었던 나시가 검정색으로 물들었어요ㅠ  저만 그런건가요..ㅜ 날씬하게 보여서 좋지만 다음에 입을 때 조심스럽네요ㅠㅠ
algus10**|편하고 길이감도 딱좋아요 보들보들재질도 좋아요 ㅎㅎ위에 아무티나걸쳐입어도 어울리고 바지에잡힌 주름도 촌스럽지도않고좋아요 !
algus10**|신축성이 좋아요 발목에접힌길이도 딱적당히이쁘고 편해요!!찢어진부분도 위치가좋아서 이뻐요바지가 ㅎㅎ 잘입고있어요~
tndus6**|너무 이뻐요ㅠ 사진을 찍을 시간이없어서 공유는 못했지만 길이가 길지도않고 짧지않고 딱 이쁜핏?? 배송 기다렸는데 기다린 보람이 있는 것 같아요 ㅎ 색상이 더 다양한게 있다면 좋았을것 같아요 ㅎㅎ 편하게 입을 수 있어서 좋고 후회없습니당 ㅎ
algus10**|소라색구매했는데 팔소매부분이 펑퍼짐해서 마음에드네요 ㅎㅎㅎ재질도 두꺼운재질아니고 얇은재질이라 지금날씨에입기딱좋아요
algus10**|색감도이쁘고 얇고 신축성이좋아요!! 초여름에도 충분히 즐겨입을수있을거같고총기장도 짧은편이아니라 바지에 넣어입어도 이쁘네요 !!
wlgp50**|평소 운동화는 딱맞게 230 구두나 로퍼는 235 신는데 칼발이라서 235시켰어요다른 사이트에서 구매하려고 봐둔신발인데고고싱이 훨씬 저렴합니다! 발아플까봐 걱정했는데 너무 편하고 여름에 잘신을거 같아요!
45316231**|아직 본격적인 여름이 오기 전이니까 일부러 조금은 따뜻해보이면서도 색감이 너무 이쁘게 빠진 브라운을 구입해봤어요. 결과는 대만족이네요. 풍덩하니 커서 스키니한 바지와 잘 어울리구요. 이대로도 이쁘지만 살짝 포인트를 주고싶을땐 핀뱃지를 한쪽에 매달아서 변화를 줄 수 있어요. 기분 따라 다름 걸 매달 수도 있고.. 민자 티셔츠의 매력이네요. 자주 입을 수 있을 것 닽아요. 퀄리티도 좋으니...ㅎㅎ
dmsgml87**|함께 산옷중에가장 시원하네요아이보리색이라 어디에나 무난하게 매치되며기장도 살짝길어 아주맘에드네요초커가있어 포인트되니 딱좋아요
wlgp50**|여름이라서 연청바지 구매했습니다스판이 좋아서 바지가  불편하지 않고 너무 편합니다트임도 심하지 않아서 무난하게 입을수 있을거 같아요!!
45316231**|완잔 쫙 달라붙는 바지. 거의 레깅스 같은 수준이지만 스판끼가 있음에도 나름 빳빳한 소재감이라 바지느낌이 더 많이 나요. 길이 저한텐 좀 길어서 2cm 정도 접어입었구요. 검은 색이라 접은 부분이 많이 티 안나서 다행입니다... 주머니가 있어서 좋고 다리가 확실히 얇아보이네요. 아참 그리고 하이웨이스트라 완전 편해요. 뱃살을 안에 집어넣어버리면 편해요
gkwlak**|검정색이랑 흰색 둘다 엠사이즈로 샀는데 두개가 사이즈가 좀 다른것같아요! 화이트는 블랙보다 좀 널널하지만 둘다 꽉 쪼이는 감이 듭니다!!
gkwlak**|흰 색 기본티 갖고 싶었는데 마침 딱 있어서 샀는데 정말 잘산것같아요! 핏도 예쁘고 편하게 비침도 적어서 여름에 자주 입고다닐듯 합니다~
gkwlak**|일부러 사이즈를 널널하게 입으려고 m사이즈를 골랐는데 생각보다 쫙 달라붙는 것 같아서 아쉬워요! 그래도 가성비 짱짱이에요!
gkwlak**|역시 잘팔리는데에는 이유가 있는 것 같아요! 사이즈도 길이도 핏도 정말 좋은 바지인것 같습니다!! 여름에 편하게 많이 입고 다닐게요!
gkwlak**|가격대비 원단이 좋은 것같아요! 여름되면 시원하게 잘입고 다닐수있을 것 같습니다~ 근데 색이 생각했던 색이 아니라 조금 아쉬워요ㅠ
gkwlak**|재질은 좋은데 제가 생각했던 핏이 안나와서 조금 아쉬운것 같아요!  베이지색이어서 그런지 찜질방 옷을 입은것 같기도 하고요ㅠㅠ
dlgmlwjd**|여름에 잘 어울리는 색과 입어보면 신축성도 좋고 핏이 너무나 이뻐서 다리도 날씬해보여서 자주 착용하게 될꺼 같아요 이런 바지 사랑이죠~
apple27**|가격도 저렴하고 핏도 예쁘게 떨어지는 슬랙스같아요 허리도 밴딩이라서 편하고 길이감도 예뻐서 자주입게될 바지같네요~~
dlgmlwjd**|선인장프린팅티 노란색으로 구매 했는데 입어보니 아무 바지나 잘 어룰려서 여름에 많이 입고 다닐것 같아요 ! 면도 좋아서 입으면 기분이 좋아져용
apple27**|막입기 너무좋아서 여러번 구입하고있어요 블랙으로 구입한적있는데 네이비도 구입했습니당 두 컬러모두 너무예뻐요~~
apple27**|네이비컬러랑 레드랑 고민하다가 브릭레드선택했어요 길이도 적당히 길고 재질도 시원해요 단점은 가슴부분이 좀 벌어집니다,,,
apple27**|뷔스티에 원피스안에 입으려고 무난한 블랙컬러 선택했어요 슬라브재질이라서 여름에 시원하게입기도 딱 좋고 비치지도않아서 좋아용
apple27**|블랙컬러보다 네이비컬러가 더 좋을것같아서 네이비선택했어요 두께도 적당하고 편하게 입기 딱 좋은 옷같아용 기본티로 추천합니당~
apple27**|컬러 고민하다가 여름에 밝은컬러 입어보려고 소라컬러 구매했어요 두께도 적당하고 막입기도 편하고 좋은것같아요 추천합니당~~
dmsgml87**|카키색과 함께 샀는데 여름에입기 넘좋네요딱 원하던 브이넥에 슬라브라 얇고 시원해요화이트라 어디에 받쳐입어도 이쁘고착한가격이라 더더욱 만족해요살까말까 고민하시는분들은 당장사세요저는 핑크까지 살까 생각중이네요
apple27**|롱기장이라서 활동하기 편해요 블랙컬러 구매했는데 스트라이프라서 적당히 포인트되고좋아요 원하는컬로 구매하시면 좋을거같아용 깔끔하고예쁩니당
whippi**|사진이랑 똑같아요원피스 안에도 입고 하의랑도 입고여기저기 잘 입습니다통통인 저도 널널하게 입을 수 있어서 좋아요다른색도 살 의향이 있습니다
whippi**|기본티여서 원피스 안에도 입고, 하의랑도 입고여기저기 잘 입을수 있습니다통통인 저도 널널하게 잘 입어요 다른색도 살 의향이 있습니다
apple27**|블랙컬러구매했는데 깔끔한 컬러에 에브리데이 포인트가되서 예쁜거같아요 통은 좀 큰편이지만 박시핏으로는 딱이랍니당
apple27**|소재도 시원하고 막입기 딱좋아요 처음받았을때 새옷냄새가 좀 심하긴하지만 한번 세탁해서 입으면 괜찮더라구요 디자인도 특이하고 예뻐요~
whippi**|할인행사를 하고 있어서 샀어요근데 원래 저가격에 샀으면 엄청 실망할뻔 했어요너무나도 저렴해보여요.... 엄청나요..옷감이 너무 얇아서 안에 뭐입었는지 다 비칩니다힌티를 안에 입어도 비치는데 어떻데 입어야 할지 모르겠어요
apple27**|약간 도톰하긴하지만 편하게입기 딱 좋은 바지예요 너무 딱붙지도않고 적당한 통에 적당히 포인트되서 마음에듭니당 블랙색감도 예뻐요~
greenst**|어느 오프숄더에도 기본으로 입을 수 있는 색상이라 구매 했습니다, 재질이 나쁘지 않아요, 안에 뽕은 다른걸 넣어서 사용해도 될 것 같아요 잘 사용 하겠습니다~~^^
kug54**|바지 정말 이뻐요!! 언발하나 있는ㄴ데 그거보다 찢긴부분이있어서 더 괜찮았아욯ㅎㅎ 반바지는 믿고삽니다 ㅎㅎㅎㅎ!!
kug54**|이원피스입고 남자친구랑 데이트 잘했습니다 ㅎㅎㅎ이쁜사진도 많이찍고 길이가 조금 짧긴 짧았지만 그래도이뻣어요!!!
greenst**|배송 빠르게 왔습니다, 블랙은 나시티에 입으려고 구매 했어요, 우선은 오프숄더에도 입어봤는데 초반에 불편하진 않지만 좀 익숙해져야 할것같습니다, 감사합니다^^
kug54**|길이가 조금 길기는 한데 이뻐요!! 색도 적당하고 스판도 괜찮아요 ㅎㅎㅎㅎ 바지사기 힘든데 고고싱에서 편하게 바지사고있습니다 ㅎㅎㅎ
431369996**|배송받고 다음날 바로 입었어요 다른칼라도 사게용. 부들부들한게 두께감도 딱 좋고 제발 두번사세요!!
dlwldms08**|여름에 입으면 시원할것같아용!일단 배송이 빨리와서 너무 좋았어요!!!!근데 속치마가 조금 더 길엇음 좋겠네여ㅎㅎ
dageo**|속치마가 있어서 좋네요. 색이 밝아서 시원해보이고 예뻐요. 또 허리부분은 밴딩처리 되어 있어서 편하게 입을 수 있을 것 같아요. 만족합니다.
dlwldms08**|일단 배송이 빨리와서 좋았어요 앞선은 무릎까지 오고 뒷선은 더 길게 떨어지는핏이 너무 좋네여 제가 원하던 핏이에요!!! 그러나 가슴부분이 조금 더 컷음좋겠어요ㅠ
skyljs11**|화이트로 구매했습니다쫀쫀하구 좋아요 ㅎㅎㅎㅎ양말치고 비싼감?도 있지만무료배송을 위해서..ㅎㅎ 가격 맞추기 위해서 고르신다면뭐 나쁘지 않은거같아요^^..다음번에 또 가격 맞출 일 생기면 다른 색으로도 구매하고 싶네여 ㅎㅎㅎ
skyljs11**|화이트 구매했어요ㅎㅎㅎ이런거 기본템으로 몇개씩 가지고 있어야 하잖아요 아직은 긴팔 입을 수 있어서.. 잘 입을거같아요7~8월 한여름 되면 모르겠는데 나시입고 위에 걸쳐주기도 좋을 거 같아요 ㅎㅎ 길이는 적당한 편이고 요즘 날씨에 단품으로 입기 딱 좋아요 아이보리가 아닌 깨끗한 하얀색이라서 좋습니다 ㅎㅎㅎ많이파세용
khji1**|색 진짜 이뻐요!!!딱 제가 원하는 그린색깔 길이도 좋고 면도 부드러워서 입기 진짜 좋은듯ㅎ 다른색도 더 살껄 아쉽..고민하는 사람들 사세용
khji1**|연그레이 색 이쁜줄 알고 샀는데 제가 원하던 색은 아닌거같아요ㅠ...길이도 약간 짧은 감이 있는거 같기도 하구요ㅠㅠㅠ다른색 살껄 그랫나봐요
khji1**|화이트랑 두개 샀는데 진짜 두개 사길 잘한듯해요!!길이가 조금 길긴한데 그래도 엄청 긴게 아니라 엉덩이 중간까지 와서 딱 이쁜 길이ㅠ
khji1**|색 진짜 제가 원하던 파란색이고 사이즈도 넉넉하니 잘 맞아요 ㅎ 잘산거 같아서 다른 색깔도 사고 싶네요!!제 친구도 이쁘다고 나중에 살때 같이 산다네요 ㅎ
guswjd41**|원피스이뻐요!!길이가짧을까봐걱정햇는데다행히 허벅지반조금더되게 오는길이라서 너무짧지않은거같아서좋아요!!
guswjd41**|카키)린넨제질이라서 시원할거같아요 색상은화면그대로이고요 허리뒷밴딩이라서 편합니당 끈조절도가능해서 원하는데로조절해서입으면되용
dltmf71**|사진 보자마자 사야지~ 하고 주문했는데예약 상품이라 언제 올지 기대안하고 있었는데생각보다 빨리와서 좋았어요!색상은 화면보다는 짙은 색이네요 ㅎㅎ주말에 입을건데 기대하고 있어요앞태도 이쁜데 뒷태가 포인트라 사진찍으면더 이쁠거같네요
guswjd41**|카키후기요여름에입기좋은거같아요 얇아서 많이덥지안구요 U넥이라서 좀 많이파엿는데 허리숙일때만조심하면될거같아요 근데 구김이좀 잘가는제질인거같아요
guswjd41**|화이트후기요여름에입기좋은거같아요 얇아서 많이덥지안구요 U넥이라서 좀 많이파엿는데 허리숙일때만조심하면될거같아요 근데 구김이좀 잘가는제질인거같아요
rpdud7**|가방이 되게 미니미하고 귀엽고 이뻐요 근데 말했다시피 작아서 파우치는 고사하고 쿠션 핸드폰 틴트 몇개 넣으면 꽉차네요ㅠㅠ 그래도 이뻐서 들고다닙니다~
rpdud7**|옷이 진짜 약간 고급스럽다 해야되나.. 진주버튼때문에 그런거같아요 옷은 이쁘고 단정하고 좋아요 근데 저한테는 너무 짧네요ㅜㅜ 리본이 탈부착이라 맘대로 할수있는것도 좋아요! 다음에는 길이가 좀더 길게나오면 좋을것같네여
rpdud7**|옷진짜 이뻐요 완전 신축성도 어마어마하고 근데 좀 도톰해서 더워지니까 많이 못입을거같아요ㅠ 가을쯤에 가디건같은거 걸치고 입어야될듯합니다! 트임으로 포인트도 주고 옷은 진짜 이쁩니다! 근데 저한테는 좀 길이가 짧아서 하이웨스트 입어야겠어요ㅠㅠ
guswjd41**|베이지 색상으로삿어요 길이는 무릎위에서조금더올라가는정도에요 허리뒷밴딩잇어서 불편함은없는데 살이쪄선지조금끼네용..
yeiodq**|다들 작게 나왔다고 해서 라지랑 사이즈 고민 많이 하다가 m시켰어요 근데 입을때 스판끼가 없어서 걸리기는 하는데 올리고 나면 허리 쪽 넉넉하게 입습니다 티셔츠 넣어서 입어도 무리 없을 정도에요 입을때는 힘들고 입고 나서는 괜찮아요ㅋㅋ 한고비만 넘기면 예쁘게 입을 수 있는 치마 같습니다 고리 붙어 있는 것도 예쁘고 에이라인으로 되어있어서 너무 달라 붙지 않아 좋아요
106607407**|기대를 많이 했는데 생각보다 별로네요..ㅠㅠ 음 aa라기도 애매하지만 일자는 더 아닌 애매모호한 핏ㅜㅜ 그리고 저만 그런건지 밑위가 좀 많이 남고요 색감은 예쁜데...실물이 사진보다 연한데 실물이 색감은 더 이쁜듯
guswjd41**|같이산 원피스랑입으려고샀어요~생각보다 많이달라붙어요 소매는 모델샷 만큼 기장입니당 색상은 아이보리보단 흰색에가까운색이에용
k636846**|예약판매라서 늦게 올 줄 알았는데 빨리 배송되서 기분도 좋았구요사진보다는 색감이 진한데 그래도 예뻐요ㅠㅠ 진짜 너무 잘 산기분이에용 그런데 사진처럼 이쁘게 뒷부분이 잘 되는거는 아닌거 같아요!!
25118976**|치마 너무 예뻐요~ 예쁘다고 주변에서 완전 칭찬했어요 ㅋㅋ일반적인 플레어 스커트가 아니라, 아래쪽에 플레어가 있어서 더 예뻐요!허리 뒷부분이 밴드이고, 오른편으로 지퍼가 있어요.저는 골반이 작은 편이라 치마 엉덩이 부분이 똑 떨어지는 모습이었는데도 예쁘더라구요~골반이 좀 있는 분들이 입어도 여성스럽게 정말 잘 어울릴 것 같아요!!!허리 뒷쪽 밴딩이 짱짱해서 66 이상인 분들은 허리가 작다고 느껴질 수도 있을 것 같아요 ㅎㅎ이 치마 입고 인생사진 남긴 것 같아서 넘 좋아용ㅋㅋㅋㅋ 배송도 빨랐어요!!
k636846**|가격대비 강추합니다!!!  한번입고 말아야지 하는 생각으로 샀는데 생각이 완전 틀렸어요 진짜 두툼하고 완전 느낌 좋은 재질의 옷이라서 엄청 마음에 들어요ㅠㅠㅠ강추해요!!! 친구도 사고싶다고 하고 좋은거 같아요!!
thals13**|후기!!!- 키, 몸무게161-착용사이즈 L-착용후느낌은?(좋은점/나쁜점)벨트도있어서 좋구 사이즈 엠살까 엘살까 고민하다가 그냥엘샀는데 잘산거같아요!!너무짧지도않고ㅎㅎㅎ엄마도 보고 예쁘다고 잘샀다고 칭찬해줬어요배송도2일만에와서 매우 좋아요고고싱에서 오랜만에옷사는데 성공해서 기분좋아요후기일찍쓸려고 사진도찍었는데 요몇일시간이없어서ㅜㅜㅜㅜ옷진짜예뻐요!!다들사세용~~~♥
106607407**|생각보다 좀 박시한데 원래 박시한 걸 좋아해서 괜찮네요. 레터링 포인트가 마음에 들어서 샀는데 이뻐요 비침도 거의 없음ㅎㅎ
k636846**|너무 예뻐요!!! 재질도 너무 좋고 지금 입기에 딱 적당하고 가격대비해서 재질도 너무 좋은거 같아요! 기장도 적당하고 너무 예뻐서 강추입니당
yeiodq**|넉넉하고 예쁘게 입을 수 있을 거 같아요 색상도 마음에 들고 두꺼운 재질도 아니라서 시원하니 좋을 거 같아요 보통 체격이나 마른 남성이 입었을때도 예쁘게 입을 수 있을 거 같습니다ㅠㅠ 좋은 옷 예쁘게 잘 입을게요
106607407**|카라가 귀엽고 전체적으로 무난하니 괜찮아요. 근데 단추를 몇개 열고 입으면 이상해서 항상 다 채워 입어야하고 바지나 치마 안에 넣어 입으면 괜찮은데 빼면 아저씨 셔츠같은 느낌이 좀 있음ㅎㅎ
cho43**|생각했던것 보다 더 이쁜것 같아요 전체적으로 살랑거리는 핏이 입었을때 너무 이뻐요~! 치마랑 입어도 이쁘고 바지랑입어도 잘 어울려요!
k636846**|너무 좋아용! 하트가  너무 귀엽고 재질도 너무 좋은거 같아요!! 다른 색상도 구입하고 싶어서 구매하려구용!!ㅎㅎ 너무 좋아용!!
vvv030v**|포토 후기 일등이네요!일단 날씨에도 딱좋고 어깨라인도 무지 쫀쫀해요많이 심하게 꾸민것 같지도 않고 신경안쓴것 같지도 않아서 편하게 입을 수 있어요키153이여서 좀길긴해요 160대 분들은 진짜 이쁠 기장인것같아요 배송도 빠르고 감사합니당
yeiodq**|팔이 두꺼운 편이라 허리쪽을 잡아주면서 스판끼가 있었으면 했는데 딱 제가 원하는 옷이였어요 똥똥한 저한테도 맞는 크롭티 최고에요.. 후기 처음으로 써보는 거 같은데 정말 마음에 들어서 올려요ㅋㅋ 크롭티 산 중에 제일 마음에 들고 좋아요 다음에는 검정색도 구입 할게요ε-(´∀｀; )
wjswlst**|이거 너무 이뻐서 색깔별로 3장 샀어요!!앞에 엑스자로 박음무늬? 처리되어잇어서 너무 고급져요그리고 박시해서 딱 달라붙는거 싫어하시는 분들 편하게 반팔입고 싶으신 분들 후회하지 않으실거에요!!!
boao**|키가 작아서 항상 바지를 접고 다녀야해서 불편하고 싫었는데정말 길이감이 너무 딱 좋아요!!! 지금 입기에도 괜찮고 진짜 너무 만족스러워요!!! 데님도 있었으면 정말 더 좋았을 것 같아요ㅠㅠㅠ 그래도 너무 좋습니당
parkthd**|제가 좀 뚱뚱한 편인데 리얼 박시핏이라 너무 좋아요.마른분들이 입으면 원피스 될 정도?길이도 티셔츠 치고 긴 편이고,약간 니트느낌 나는 재질이라 빨리 망가질거 같진 않아요ㅋㅋ통통하신분들한테 강추합니다
wjswlst**|뒤에 밴딩처리되어있는데도 뚱뚱해보이지 않고 너무 예뻐요신축성이 없어서 높은 계단 오를때 조금 불편하긴 하지만 생각보다 얇고 너무 편해서 요즘 매일 입고 있어요!! 완전 추천합니다!!
parkthd**|코발트블루랑 베이지 두가지 샀는데 베이지는 어떤 옷에든 잘 어울려서 좋아요!코발트블루는 얼굴 환해보여서 좋구요!다른 색도 사서 입어봐야겠어요
parkthd**|색상 화면이랑 거의 흡사하고 뚱뚱한 제가 입어도 넉넉해서 좋아요!얇아서 더운재질도 아니라 자주입게 되요.아쉬운점이 있다면 목부분이 많이 올라와서 ㅁ처음입었을때는 살짝 조이는 느낌이 있었어요ㅜㅋㅋ그래도 이 가격에 이정도면 만족합니다
khg88**|배송빠르구요 옷도 이뻐요 흔하지않아 마음에 듭니다색도 진베이지네요 황토색느낌..ㅎㅎ키가 커서 길이가 좀 짧은감이 있지만 잘입을게요
woojin79**|깔끔하고 엄청 예뻐요 이거ㅠㅠ 카라가 동그랗게 되어있어서 귀엽고 전체적으로 여리여리해보이는 느낌 들어요 카라에 하려고 스카프도 같이 샀어요!
whqog**|옆에 트임이 되어있어서 무지티임에도 불구하고 심심하지 않은것 같아요 길이도 적당하고 특히 가격이 저렴함에도 불구하고 목 부분이 많이 늘어나는 것 같지 않아서 좋았어요!! 네이비색이랑 파랑색 구매했는데 둘 다 색이 예뻐요 ㅎㅎ
woojin79**|하이웨이트라 배꼽정도까지 올라오는데 날씬해보이고 스판기도 좋아서 편해요! 밑위는 조금 짧은거같지만 그래도 다른 색으로도 또 사고싶네여
woojin79**|아이보리 샀는데 생각보다는 조금 얇은거같기도 하네요... 근데 깔끔하고 좋아요 가벼워서 편하게 입고다니기 괜찮을거같아요
rkals**|이옷은 아쉽게도 제가 입은사진이 없네요ㅜㅜㅠ그치만 핏이랑 바지도 너무 편하고 요새는 더워서 자켓은 잘 안입게되지만 옷 너무 예뻐서 잘산것같아요♡
woojin79**|재질도 좋고 깔끔해보여서 예뻐요 소매 길이도 너무 길지 않고 적당해요 전체적인 옷 길이가 생각한것보단 짧긴한데 그래도 여름에 입고 다니기 좋을거같아용
aaa2**|이거 진짜이뻐서 앞으로 맨날입던가 여러개 더사야지했는데 앞에 있는 프린팅?그림이 떼졌습니다..2번입었는데 밖에 쪽이 덜렁거려요 ㅠㅠㅠㅠ옷은진짜이뻐요 찬양 굿굿
woojin79**|엄청 부드럽고 잘 늘어나서 좋아요!! 그냥 겉에 남방같은거 하나 입어도 될거같아요 많이 파여있지도 않고, 근데 겨드랑이 부분 조금 거슬릴 수도 있을거같아요
aaa2**|진짜이뻐요.. 제가생각한 옷보다 더이뻐서 감짝놀란옷 노란색샀는데 색깔이 제가좋아하는 노란색 그대로입니다 ㅠㅜㅠㅠㅠㅠㅠ이뻐요 한번 두번 더사요
woojin79**|길이도 적당하고 진청으로 샀는데 색깔도 예뻐요 스판기는 거의 없는거같은데 그래도 불편한건 없어요 가격도 싸고 편해서 좋아요!
thdgml1**|색은 진짜진짜 이뻐요!! 진짜 시원해보이는 파스텔톤의 하늘색인데ㅜ 근데 후기대로 좀 잘 구겨지긴 하더라고요.. 다림질을 해서 한번 펴놨었는데도 금방 구겨지고.. 워낙 얇다보니 그런거라 생각합니다ㅜ 되게 하늘하늘해서 바람에 날리지 않을까 걱정했는데 오늘 입고 나갔을 땐 괜찮았어요! 바람이 별로 안 불어서ㅋ
wjsdld**|여름시즌에 들고다니기 진짜 좋은 가방같아요!생각보다 표면에 짚?같은게 부드러워서 가방모양은 생각보다 잘 흐트러져요!끈이 굉장히 얇아서 당황(..)했지만 뭐 한시즌 들고다니기 좋은 가방인것같아요! ㅎㅎㅎㅎ가격대비 만족!
shlove35**|너무예뻐서 진짜거의맨날입어요..블라우스만바꿔서맨날입는데 안어울리는옷이없네요 !!! 다리도얇아보이고 천도좋아서 여름에잘입을수있을듯해요 꼭사시영
wltn3**|진짜 엄청 크고여.. 엄청큽니다... 그리고 엄청크고... 엄청커요.. 무난하고 편하게 입을 수 있는 옷이네용ㅎㅎ
139331632**|무지티는 아무 바지나입어도이쁘고 남방에는 아이보리 색에입면  예뻐요프리하게입어도 예뻐요조금 옷이 두껍지만 무지티에선 이ㅣ쁘다
wltn3**|화면이랑 색감이 좀 다른것같기도하고.. 일자인줄 알았는데 허벅지보다 종아리부분이 많이 좁은거같아요 스키닌가..? 암튼 예뻐요!
