snbjy**|항상 골반사이즈 맞추면 허리가커서 수선했는데 이 옷은 딱 좋아요.라인도 너무 이쁘게 떨어지고 편해서 좋습니다.한개 더 주문하려구용
gina05**|키가 작아서 약간 길이가 조금만 짧앗으면 좋겟다고 생각이 들었어요ㅠㅠ 그래도 색깔도 이쁘고 무늬도 완전 이뻐용!! 최고예용
hamda**|배송 하루만에 오고 좋슴다ㅋㅋ 슬라브같은 티라 얇아서 좋구 앞에 프린팅이 이뻐요ㅋㅋㅋ티도 커서 좋은거같습니다ㅋㅋㅋ많이파세요
hamda**|배송은 하루걸려서 빨랐구요ㅋㅋㅌ루즈핏이라고 했는데 루즈핏은 아닌거같아요ㅋㅌㅋ그냥 넣어서 입던가 하면 괜찮을거같아여ㅋㅋ
hamda**|어제 시켯는데 오늘 바로 배송왔어여ㅋㅋㅋㅋ완전 루즈해서 편하거 좋구여 뒤에 프린팅이 이뻐서 더 좋은거같아요 질더 좋슴다ㅋㅋ
hamda**|포토리뷰 1등입니다ㅋㅋ 어제 옷시켰는데 하루밖에 안걸렸네요ㅋㅋ배송 빨랐구여 여름용 바지라 얇아서 좋은거같아요ㅋㅋㅋ
hamda**|포토리뷰 1등입니다ㅋㅋ어제 시켰는데 오늘 바로 배송왔네여 역시 배송 빠르죠ㅋㅋ 뒷밴딩이고 앞에 벨트라 이쁩니다ㅋㅋ린넨이라 여름이 잘입을거같아여
onelove5**|작년에 사이즈 미스로 m 다시 구입했어요~ 쫀쫀하고 활동하기 정말 편해요!! 이거는 진짜 고민말고 사야하는 제품이에요 ㅋㅋ
onelove5**|팔뚝에 살이 많아서.. 부해보일까 걱정했는데 오히려 더 날씬해보여서 너무 마음에 듭니다!! 허리라인도 살짝살짝보이는 길이라 좋아요
hamda**|와 고고싱 배송 항상빠르네옄ㅋㅋ 어제시켰는데 오늘 바로 왔어요ㅋㅋ미친스판이라고 하길래 얼마나 스판이 많은가했는데 정말 대박 미친 스판이에요ㅋㅋㅋ좋습니다
onelove5**|사이즈 고민하다가 m 샀는데 잘맞구 구김이져서 와서 좀 아쉬워요 ㅠㅠ 줄라인 있는쪽에 구김이져서 줄라인이 삐뚤어요.. 다른건 다 마음에 들어용
dpwls23**|이런원피스가 너무 편해서 몇개살라고 고고싱에들어왔는데 제일먼저 눈에띈 상품이예요! 실제로 받아보니 배송도엄청빨리오고 진짜 짱짱편해요 그리고바람불때 입었었는데 여신치마처럼 날려서 바람불때가 더이뻤어요 ㅋㅋ색감도너무이쁘구요~  근데 비침이 좀있어서 안에 이너는 꼭입으셔야 할거예요~ㅠㅠ
jmhs**|솔직하게 남길게요 사진으론 어둡게 나와서 좀 칙칙해보이는데 실제로는 좀더 밝아요!! 제 신체랑 비슷하신 분들은 M이 허리는 조금 클거에요! 길이도 많이 안짧고 적당해용 ㅎㅎ 이쁩니다 잘입을게요~
dpwls23**|처음에 가격이 좀 쎈거같아서 살까말까 고민했는데 후회없어요 ~ 소재도 너무 시원한 린넨소재라서 한여름에도 입을수있을거같고 일단 색깔이 너무이뻐요 핏도 완전짱짱이구요 ~ 다른색깔있으면 색깔별로 하나씩 다사고싶을정도예요! 진짜 너무이뻐요~  어느장소에서나 입을수있는 맞춤원피스라고생각해요
dpwls23**|친구가 산 멜빵치마보고 이뻐서 사고싶어서 고고싱에 들어왔는데요! 보자마자 사고싶어서 그냥 사버렸거든요~ 근데 기장조절할수있어서 너무좋아요! 고민하시는분들 꼭사세요 꼭~!! 전 치마가널널한거보다 딱맞는걸좋아하는데 이멜빵치마가 치마부분이 아주딱잘맞아요~!!
khj5053**|생각한거보다엄청좋은거같아요하늘하늘하고어떤바지에입어도코디잘되고진짜지금날씨에딱이에요♡제친구도제꺼입어보고똑같은거산다고그러네요
aung**|일단 배송이 빠릅니다 그리고 색도 예쁘고 여름에도입을수잇을만큼 얇구요 조금 짧긴한데 바지자체가 예뻐요! 그래서 저는 밑에를 펴서 입어요ㅠ 그것이 포인트지만.. 그래두 다리가 더 길어보이는거같기도하고 좋아요! 맘에들고 편해서 더 좋아요  그냥 다들 사세요ㅋㅋㅋㅋ그냥 아무 옷에나 다 어울릴것같습니다!!❣️❣️
khj5053**|남방생각보다그지도않고엄청편합니다.
ghgh66**|이 바지 진짜 잘산거 같아요~!!잘 입고 다닐게요~!!어디에도 잘 어울려서 좋아요♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡
khj5053**|바지엄청편하고귀여운거같아요!!!키가작아서안어울릴줄알았는데주변에서귀엽다고잘어울린다해주고옷도많이두꺼운편아니여서지금날씨에딱인거같네요♡
ghgh66**|진짜 에이라인 치마라서 좋아요딱 제가 사고 싶었던 옷이 여서 좋아요♡♡그런데 사이즈를 엠으로 시켰었는데에스로 샀어도 괜찮았을거 같아요ㅠㅠ
ghgh66**|어떤옷에도 다 잘어울려서코디하기도 좋아요~!!!!!!!잘 입고 다닐게요~!!!진짜 잘산거 같아요♡♡♡♡♡♡♡♡♡♡
ghgh66**|양말 너무 저렴하고 좋아요ㅎㅎㅎ계속 여기서 사서 신을게요♡♡♡♡♡♡♡♡색상도 여러개 있어서 좋아요골라서 신을수 있어서 좋아요ㅎ
438307852**|평소에 26-27 왔다갔다 하는데 너무 좋네여 스판도 짱짱하고 허리까지 올라오는게 너무 맘에드네요.. 보통 다른 반바지는 하이웨이스트여도 밑위가 너무 짧아서.... 검은색상도 예뻐여 추천 ㅎ
438307852**|가방 너무 예뻐여!! 그레이 샀는데 크기도 질감도 무난하고 가격대비 너무 괜찮네요 ㅎㅎ 크게 기대 안했는데 좋은데 스트랩이 안떼어지는게 아쉽네요 ㅠ
beesh**|스판없는편이고 키168인데 기장 짧아여 ㅠㅠ 그래도 디자인이 이뻐서 입으려구여  살 좀더빼서 입으면 짱 짱 최애탬 일듯..
qogywjd96**|골드핑크라 싼티 하나도 안나고 넘 예뻐여 길이도 적당하고ㅠㅠ 목걸이 찾고있었는데 취저당해서 바로 샀습니당 후회없어서 구매하세용
yj96**|완전 얇아서 안에 나시받쳐 입어야 한다는점빼고는 바람도 솔솔 잘들어오고 가볍게 입기에 갠춘한 티 같아요 만족스러워요
yj96**|완전 맘에들어요! 사이즈도 맞고 옷도 이쁘고 완전 봄봄같은느낌 몸매도 커버해주는거같아서 잘샀다고 생각이 드네요~
yj96**|원피스가 너무 퍼져서 잠옷같이 보여가지고 허리부분에 고무 넣어서 입고 다니고 있습니다. 잠옷같이 보이는거 빼고는 갠춘갠춘해요
hyejin1**|키가 작아서 일자바지입으먄 이상할까봐 걱정 많이 했서 안사보다가 처음으로 일자바지를 샀어요!저번 고고싱에서 바지산것도 퍈하고 좋았는데 이번 일자바지도 너무 편하고 좋아요ㅋㅋㅋㅋ
yj96**|키가 작아서 그런지 끈이 남아서묶고 다니기는 해도 가볍게 입기좋고 얇아서 시원하기도 하고 너무편해요! 완전만족스럽습니다.
hyejin1**|고고싱에서 같이 구매한 일자바지랑 코디해서 입으려고 샀는데벨트 고정하는 부분이라고 해야하나ㅠㅠ 그 은색 부분이 유광이 아니고 무광이더라고요ㅠㅠ 무광이기도하고 스크레치가 많이 나있어서 아쉽지만 그냥 사용하려고요!
wishj**|그냥 고무줄 치마 아니고 옆은 지퍼, 뒤엔 밴딩처리 돼있는 제품이더라구요! 무작정 긴게 아니고 속스커트는 좀 짧고 바깥쪽 스커트는 얇고 기니까 여리여리해 보이고 예뻐요! 신장 153이상이시면 모델컷과 가깝게입으실듯...!
cwh04**|옷도 진짜 짱짱하고 몇 번 빨았는데도 목쪽 시보리가 짱짱해서 잘 안늘어나고 좋아요. 좀 춤이 크긴 큰데 원래 크게 입는걸 좋아해서 ... 예쁘게 오래 입을 수 있을 것 같아요!
cwh04**|색도 예쁘고 너무 귀여워서 자주 입게 되는 것 같아요 지금 날씨에는 조금 덥지만, 포인트 주기 너무 좋고 색상이 제가 생각한 만큼 밝은 블루가 아니라 거의 진청에 가까워서 더 좋았던 것 같아요! 코디하기도 쉽고 오버핏이라 귀여운 느낌도 나서 좋아요!
7057750**|다른 분들이 작성하신 것처럼 많이 비치는데 블랙이고 약간 넉넉해서 그런지 안에 나시 입고 입었는데도 시원합니다요즘 살쪄서 걱정했는데 적당히 넉넉해서 이쁘네요
ssk93**|쨍한핑크가아니라 약간 회색끼잇는 핑크라소 맘에들엉ㅅ연청바지랑입으니까 너무 좋네용 캐쥬얼하게 보이고 이뻐여어ㅇㅇ
ssk93**|고고싱에서맨날배송느려서 사기 꺼렸는데 왠일로 배송이빠르더라구요뒤에고무밴드잇는건줄몰랏는데 뭐 그냥 입을려구요
freekmh**|위에 사진보다 더 노랑노랑하네요 그리고 등쪽 지퍼있는 부분이 살짝 떠요 뭔가 딱 잡아주는 느낌이 없어요 그래도 옷 자체는 예쁜것 같아요 잘 입을게요^^
