rkgus17**|제가 바지를 M사이즈 입지만 하비라서 조금 걱정했는데 딱맞긴해도 뚱뚱해 보이지 않아서 좋아요! 오히려 친구가 다리 길어보인다고 해서 그리고 색도 진짜 마음에 들어요ㅠㅠ 연청도 하나 더 살까 고민중입니당ㅎㅎㅎ 진짜 좋아여!
oasis12**|그냥 저냥 무난해요.근데 좀 두꺼운편이라 지금 입기에는 더울것같아요. 9월쯤에 입으려고요그리고 기장이 너무 짧아서 좀 넣기도 빼기도 어중간하네요...
joawl**|이번에 산 옷중에 제일 만족! 무릎정도 오는 길이인것보고 샀는데 키가 커서 보통 치마 길이가 됐어요. 요즘 치마들이 다 짧아서 스트레스였는데 너무 좋은..!  옷도 예쁘고 단정해보여서 여기저기 많이 입을 것같아요. 다른 색으로 재구매 의사도 있습니다!
joawl**|어깨가 내려가는 핏이라 상체가 커보이는 효과가 있어요 비침은 별로 없는것같은데 얇아서 화려한 속옷에는 단벌로 못입을것같아요 ㅎㅎ
joawl**|키 크신 분들은 참고하세요! 전신거울이 없어서 무릎에서 잘리지만 최대한 길이 가늠하실수있게 찍어봤오요.  알고는 있었지만 역시 짧은..ㅜㅜ 리본 옆에다 하는게 예쁜데 거의 속옥만큼 짧아져서 ㅋㅋㅋㅋ 다른 후기글처람 목에다 리본했더니 밖에 입고 나갈 정도의 길이는 되네여. 옷은 예뻐요 ㅎㅎ 까슬까슬한 소재에요!
joawl**|옷 핏이 생각보다 더 예쁘네요비침은 많은 편이에요 흰색입어도 비치는 ㅎㅎ 알고산거니까 뭐 만족해요ㅋㅋㅋ 예뻐요 추천!
joawl**|가을옷 미리 준비하려고 샀는데 생각모다 더 두툼하네요 ㅎㅎ색도 너무 예뻐요근데 목둘레거 생각보다 좁아서 좀 답답해보이는거같아요 ㅜㅜ키때문에 원피스사면 길이에 제일 민감한데 웬만한 여성분들은 괜찮으실것같아요! 추천 추천!
grape1210**|ㅠㅠㅠㅠ너무이뻐요 주문한지 이틀도 안되서 옷이 와서 너무 좋았구요.처음에 받았을 때부터 감이 왔었어요. 아 이 옷은 입으면 이쁘겠구나.아니나 다를까 입었는데 너무 이쁜거예요 ㅠㅠㅠ 핏도 딱 원하는 핏이고제가 키가 작은 편인데도 바지 안에 넣어도 이쁘고 빼서 박시하게 입어도 이뻐요ㅜㅜ 그냥 무난하면서도 이쁜 티셔츠가 없어서 고민이었는데 고고싱보다가 이런 싼 가격에 이쁜 티 하나 구매했네요! 너무 기분 좋구요. 오늘 당장 입고 나갔다 왔습니다 ㅎㅎㅎ 잘 입을게요 고고싱!!! 감사합니다
p9612**|레드 컬러 이쁘길래 고민 없이 바로 구매 하였어요! 배송도 빨랐구요 사실 뒷면에 글씨 없는 줄 알고 구매 한건데 뒷면에 검정색으로 글씨가 써있어서 당황 했지만 훨씬 이쁜 것 같아요 !! 옷 자체도 박시 해서 좋구 가격에 비해 재질도 괜찮은 것 같아서 가격 대비 최고에요
hoho0**|막 입으려고 샀는데 좋아요 재질이 시원하고 색상은 핫 핑크 에요 앞 트임도 있어서 밋밋해 보이지도 않아요 옷 이뻐요 추천해요~
