qwe456wls**|팔 길이가 생각보다 좀 기네요 제 팔이 짧은건지....ㅎ그래도 아주 예뻐요!!맘에듭니다 ㅎㅎㅎㅎ
nabbao**|사이즈고민중인 하비분들....무조건s로 ... 시키시요리뷰보고..하체통통족이라 m시켰더니... 옷이주르르륵 저는 교환신청합니당 재질이나 디자인 맘에들어요
chu3890**|그냥 편한 속바지에요...ㅋㅋㅋㅋ제가 집에 흰색 치마가 있는데 그냥 팬티입고 바로 치마 입으니까 팬티가 약간 비추더라고요ㅠㅠㅠㅠ 그래서 항상 그 치마 입을때 안에 흰색반바지 입고 치마입었는데 이제 여름이기도하니 더울까봐 흰색 속바지 주문했어요! 흰색치마 있으신 분들은 꼭 필수템입니다!!
kan7**|생각보다 엄청 좋아요!!!!
kan7**|저...다음 번에 한개 더살라구요..ㅠㅠㅠ
kan7**|너무 커서 어디에 입어야할지모르겠어요. 생각보다 엄청 헐렁하구요...덩치없으신분은 비추예요
rladb01**|생각했던것보다는 그렇게 길지는 않아서 다행이였는데 치마가 끝부분 쯤에 보면은 퍼진다고 해야하나???? 그래도 이뻤어요 한번쯤 입어보고 싶었던 옷이였는데 다룬 쇼핑몰에 비해서 고고싱에서 싸게 올라와서 샀는데 좋아요!!!!!!
pfs1**|땡땡이 원피스랑 같이 입었는데 처음에 목 부분이 불편할것 같고 좀 더울것 같고 해서 고민했는데 사고나서 시원하게 잘 입고 있어요 ㅎㅎㅎ 생각보다 답답하지도 않고 길이도 괜춘하고 좋아용 엄청 더운날 입기에는 무리가 될수 있는데 괜찮아여 ㅎㅎㅎ
chu3890**|입고가 늦어서 그런지 개별배송으로 정말 늦게왔어요ㅠㅠㅠㅠ그래도 옷은 이쁘니...ㅋㅋ검은색이랑 회색 두개 샀고 오늘 검은색 입고 나갔는데 그냥 깔끔해 보이고  좋았던것 같아요!!로고 적혀있는 다른 티보다 깔끔하고 약간 파진게 포인트가 되서 좋은것 같아요! 다른색들도 더 사고싶네요
pfs1**|흰색 시켰는데 곧 곤색도 시킬 예정진짜 여기서 산것 중에서 가격, 품질 최고!!!!!!!!!핏도 이뻐서 놀랬어요 ㅎㅎㅎㅎ 이 가격에 이런 퀄리티 얻기 힘든데 진짜 이뻐요 ㅠㅠ우어어엉 전부다 사고 싶은 욕구 대박대박 많이 들어요 ㅎㅎㅎㅎㅎ
obmgp43**|바지 길이가 좀 길 것같아서 수선을 생각하고 있었는데 딱 맞고 접었을 때 발목이 보이는 길이예요. 후기보고 종아리가 쪼인다고 봐서 걱정 했었는데 쪼이진 않고 적당히 줄어드는 핏인 것 같아요. 생각보다 밑위길이가 길어서 다리가 길어보이는 것 같아요
konayo**|심플하네염 심플하니 데일리로 참 좋을 거 가타염
konayo**|인기만은 이유가 있네염 블랙 삿는데 마음에 들어염 생각보다 짧지만 뭐 여름이니까염
sinn03**|완전 추천해요 그냥 사세요ㅋㅋㅋㅋㅋㅋ짱짱하고 몸에 촥촥 붙고 쉽게 안 늘어날듯해여어깨끈도 안흥러내리고 굿!
konayo**|생각보다 괜찮아요 이쁘고 강추에염
konayo**|생각보다 크기가 작네요 그래도 심플해염 뭐 심플해서 살려고 한거니깐. 괘안아요
konayo**|좋긴한데 약간 내복같이 보이는 점이...검은색 살걸 그랬나...그래도 어떻게든 입어볼게욤
riny**|여름이니 편하게 입을 티 좀 보다가 쿠피티 구입했어요!색상은 모델컷색상이랑 똑같구여 품이 크긴한데 편하게 입을 수 있을것 같애요~저렴하고 배송도 빠르고 만족합니당 ^_^!!
pfs1**|괜춘스키!! 생각보다 붙지도 않고 아무데나 입어도 진짜 이뿌요지금 같은 날씨에 입기 딱 좋은 옷인것 같아요 ㅎㅎㅎㅎㅎ하늘색 샀는데 이쁜 하늘색이여서 애들도 이쁘다 하고 저도 만족했던 옷이네여 하늘색 추천추천 해요 ㅎㅎㅎㅎ여기까지 리뷰 끝
ssonme**|평소 26~27정도 사이즈를 입는데 스몰을 시켰음에도 불구하고 다른 후기들과 같이 굉장히 펑퍼짐해요~ 허리도 너무 커서 바지가 예쁜길이로 안떨어지네요.. 벨트를 하면 괜찮게 소화할 수 있을 것 같긴해요 소재는정말 훌륭해요!
soclsrn1**|면진짜두껍고 좋아요싼티도안나고너무박시해서 약간부해보이기도하느넫좋은거같아요!!많이파세요!!!!!!!
soclsrn1**|한여름에는 더워서못입을거같아요약간 사이즈가딱맞게나온거같아요ㅠㅠ그래도가을쯤 많이손이갈거같네요!번창하세요~
ll2951**|얇네요 재질이 엄청시원한재질 입니당
ll2951**|재질이 시원한재질인데 보풀이 많이 일어나있네요 원래그런건지 궁금하네요다른분들 후기에는 보풀얘기는 없던데 뭐랄까 누가막입던거 받은 느낌이랄까요...디자인도 이쁘고 여름에 시원하게 입을만한데 보풀.....원래이런건가요
ssonme**|평소 26~27 정도의 스키니 입는데 후기읽어보고 s사도 될 것같아서 s를 구매했어요! 일단 재질이 정말 좋아서 그레이도 구매하고 싶네요.. 아쉬운점은 제가 골반이 무지 큰데 이 바지가 생각보다 밑위가 짧네요ㅠㅠ 밑위가 짧아서 골반쪽에서 잠그려다보니 좀 몸에 꽉맞는 부분이있어요! 하지만 못입을 정도의 사이즈미스는 아녜요. 여유있게 나왔지만 골반이 많이 크신분들은 밑위가 짧다는 것을 고려해서 m사이즈 사시면 될것 같아요! 재질 정말 만족 디자인도 이뻐요
bunny5**|저는A를샀는데요 진짜좋은거같아용!다른데서는 접착력도별로고 접착되잇던게 떼지고그랫는데여기꺼는 떼지지도않고편하게딱달라붙어서 진짜맘에들고 목이많이파진 옷을입으면 끈보여서 다니기불편햇는데 이거는끈도안보이고 진짜추천합니당!♡
socrazy54**|고고싱에서 뉴카메라 반티랑 같이 밑에 쓰리헤짐 숏팬츠? 그것도 같이 주문 시켰는데 같이 입었는데 괜찮더라구요 그리고 어깨선이 길어서 박시해 보이고 좋았어요 통풍도 잘되네요~ 앞으로도 고고싱 자주 애용할게요 더 이쁜 상품 기대하겠습니다!
socrazy54**|이번에 고고싱애서 처음 반바지를 사게 되었는데 정말 사길 잘 했네요 ㅋㅋㅋㅋ 헤짐도 적당하게 이쁘게 되어있고 허리부분이 높아서 마음에 드네요 여름에 위에 어두운 계열의 옷이랑  같이 입으면 이쁠것같네여 앞으로도 고고싱 많이 애용할게요~
socrazy54**|제질이 얇아서 여름에도 슬랙스랑 잘 매치해서 입어도 괜찮을 정도이네요! 무난해서 밑에 검은 반바지랑도 코디해도 좋고 다만 어깨 넓은 사람은 좀 부해보이기도 해요 제가 어깨가 넓거든요 ㅋㅋ..그래도 사길 잘했네요 앞으로도 고고싱 많이 이용할게요~
kmk35**|ㅇㅇ
ekal96**|제가 하체 통통이고 짧아서 L시켯는데 불편한곳 없이 편합니다~
ekal96**|길이도 널널하고 옷이 이쁘게 잘 빠졋어요ㅋㅋㅋㅋ 색도 이쁘고 고고싱 자주 애용할거 같아요 번창하세요!
ekal96**|배송도 빠른편이고 오자마자 입고 학교갔는데 애들이 옷 완전 귀엽다고 해줬어요 ㅋㅋㅋ 크기도 널널하고 이 가격에 이런옷 입을수 잇는게 너무 좋네요~사진은 못찍엇어요. 하지만 완전 강추 ㅋㅋㅋㅋ 많이 파세요~
wntnwl**|무난하니 이쁩니다
wntnwl**|스판이정말 좋아요! 근데사이즈가 좀작게나온것같아요ㅠ
wntnwl**|아무대나 잘어울려서 항상입어요!! 좋습니다!!
wntnwl**|헐렁한게 정말 좋은것같아요 막입기도 좋구요!
lee98072**|나름 만족
hjs2i**|뷔스티애 처우언피스 이뿌네요!그런데 전 슴가가 있어서..ㅠ_ㅠ조금 낑기는 느낌이 있는데 안에 달라붙는 티를 입으면 괜찮을 것 같아요^^ 돈 열심히 벌어서 다음달엔ㅋㅋㅋㅋ 달라붙는 티셔츠도 함께 구입해야겠어요^^ 인기가 많아서 그런가 다른상품보다 하루 늦게 받았지만 요즘 고고싱 택배 짱 빨리 오네요~~^^!! 적립금도 많이 주시공짱짱 이에요 고고싱~
hyunjk**|받기까지 거의 한달걸린것같은데... 괜찮아요. 이뻐요... 늦게받아서 화가 많이 났지만, 저렴하고,,저렵하고,, 이쁘고,,이쁘고,,,, 그치만 이렇게 배송이 늦어지고 제작이 늦어지는 고고싱시스템은 바뀔필요가 있다고 봐요... 정말 오래 기다렷거든요.. 분홍색 티 저 치마에 입어도 이쁘고 테니스치마에 입어도 이쁘고 슬랙스에 입어도 잘 어울려요.
hyunjk**|아무데나 매기 좋아요! 여름은 에코백의 계절이니까요!!배송이 굉장히 굉장히 느렷는데 느리다고 말하자마자 보내주셔서 감사하네요..ㅎㅎ... 생각보다 작긴했지만 책은 다 들어가고 좋아요. 좀 많이 넣으면 가방이랑 끈 이음새있는부분이 뒤집어지기도 해요... 조금만 넣고 다니세요 여튼 저렴하고 좋아요!
hyunjk**|저는 이거 세탁소에 맡겨서 기장 줄였어요! 너무 길어가지고... 시키기 전에도 걱정은 했지만 이쁠줄알았는데 막상 입어보니까 너무 길고 품도 커서 약간 임산부같더라고요. 그래서 줄였는데.. 발랄해보이고 괜찮은 것 같아요!
zzz09**|팔 길이가 길지두 않고 짧지도 않고 해서 너무 좋은거같아용♥♥♥♥♥♥
zzz09**|흰티라서 이쁘구 아무옷에 입어두 잘 어울릴것같아용♥♥♥♥♥♥♥♥♥♥♥♥♥
hyunjk**|음 첨에 입었을땐 돈버렷다 생각했어요 재질이 되게 약하고 몇번입으면 늘어날것같고 약간 할머니스럽다? 생각했는데 오늘 제대로 입고 남친만났는데 남친이 이쁘대요. 몸에 부드럽게 착 달라붙어서 느낌도 좋고 길이도 딱 이쁘고 엄청..네.. 이뻐요. 허리에는 밴딩이 있는데 그 밑으론 전혀없어서 뱃살있으면 힘주고 다녀야해요. 몇번 입으면 좀 늘어날것같긴해요ㅜㅜ
fashion**|이뽀염ㅎㅎㅎㅎㅎㅎ허리부분이 조금 컸으면 하지만 ㅠㅠㅠㅠㅠ 살빼서입어야지 ㅠㅠㅠㅠ 허리부분 조금 넉넉해지면 이뿔거가타여 여름에 편하게 입기 조은거가타여~~~ 근데 배송이 너무너무 늦었어요 ㅠㅠㅠ 그게조금 아쉽디만 검은색도 사고싶네여 ㅎㅎㅎ
zzz09**|티가 이쁘고 너무너무 맘에 들어용♥♥♥♥♥ 그런데 제가 키가 작고 그러니까 길이가 좀 기네요ㅠㅠㅠ 프리사이즈여서ㅠㅠㅠㅠㅠㅠ
gpo9**|진짜 바지 짱이쁨 ㅠㅠ사이즈도 딱 맞고너무 흐물흐물하거나잘 찢어지는 재질이면 어쩌지..하고 엄청고민했는데진짜 그냥 좋아요길이감도 이쁘구 밑단 접히는것도 전혀 안풀리고단단하게 잘 처리되있어서 자연스럽구컬러도 여리여리하고넘 잘샀네요 가격도 착하고고고싱 짱져음 ㅎㅎㅎㅎ
zzz09**|팔길이가 칠부여서 좋고 더울 줄 알았는데 두께도 괜찮아요 얇지도 않구 두겁지도 않고 딱 정당했어용♥♥♥♥♥♥
zzz09**|신발사이즈가 딱 맞구요 높이도 괜찮아 흰색이라 더 밝아보여요♥♥♥♥♥ 너무 좋아용♥♥♥♥♥
zzz09**|이쁘고 신축성도 있고 너무 길지는 않고 반팔티나 블라우스 아무옷에나 입어두 어울릴것같아용♥♥♥♥
dkd**|포토후기 1등이에요!!!ㅋㅋㅋㅋㅋ이거 처음 받아보고 질이 좋아서 놀랏어용ㅋㅋㅋ다른플리츠스커트들도 이런 질인지 모르겠지만 부드럽고 좋아요!ㅋㅋㅋ길이두 괜찮은것 같구용!!ㅋㅋㅋ다만 허리가 조금 큰거같아요ㅠㅠ딱맞을 줄 알았는데..그래도 만족해요!!플리츠스커트 예전부터 사고싶었는뎅 잘산거 같아요!!좋은 옷 감사하구 배송빨라서 너무좋았어요!!ㅋㅋㅋㅋ감사합니당~
honeys**|귀여운 것 같아요 가격 대비 좋습니다 고고싱 쨩
honeys**|다른 색상도 사려구요 흰색 샀는데 맘에 듭니다 가격 대비 bb
honeys**|편하게 입고 다닐 수 있는 옷 가격 대비 굿
honeys**|편하게 입을 수 있을 것 같아요 편하고 좋음 !
honeys**|완전 편하고 좋아요 쨩쨩 제가 키가 큰 편인데 발끝까지 잘 맞네요 굿굿 ♥
akcmahx**|검정색살까 빨간색살까 고민하다가 결국 빨간색샀는데 컬로도 이쁘구여 옷자체가 귀여운핏이라서 좋구요 아무데나 입어도 괜찮고 편하게 입을수 있는거같아요 별로안작을줄 알았는데 낙낙하구요 만족합니당!
hjo07**|사진보고 너무 사고 싶어서 샀는데진짜 이뻐요 그 하얀색 원피스랑 같이 샀는데 그것도 이쁘고이것도 진짜 이쁜것 같아요 재질도 두껍지도 않고 얇지도 않아서 너무 좋아요길이도 짧지도 길지도 않고 적당해요너무이뻐여 잘입을게요^^~
dkd**|데일리브이티셧 음 기본으로 입기 좋은거 같아요!이거 말고 다른티셔츠도 샀는데 그게 면이 너무 좋아서ㅋㅋ이거는 그냥 그럭저럭 만족해용ㅋㅋ이건 그냥 기본 티셔츠 면이에요!! 그냥 여름에 가볍게 입기 좋아요ㅋㅋ무난해서 어디든 다 잘어울릴듯 해용ㅋㅋㅋ옷잘입을께요~!@
hjo07**|바지들이 짧아서 저는 잘 안사는데 이건 사진보니깐 그리 짧지 않고, 가격도 적당해서사봤는데 이빠요 재질이 면으로 되어있고 뒤에 고무줄이 있고 단추가 2개있어서 허리를 딱잡아주더라구요조만간 하얀색도 사야할것같아요개인적으로 저는 이 바지 괜찮은것같아요잘입을게요^^~
tjs77**|후기가 다들 좋길래 믿고 사봤는데 정말 좋아요 핏도 상상하던 그대로이고 친구들도 옷이쁘다고 난리에요!! 흰색도 조만간 살예정입니다 진짜이뻐요^^♡
emily45**|무난무난하나쯤잇늠좋은디자인뚱뚱하신분들은비추44나55입으면 딱여리여리하게핏나옴이런종류로 많이 색상다양하게 부탁드려요면티 업데이트해주세요 고고싱은 면티가 제일갠춘
hjo07**|저는 네이비 샀는데 짱이뻐요!!일단 재질이 두껍지도 않고 얇지도 않아요근데 제가 입으니깐 좀 끄더라구요~근데 전체적인 디자인은 괜찮은것 같아요 이뻐요~여름에 입으면 그리 덥지 않아요~ 저는 이런 옷 좋아하는 데 가격대비로 잘산것 같아요이쁘게 잘입을게요^^~
wkdiddl**|배송은늦게왓지만 구냥 졸귀네요 ㅎㅎ 많이파세용♡
dkd**|이거 진짜..옷 진짜 좋아여특히 면이 진짜 좋은거 같아요 이 티셔츠 말고도 다른티셔츠 하나샀는데그것보다 이게 더좋아여!!!!좀 큰거 같은데두 정말 만족해요ㅋㅋㅋ진짜 질이 최고 다만 질이 좋아서 그런가 좀 두꺼워요!사실분들 참고하세용ㅋㅋㅋ이거 진짜 맘에 들어요!!최고!
wkdiddl**|제가 키가 작아서 엄청부해보이고 클줄 알앗는데 전혀 안그래요! 오히려 더 여리여리해보여요 ㅠㅠ 취향저격! 모든분들께 추천합니다 ㅎ 많이파세요~
emily45**|애매함 ㅋㅋㅋ 44가입으니 달라붙지도 헐렁하지도 않음 딱통통55가입으면 이쁘게 달라붙을듯 그리고 재질이 싸구려 하아ㅜㅜ 역시 가격이싼이유가 오천원에팔아도될거같은데..머 할인받고사면 거의그정도돈주고 사는거긴하지만 여튼 통통55추천 마르신분들 비추 사지마여
hjo07**|일단 재질이 너무 부드러워요베이지 샀는데 빼입지 말고 집어 넣어서 입어야 할것같아요빼입으면 내복같은 느낌이 드는 것 같아요햐안색이랑 베이지랑 고민했는뎈ㅋㅋㅋ 하얀색도 사면 괜찮을것같아요 그래도 개인적으로 마음에 들어요이쁘게 잘입을게요^^~
wkdiddl**|너무예뻐요!! 크기도 적당하고 필요한것들은 다들어가네용 ㅎ 짱맘에드러요
akcmahx**|그레이색 살려고했는데 잘못샀어요ㅠㅠ 그래도 이것도 나름 괜찮아요 잘 늘어날거 같지도않아서 오래입을수 있을거 같구요 실밥풀린거나 그런것도없고 좋은거같아요 제가  팔이 굵은편이라서 더굵어보이긴하지만..안에입을거니까 걱정은없구요ㅠㅠ 실제로 보면 허리는 더얇아보여요 다음에 사면 그레이색도 사야겠네여
