qwe456wls**|팔 길이가 생각보다 좀 기네요 제 팔이 짧은건지....ㅎ그래도 아주 예뻐요!!맘에듭니다 ㅎㅎㅎㅎ
dbswl95**|처음딱볼땐 조금짧네.. 했는데막상입어보니깐 엉덩이반쯤정도는 가려주고 옷폭이 그렇게넓지도않고 좁지도않고 핏이딱이쁘게 잘떨어져요 팔길이도 반쯤와서가려줘서좋구요~~ 밑에뭘입든 다잘어울리고 여성스럽고이쁜거같아용 고민하지말거바로사세요 !
wltjs70**|목부분이 좁긴 한데 진짜이뻐여
wltjs70**|이뻐요!!! 가격에 비해 완전 이뿜
wltjs70**|이쁨....히히
wltjs70**|재질이 좀 그렇긴 한데...갱챠나옇
wltjs70**|갱츈!!!
wltjs70**|그냥 베이직하게 입기좋아요~
sukyung**|바지보통 28입는데 m시키니까 괜찮아요! 핏도 예뻐요
wldud14**|와인색으로 샀는데 처음색 보고 허걱 했지만 입었을땨는 이뻤어요 그리고 허벅지랑 허리쪽은 널널한대 종아리가 딱맞아서 앉았다 일어나기가 좀..불편해요..ㅠ스판기가 많이 적어서 그런거 같구 소재가 얇아서 여름에 입기에는 딱 좋아요><
yeyoung69**|이거 걍 좋음~원피스 같은거 입을 때 겉에 입으면 존예 ㅠ그렇게 입고갔더니 애들이 이쁘다고 그랫셔여 ㅎㅎ엉덩이까지 오는 길이인데 좋아요두툼하고 ㅎㅎ~~~다른색으로 하나 더 살까 고민중입니다 ㅎㅎ가디건은 필수템이잖아요 누구나 ~ 꼭 사세요 후회안합니다 !
yeyoung69**|이거 세일하길래 저는 빨간색으로 하나 장만했어요 ㅎㅎ딱 배달왔는데 쫌 소매나 접힌부분들이 낡아보이긴 했지만 그래도 뭐 가격대비 맘에듭니다고고싱 애용하게 되는거 같아요~~항상 예쁜상품 많이 많이 올려주세요예쁜데 사게 살 수 있ㅇㅓ서 너무 좋습니다많이파세용
yeyoung69**|전 이거 S샀는데 맞았어요!!!!!! 청치마 S샀을 때는 쫌 꽉끼는 느낌이 있었는데 이건 지퍼가 쭉 내려가서 입기도 편하고 스판도 짱짱 입니다 진짜 ㅠㅠㅠ 이렇게 스판 좋은 치마 처음 입어봐요ㅠㅠ계속이런 스판인 치마 엄뎃해주셨으면 좋겠어요언제나 후회안하는 고고싱 사랑합니다~~
lyw99**|whgkdy
chu3890**|흰색샀어요~~'이 티의 장점은 편하게 입을수있지만 여성스러워보인다는점인것 같아요. 고고싱에서 미키마우스반반팔티 흰색샀었는데 이 티가 훨씬 더 이쁜것 같아요! 영어 로고만 있는 티들보다 쫓자수가 있어서 더 유니크해보이고 좋아요~~
chu3890**|남색샀는데 완전 검은색에 가까운 찐한 남색이더라고요~그러다고 안예쁘고 그런건아니고 나름 괜찮아요~!!!그리고 심슨 그림 정말 귀여워요ㅋㅋㅋㅋ남색티 여기서 딴것도 샀었는데 그건 영어 로고있었거든요? 이게더 이쁜것같아요ㅋㅋㅋㅋ 완전 만족이요
saerom**|그냥 기본이에요 ㅋㅋㅋㅋㅋ
saerom**|바지가좀짧아여......ㅠㅠ
saerom**|음..............ㅠㅠ글쎄여.......
saerom**|평소에 27.28정도 입어서 m삿는데 엉덩이가 꽉꺄요.....
chu3890**|분홍색샀는데 색은 제가 원하던 색이였어요!!연분홍이아니라 약간 탁한(?) 찐분홍이여서 좋았어요~~근데 옷이 너무......ㅠㅠㅠ후질해보여요.....목부분이 특히 쭈글쭈글하고 이상해 보이더라고요....색만 이쁜옷인것 같아요
lyy39**|처음에 너무 작게시켜서 교환했는데 딱 맞고 예쁘네요~~그냥 기본으로 검정스키니 찾았는데 진짜 바지는 고고싱이 제일 좋아요 ㅎㅎ고고싱에서 하의는 정말 믿고 살수있네요~~감사합니다다양한 옷 많이 구매할게요 ^^ 신축성최고 진짜 편해요 ㅋㅋㅋㅋㅋ 브라보데님스키니 추천요!사이즈 잘 살펴보고사구요~~
chu3890**|사이즈 s에 중청샀어요~~처음입었을때 완전 꽉껴서 사이즈 잘못샀나 싶었는데 입고있으니까 괜찮더라고요ㅎㅎㅎ진짜 스판기 완전 좋아서 잘늘어나는것 같아요!!색도 너무이쁘고 완전만족합니다~~~!!!예쁘게 잘입고 다니겠습니다~~
chu3890**|생각보다 별로였어요ㅠㅠㅠㅠ구매후기에 좋은 말이 많길래 기대많이했는데ㅜㅜ바지가 베기바지 잘라놓은것같아요.밑위길이가 너무 길달까...당연히 무난하게 이쁠줄 알았던 옷이였느데 입었을때 생각보다 안예뻐서 놀랐네요... 밑위길이가 긴거 싫어하는분들은 고민좀해보세요ㅜ
gmltn13**|배송지연되서 겨우 받은슬랙슨데 사이즈가에스시켰는데 엠으로잘못왔네요 ㅜㅜ 편하고이쁘게생기고 좋은데허리가너무 커요ㅜㅜㅜ
chu3890**|그냥 깔끔하니 이뻐요~~~학교갈때 입고갔는데 애들이 오늘 왜이렇개 이쁘개하고 왔냐고...ㅋㅋㅋ 옷이 이뻐서 칭찬 많이 방았네요.시스루여서 안에 나시비치는게 맘에들어용!민트색샀는데 시원해보이고 좋은것같아요!!잘입고 다닐게요~~
chl79**|남방진짜저렴하게구입한거같아서만족해요!!굳
chl79**|옷너무맘에들고자주이용할께요 고고싱 대박
yju42**|회색티에운동화처럼~끈을매었더니~생각한것보다는~촌스럽지않고~자연스러워보입니다~^o^
