kjo99**|가격대비 너무 이뻐요!안에 긴 가방끈도 있어서 놀랐습니다생각보다 작긴한데 귀엽네요!!
dbwls30247**|이뻐용!! 그리고 두툼해서 겨울철에도 안에 투피스입고 아우터잘입으면 잘입을 서 있을것같아용!!
yjj11**|생각했던거랑 색깔은 다른데 맘에 들었어요 박시해서 더 좋았어요 하체 비만이라 항상 허벅지까지 오는 길이의 티셔츠나 남방을 많이 입는데 진짜 너무 잘 가려줘서 좋았습니다 슬랙스에 입어도 예쁘고 청바지에 입어도 예쁜것 같아요 친구들이 예쁘다고 그러더라구요 이거 진짜 예뻐요 !
valley02**|오랜만에 가방을 구입해봤어요.C자 모양으로 포인트를 준게 정말 마음에 들어요.테슬도 달려있으니 가방에 정말 세련 된 느낌 가득... 새 가방냄새가 나서 ㅠㅠ 위에다 탈취제 좀 뿌렸더니 많이 젖어보이는 사진이네요....
yjj11**|진짜 예뻐요 편하고 좋은것같아요 근데 좀 많이 짧아서 살짝 불안하긴했는데 속바지 붙어있어서 조금 안심됬어요! 속바지도 진짜 편해요 제가 진짜 심한 하체 비만인데 옆에 트임있어서 다리가 좀 얇아보이는 것 같았어요 암튼 편하고 좋은데 조금 짧다는 점 ! 짧은 것 빼고는 다 맘에 들었어요 !!
valley02**|구입 하기 전에는..... 정말.... 패턴 너무 예쁘고....저 세상 러블리함이었는데...구입했더니 웬걸... 너무너무너무 얇아요.이거 한장으로는 절대 밖에 입고 못나갈 것 같아요.덧댄 속치마? 이런 것도 없어서 이거 한장만 입고 나가면 동네 사람들에게 오늘 팬티 뭐 입었는지 다 보여줄 수 있을 것 같아요.19000원이면... 가격이 저렴해서 퀄이 낮을 수도 있지...싶은데... 또 이 가격에 퀄 좋은 다른 원피스도... 길거리 보세옷가게 가면 충분히 살 수 있어서....다른 분에게 추천하고자 하면.... 좀 추천하기 민망할 것 같네요....그래서 고고싱에서 구입한 다른 옷과 위에 매치해서 입었어요.위에 뭔가 걸쳐입을 게 있다면 입을 만 합니다.근데 저 원피스 한 장만은 절대로 못입어요.
it57**|옷이 얇고 가벼워서 편한 착용감이네요소매가 잡혀있는게 맘에들구요청바지에 입어도 예쁠거 같아요 ㅎㅎ
valley02**|예뻐요~ 허리라인을 예쁘게 잡아줍니당.봄 가을에 유용하게 입고 다닐 수 있을 것 같아요.기장도 제 키에 딱 적절하구요.엄청 얇지도 않고 두껍지도 않고....여기저기 코디하기 좋을 것 같은 기본템입니다!!
valley02**|빤딱빤딱하게 광나고 정말 예뻐요.사이즈는 정사이즈로 샀는데 정말 딱! 잘맞구요.딱! 잘맞는데 앞부분이 헐겁다고 해야할지... 뭔가 신발이 잘 벗겨질 것 같은 느낌이 드는데... 그건 걸음걸이로 어떻게든 해결이 되겠죠.
it57**|생각보다 길이가 진짜 길구요 되게 도톰하네욯ㅎ그냥 청바지나슬랙스안에 입으면 예쁠것 같아요  잘입겠습니다
valley02**|핏은 정말 예뻐요.제 키에 딱 맞는 원피스나 허리라인 제대로 살려주는 원피스는 솔직히 별로 없는데 이 원피스는 정말 좋아요.허리는 들어가있고 치마라인이 예쁘게 퍼져있어서청순하게 몸매 살려주기 좋은 옷이예요.옷의 퀄리티도 좋고요.다만.... 심각한 단점이 하나 있는데...지퍼가 너무 작아서 고장이 나거나 잘 떨어질 것 같구요.지퍼 올리고 내릴때 뻑뻑해서 혼자서는 옷입기 너무 힘들어요.입고 벗기가... 제가 가진 원피스 중에서 이게 제일 힘들어요..어떻게든 안간힘을 쓰면서 벗으려고 하는데 카라가 흰색이라서... 파데 안묻게 얼굴에 안닿게 하면서 벗기도 정말 힘듭니다....디자인은 정말 예쁜데 이런 치명적 단점 때문에 별 하나 뺐어요.디자인은 정말!! 만족합니다...
