zxc99**|처음엔 저렴해서 질이 안좋을 거라고 생각했는데 빨아도 목도 안늘어나고 가성비 좋습니당 ㅎㅎㅎㅎ
56884915**|항상 짧은치마만 입다가 이제조금 긴치마를 입어볼려고 하는데 아예 긴치마는 약간 부담스럽더라고요언발로 되어있어서 긴듯 아닌듯 한것이 딱 제맘에 들어요^^허리부분이 너무 많이 크지않을까 걱정했는데살짝 넉넉해서 긴팔티같은거 안에 넣고 입고 좋아요~
56884915**|얇으면서도 튼튼한 양말이고요 제가 발 사이즈 230-235 인데요 조금 큰듯하면서 개인적으로정말 맘에 들어요~ 저렴하면서 맘에드는 양말 입니다~
qazwsx12**|줄무늬셔츠 하나 있어서 살까말까고민했는데 이건 잔줄이라 또 다를것 같아서 구매했더니 역시나 ㅎㅎ 봄에 딱이에요, 이너로도 괜찮고 ㅎㅎ 소재부들부들합니당 ㅎㅎ
qazwsx12**|예뻐요,핏이 예쁘게딱떨어져요, 소재도 딱 봄스러운 얇은소재(비침없어요) 일단 입으면 밝아보이고 ㅎㅎ친한언니가 이쁘다고해줬어요
qazwsx12**|양말 소재좋아요 ㅎㅎ무료배송맞추려고 시켰는데 의외로 받아보고 보드랍고 그래서 좋았어요 ㅎㅎ 컬러도 화면이랑똑같아용 ㅎㅎ 담번엔 노란색이랑 밝은색깔 포인트로 주문해봐야곘어요 ㅋㅋ
kjy98**|제 키에 딱 맞는 예쁜 슬림핏 일자바지 찾기 힘들었는데 이건 핏 딱 예뻐요! 또 스판도 적당히 있어서 편하게 잘 입을 수 있을 것 같습니다 ㅎㅎ
thdusdl01**|배송도 빨랐구요 제가 살 때는 후기가 별로 없어서 너무 걱정했는데 질이랑 퀄리티가 너무 좋아요!! 다만 상의 뒷지퍼가 자꾸 내려가고 제 키에는 치마가 많이 짧네요ㅜㅜㅜㅜㅜㅜ 긴아우터랑 같이 입어야겠어요!!
weon**|사진과는 다르게 얇아서 주름지고 흐늘거려서 청자켓이라고 보기는 조금 어렵고 여기저기 실이 튀어나와서 정리해줘야되요. 어깨부분이 조금 부자연스러워용...좀더 빳빳했으면 좋았을텐데 아쉬워요ㅠ
mcw12**|봄에 어울리는 예쁜 원피스에요!! 편하고 막 달라붙거나 올라가지도 않고 좋아요!!ㅎㅎ 근데 색이 밝은건 아니라서 겉옷을 밝게 입어야 할 것 같네요!ㅎㅎ 롱원피스 처음 입는데 무난하게 입기 좋은 것 같아요!ㅎㅎ
kelly2**|색상이 너무 이뻐요!!!
kelly2**|입었을때 핏이 너무 이뻐요!!! 사이즈도 딱 좋아요!
kelly2**|핏이 너무 이쁘고 색상이랑 사이즈도 딱 좋아요!!
jane**|이뻐용 시스루라 무조건 이너 입고 입어야 될거 같구요 봄이랑 잘어울리는 블라우스네요 좀 기다리긴 했지만 그래도 만족해요ㅎㅎ
jane**|무난무난해용 검은색이라 자주입게 될거 같아요ㅎㅎ 깔끔하구요 생각보다 배송이 늦어졌지만 옷자체는 가성비 만족합니다
min02**|진짜너무예뻐요ㅠㅠ 어깨가 넓어서 덩치가 커보이고 그래서 옷 입을때 고민이 많은데...그래서 밝은옷을 잘 안입고 원피스도 어두운계열 밖에 없어요..색상고민 엄청 했는데...그냥 완전 어깨도 별로 안 넓어보이고..키도 커보이고..길이도 딱이고..너무이뻐요..딱 이뿐 베이지색이예요..!!진짜 꼭 사세요..ㅠ
min02**|핏너무예뻐요!!어깨에 각이 잡혀있다고 해서...고민하다가 결국은 샀는데 각이 이쁘게 잡혀있다고해야할까요..오히려 덩치가 작아보이는 느낌이예요!!자켓에 어깨패드 들어잇으면 사진찍을때 덩치엄청 크게 나오고 그래서 자켓 어깨핏을 많이 신경쓰는데 안 샀으면 큰일날뻔햇어요..그리고 저는 통통한 편인데 아무래도 봄가을자켓이다보니까 얇구요 안에 얇은 옷을 입어야 더 편하고 이쁘게 입을 수 있는 거 같아요!완전 만족이요!!!
fpal1**|무난하고 이뻐요 치마바지라서 더욱 돌아다니기 편하고 그냥 바지입은느김 이쁘고 편해서 좋아요 다들 사세요~!
fpal1**|진짜 예뻐요 제가 살만 들쪘더라도..ㅠ_ㅠ 그래도 핏은이쁘고 포인트준거같아서 좋아요 만족합니다.
fpal1**|예뻐요! 어둡다고 느낄수있지만 하얀색이랑 입으니 이쁘구 뒤에 리본이라 편하게 입을수있어요 너무 좋아요 구매각 ㄱㄱ
sytong05**|가오리핏이라 팔을 들면 배가 노출되서 조금 아쉬워요 근데 통이 커서 활동하기 편해서 좋았고 이옷은 캐주얼하게 입고 다닐수있는 옷인것같아요 하나쯤 쟁여놓으세요
dlaqhfka2**|체구가 작아서 고고싱 제품이 잘맞는거 같아요~~길이도 안줄여도되구~가격도 저렴하고~수선비 안들고~가성비 좋고~근데 기존에 샀던 바지가 없네요~ 몇년전에 산건데..내역에도 없구..그바지 최근까지 너무 잘입었는데~그래도 이바지도 좋긴해요~
min02**|사이즈도 딱 생각한대로구...10000원에 실밥마감도 깔끔하고..지퍼도 부드럽게 잘 열리고 닫혀요..!!많이 무겁지도 않구요..모양이 딱 잡혀있는게 아니라서 안에 내용물이 많이 없으면 약간 흐물흐물한데 저는 차라리 모양딱 잡혀잇는것보다 이게나은거같아요!!완전 만족이요!!!
sytong05**|와 인생 원피스입니다 너무 이쁘게 나왔고 허리를 잡아줘서 너무 좋아요 길이도 적당하고 봄에 너무 잘어울릴것같아요 강추강추~~~~
sytong05**|리본이 달려있어서 귀여운 스타일은 연출할수있는것같고 실물이 사진이랑 아주 비슷해요 어느 옷에나 매치가 가능해서 좋은것같아요
sytong05**|정말 얇고 봄에 입기 좋은것같아요~ 재질도 부드럽고 가격대비 너무 좋은것같아요 하나쯤 쟁여놓아도 될것같아요
85724911**|늦은시간에 주문했는데도 불구하고 배송 정말 빠르게 왔구요~ 어제 외출할 때 입고 나갔었는데 바람이 너무 잘 통해서 한여름에 입어도 괜찮을 것 같아요! 살짝 쌀쌀한 날씨에는 좀 추우실 것 같으니 20도 정도의 봄 같은 날씨에 입으면 좋을 것 같아요! 옷 잘 입겠습니당 땡큐!^ㅇ^
sytong05**|진짜 어디든 코디하기 좋은것같아요 니트조끼의 적성이라 하나쯤 쟁여놔도 좋을듯해요
sytong05**|길이도 적당하고 통도 괜찮아서 넘 좋아요 근데 색깔이 완전 화이트는 아니고 약간 베이지톤이라고 생각하지는게 좋을것같아요
loveheart77**|너무조아요!!!!잘삿어요ㅠㅠㅠㅠㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㄹㅅㄴㅅㄷ슷ㄷㅅㄴㅇㄷㅈㄷㅇㄴㅇㄴㅇㄴㅇㄴㅇㄴ
qpfl02**|생각보다 도톤해서 따뜻하고 좋아요~ 꽈배기 무늬도 생각보다 귀엽고 핏도 여유 있어서 좋았어요~ 기장도 맘에 듭니다~
qpfl02**|가격대비 진짜 좋은 것 같아요 살짝 비치고 따뜻한 소재는 아니라 비오는 여름이나 일교차 심할때 이너로 입기 좋을 것 같아요~
qpfl02**|색상 너무 이쁘고 약간 핏이 넉넉해서 좋은 것 같아요~ 두께감도 생각보다 있어서 따뜻할 것 같아요~
qpfl02**|몸에 적당히 달라붙어서 괜찮은 것 같아요~ 흰색 상의 입을 때 나시 필수인데 잘 산 것 같아요}~
qpfl02**|쫀쫀하고 생각보다 질 좋아서 잘 입을 것 같아요~ 가격이 저렴해서 걱정했는데 좋은 것 같습니다~
kkls2010**|완전 다리감싸서 일자핏이네욥! 다리에 살이 더있었다면 낑겼을듯 ㅠㅠ 흑흑 하체비만은 슬픕니다
