hanb**|완전 이뻐요!!저거 저렇게 안 매고 옆으로 두 쪽 다 한 쪽으로 매도 이쁘더라구요 ㅠㅠ 핑크 짱!!완전 이쁘요 ㅋ
kwak0**|873맨투맨음....배송은 엄청엄청늣게왔구요!그래서 옷을 봤거든요~좀 많이 얇다고 해야하나??하여튼 맘에들어여~
cqwls**|스킨슈즈 와인오늘 받았습니다!!!아직 밖에 안신고나가봐서 잘 모르겠지만발 뒤꿈치가 까질것같은.?제가 발이 작은편이여서 230시켜도 쫌 클까걱정했는데좀 헐렁하긴한데,,,괜찮은거같애요!제발이 작으니ㅜㅜ사진에 보이는 본드가 양쪽다 묻어있어서 아쉽지만신발이라 별 티도안나요 ㅋㅋㅋ으잌가격대비 아쉬운느낌 ㅜㅇㅜ
se5**|헉~만 천원짜리 치고 진짜 좋게 나온거 같아영일단 프린팅이 완..전 깔..끔 확~튀어용!글고 약간 프리사이즈랄까..음 큰 핏?? 이라서 팔도 안짧구ㅎㅎㅎㅎㅎㅎㅎㅎㅎ앙 너무 핏이 예뿐거 같네영 근데 전 이렇게 길줄 몰랐다는 ㅠㅠ힝하이웨스트 바지 안에 넣어입기는 좀 힘들것 같은(..)ㅎㅎㅎㅎㅎㅎㅎ제가 그렇게 입을생각으로 산거라 약간 아쉽내영ㅎㅎ보통분들한테는 ㅇㅏ주 좋을거가태영!제동생은 긴티즐겨입는대매우 탐내구잇어여ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ어쨋든 약간 긴것만 빼면색상도 그렇고, 디자인,재질 핏면에서 최고애용ㅎㅎㅎㅎ!!!!!!!!
se5**|훔솔직히 디자인은 정말 최고에요!근데 별 4개 드린 이유는ㅠㅠ배송이 너무 늦어지는 바람ㅇㅔ..물론 인기가 많ㅇㅏ서겟ㅈㅣ만ㅠㅠㅠ너무 추워져서 좀..입기에는 얇다는 느낌이랄까요ㅠㅠ..아 예뿨서 입고싶은댕..글도 안에 긴팔입구 이브면 좀 괜찬을꺼 같애여!더 추워지기전에 언넝 입어야겟어여~!!!디자인+색깔 정말 좋아여!(전그린색시켯어여)따뜻해보이구용ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ잘입을게용 감사해용*^^*
cqwls**|윌 스웨이드백 블랙같이주문시킨 다른상품이 주문폭주라 오늘받았어요~나머지물품도 더있는데 먼저보내주셨어요ㅜㅇㅜ!!!이건 진짜 품질최곤거같애요!!흠잡을데도없이 굿굿사진 그대로^~^하자도 없고 진짜 좋아요아 끈길이도 저렇게 맘대로 조절할수있어요!!제가 키가 작은데도 끈조절이 편해서 좋았어요ㅎ가방 보관할수있는 집도주시고~최고
yins**|오ㅋㅋ제가 쌍꺼풀이 연해서쌍테 사야지 하다가 여기서 처음샀는데잘생겨요~~생각보다 갠춘한듯요ㅋㅋㅋ좋아요~~~~~
dltd**|후기색이 화면보다 좀 진해요 ㅠㅠ그냥 단추를 잠가서 입으면 좀 부해보이고 안에 티같은거 입구 단추푸르면 이뻐여 ㅋㅋ
wldnjs31**|괜찮 ㅋㅋㅋㅋ회색 시킨거오늘 왔는데 나름 괜찮네요그냥 학생들이입기 괜찮은것 같아요 ㅋㅋㅋㅋ
wldnjs31**|ㅋㅋㅋ괜찮은듯..쬐금 얇긴 하지만 입을만 해요 ㅋㅋㅋ겉에 뭘 하나 입어야할듯 ...완전 길줄 알았는데그냥 티 정도의 길이에요 !! 저 화면에있는건 완전 길잖아요?그냥 티 길이임 ㅋㅋㅋㅋㅋㅋ나름 괜찮은것같아요 편하게 입을수 있을것 같아요!
yins**|...크기는...생각햇던것보다는 좀더 작앗구요...그리고 약간 톤이 어둡게 나오더라구요ㅜ근데 향은되게좋앗어요ㅋㅋㅋ귀여운것좋아하시는분에게는 정말 좋을듯 싶어요ㅎㅎ
wldnjs31**|음ㅋㅋㅋㅋㅋㅋㅋㅋ음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ두께가 아주쬐끔은 있을거라고 생각했는데 좀 많이 얇아요.. 지금입기엔 당연히 추워요.. 겉에 뭘 입지않는이상 ㅋ그래서 옷도 좀 잘 늘어날거같더라구요;;또 저렇게 원피스로입기는 짧아요 ㅋㅋ그냥 티 정도?? 키가 169라 그런지 모르겟지만;;글고 좀 파엿어요 ㅋㅋㅋㅋㅋ 안에 뭘입지... 안에 뭘입으면 좋을까요?ㅋㅋㅋㅋ첨엔 그냥 환불받을까 생각했지만 그냥 봄,초여름,가을에 안에 살짝 입을까 해서 그냥 환불안받으려구요 ㅋㅋ그래도 나름? 은 괜찮은것같아요
yins**|좋아요~크기도 괜찮구여ㅋㅋ아라가 정말잘지워져요ㅋㅋ다쓰면또살려구요ㅋㅋ
t0223**|후기색상도 제가 원했던 색상이고 마음에 드는데 생각 했던것 보다 옷이 좀 크네요~박시하게 입어야 겠어요 ㅎㅎ 그한가지 빼고는 다 마음에 듭니다.이쁘게 입을께요^^
solace**|예쁘게 잘 입어야될거 가테요세탁안코,,, 연타 두번입었는대..팔부분에 벌써 보풀이... 저만 그런가요?지하철에서 다른사람이 입고있는 옷을 봤는대 그것도 보풀이 듬성듬성...오래입지는 못할거가테요. 디자인은 괜찮은대... 아쉽.
cqwls**|하찌 그린24일에 입금해서 오늘받았어요!!!나머지 물품은 아직덜온상태고 ㅜㅇㅜ오늘 아침10시쯤인가?배송됬다는 문자받았는데1시쯤 택배아저씨 전화왔어요~담임쌤이랑 아이컨텍중이라 못받고...ㅜㅜ집에와보니 다뜯겨있고 온가족 다구경했더라구요ㅜㅜ!!!!!!!!!!!!!!!아 오늘밤에 엉덩이불나겠습니다끝 마무리쪽이랑 단추구멍이 아쉽지만좋은거같아요ㅎㅎ가볍고 생각보다 폭신해서고고싱언니들 힘내시고 수고하세요^ㅇ^!!
codmds**|하찌가디건 최고 ^.^좀늦긴햇지만 저보다 더기다리신분들도 많아서 괜찮아요 ㅎㅎ오늘아침에 문자오ㅏ서내일쯤 오겟구나 햇는데저녁에 8시가까이되서 경비실에서 전화와서 가니까고고싱 상자가!!!1완전 폭풍감동 ㅠㅠㅠㅋㅋㅋㅋ저녁에 보내주셔서 놀랏어요 ㅎㅎ하찌가디건 진짜이뻐요!!!!제키가155이고 제가 말라서 좀 크긴하지만ㅠㅠ제키가작은걸 어쩌겟어요 ㅋㅋㅋ그래도 너무이뻐서 괜찮아요!!!색상도 화면이랑똑같고 ㅎㅎㅎ따뜻해보여요 !!ㅎㅎ키가 160이상되는분들은 정말이쁠것같네요!!제키정도 되시는 분들은 허벅지중간?정도 올것같아요 ㅎㅎ커도 너무이뻐서 잘 입을것같아요~하찌가디건짱!!!ㅎㅎㅎ고민하지말고 지르세요~.~!!!
ehflzoa**|빨간색.. 대박!!!!!!완전 이뻐요.. 진심구라아니고 이뻐요옹~가격도 싸고 진짜 가격에 비해 완전 좋아요!전 흔하디 흔한 네이비 보다 빨간색이 끌려서 삿는데진짜 예뻐욧! 스키니에 이거 하나만 입어도 이쁘고이거 하나에 스타킹 신고 입어도 이쁠듯하네요^^암튼 대만족입니당~ㅋㅋㅋㅋㅋㅋ★★★★★★★
thfk25**|퀘스트 하이진완전완전대박맘에들어요!!근데 단추가 커서그런지 잠그기가 힘들고요지퍼도 내려가고 ㅠㅠ허리도 막 늘어나고 ㅠㅠ그래도 핏이 이뻐서 다행이에요
fkdtnsd**|퀘스트 하이진이옷 완전 이뻐요 ㅎ스판도엄청나고 ㅋㅋ 이렇게 편한바지는 처음입어보는거 같아요 ㅋ색도 거의 검은색 정도로 찐하고요근데 세탁하면 물빠질것 같음 ㅠㅠㅠ옷은 만족하는데 배송때문에 별네개로 했어요 ㅠㅠ26일에 옷 시켰는데 오늘왔어요 ㅠㅠㅠ아 그리고 같이온 사탕 잘먹을께요 ~
gmg38**|소나미남방ㅋㅋㅋㅋ이거진짜보자마자사고싶던건데요후기보니까색갈이진하데요 ㅠㅠㅠㅠㅠㅠ여기에다가 검은색깔옷입으면이뻐요~
thfk25**|★하코남방★배송★★★제가 이것만주문한게아니라서늦었는지 모르겠지만넘 늦었고 아줌마도 불친절해서요상품★★★★우선 펼쳐보았을때 실이 너저분하게 달려있어서실망했어요그리고 저한테 좀크긴하지만 볼매라서 괜찬았어요좀 얇은줄알았는데 두꺼운감이 좀 있어서레이어드하기 참 좋을것같아서요사은품★★★★사은품 비비랑 마스크팩 받았는데요한번 써보고 좋으면 사려고요^^
ehflzoa**|그냥입을만해요..^^일단 갠찮아요 입을만해요..^^이쁘긴한데..생각보다 길이가 너무 짧구 .. 얇고 . 옷이 너무 얇아서 다 비치고조심히 빨아야 될듯..잘 늘어날꺼 같음.ㅠ또 무엇보다 너무 파엿어요 ㅠ ㅠ근데 안에 나시 입구 입으면 괜찮을꺼 같아요ㅋㅋ암튼 전 그래도 만족합니다^^
thfk25**|짱짱이뻐요배송★★★주문한지일주일넘게와서 별한개뺏고요아줌마가 배달하셨는데별로 맘에안들어서 별또뺏어요만족도★★★★★제가체격이 좀왜소해서 박스티처럼 보였지만이런거 좋아하는지라 상관안하고요네이비샀는데 레드살껄그랬어요 ㅠㅠ
wltncjs**|너무예뻐여 ㅎㅎ오늘 와서 오늘바로 쎴는데 완전 예뿌도 애들이 날리입니다 나도산다 빌려죠 이러면서 ㅎㅎ
durudals5**|예뻐요!!색깔도 마음에 들고어떤 옷이든 다 잘 메치되서 너무 유용하네요 'ㅇ'!!
thdus09**|괜찮은것같아요학교갔다와서 보니깐 책상위에 있더라구요 !기뻐서 보자마자 칼로 열어봤더니 오!! 대만족.......역시 고고싱은 실망시키지 않았어요 !바르기도 딱좋고 휘어진게 너무 맘에 드네요 ! 어쨋든 잘쓸께요 !
hee13**|이뻐요>_다행이 추석 전에 사서 배송이 빨리왔어요~ㅎㅎ입어봤는데 길리는 좀 길더라고요 ㅜㅜ핏은 맞는데 단추 구멍이 좀 안 잘라져서 별하나빼요단추 빼고는 다 이뼜어요^-^아,,,그리고 색깔이 좀 진한색이라서 다리도늘씬하게보였어요 꼭 이거 사세요>_<
dayeoo**|헐이거뭐월남치마도아니고 니트인대 축늘어지고 완전길고물어밧을때는 그렇개 길진안을꺼라햇는대 니트원피스를무릎애 까지입진안자나요ㅠㅠ 반품하면돈드는대이옷을 어쩔껀가싶내요 아주 대실망마르고 155안되는사람은 안될듯
jhj20**|ㅡㅡ언니 왜 저는 에나멜 이 장지갑을 주문했는데슈가장지갑을 주시나요?그것도 만원이상차이나는것을...헷갈려도 너무 헷갈리신것 아니에요??\어떻게해야하나요?제가 택배비까지 다 물어야 하나요??이런게 어딧어요기다린지도 일주일이 넘어서 기대하고 있었는데 실망이에요 대실망
dudtod11**|ㅎ난방살때 같이삿는데!!역시 코디해놓은대로 입으니까 이쁘군요!ㅎㅎㅎ고잉온티~ 이뻐요!
dudtod11**|오오오역시 고고싱은 절 실망시키지 않는군요!ㅎㅎ고잉온 티랑 같이 입엇는데이뻐요!ㅎㅎ따뜻하게잘입을께요ㅕ~
aldud942**|ㅎㅎ이쁘네요!ㅎㅎㅎㅎ배송빠르네요~~이쁜케이스...라고해야하나..ㅎ무튼 빨간 상자에 들어서 왔구요~지갑이 엄청 납작할줄알았는데 의외로 살짝?볼륨감이..ㅎㅎ이뻐여~~ㅋㅋ촉감도 부드럽구요~냄새도 안나요.ㅎㅎ이뻐여~괜찮아여~ㅋㅋ생일선물로 주면 좋아할수도있을상품인것같아여~^^
wltnre**|좋아요화사해진거같구요간편해서 좋은거같아요만족해요~
