hanb**|완전 이뻐요!!저거 저렇게 안 매고 옆으로 두 쪽 다 한 쪽으로 매도 이쁘더라구요 ㅠㅠ 핑크 짱!!완전 이쁘요 ㅋ
goo6**|괜찮아요 ㅎㅎ배송이 같이 시킨 티때문에 너무 늦게왔어요.정말 딱 2주 걸렸구요. 귀여운 흰곰돌이 양말과 같이왔던데.. ^^배송은 어쩔수없이 실망했긴했지만 상자도 너무 이쁘고가방도 마음에 들기 떄문에 우선 패스 ^^!저는 심플한거 굉장히 좋아해서 딱 보고 괜찮다.라는 생각 많이 했어요. 일단 심플한거 싫어하시는분이면..그닥 추천안할텐데. 수술도 이쁘구요.제 친구들도 다 이쁘데요 ㅎ배송이 너무 늦었기때문에 아이보리색상보고 이뻐서 아이보리로 바꿀까 생각해봣는데떄가 잘탄다는 어무이 말씀에 브라운색으로 그냥 했어요.어느 옷에다 거의 다 잘어울리고 깔끔하네요냄새도 그리 심하진 않았구요.생각했던것보다 많이 들어가요. ㅎ
qkfkadlcjs**|★빨강★ 너무예뻐요요번에 수련회 갈때 큰가방이 필요해서 샀는데ㅋㅋㅋㅋㅋㅋ너무이뻐요 만족스럽습니다^^짭티도 그렇게 안나구요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ색깔 너무너무 이쁘고 크기도 적당하게 크구요!!ㅋㅋ배송도 적당하게 이틀지나서 왔구요~ㅎㅎ맘에 쏙들어요잘멜게요 ㅋㅋ
qkfkadlcjs**|회색샀는데 이쁩니다!학교 시험보고 일찍끝났는데 배송와있어서 너무 좋았어요 ㅋㅋ시킨지 정확하게 이틀만에 와서 참 좋았구요~귀여운 양말 감사합니다 ㅋㅋ제 키가 좀 큰편인데(168cm)길이도 적당한 것 같아요.그냥 받자마자 교복에다 입어봤습니다 ㅋㅋ영문프린트도 인상적이고 참 이뻐요!!감사합니다 잘입을게요 ㅎㅎ
sok92**|zzz괜찮네요괜찬아요ㅋㅋㅋㅋ이쁘고 앞에도 특히해서 개성있고좋은데....근데 너무 단추가 헐렁해서 쫌 실망이네요일단 이뻐서 후회는 안해요( 'o' )
dkswnfl1**|ㅎㅎㅎ오늘받았는데 진짜맘에들어여!!안에 양말하구 벨트도있었는데ㅔ 감사하구 ㅎ잘입을게영
zng12**|ㅎㅎ티셔츠좀길긴하지만ㅜㅜ진~짜이뻐요! 뒤에가더이쁜거가테요앞에는깔끔하고`사도후회절대안할꺼에요 빨리사세요 ㅎ
namo42**|꺄흐!>_딱봤을땐그렇게작아보이진안았는데입으니깐완전조여요~!그래도이뻐요 ㅎㅎㅎㅎㅎㅎㅎㅎ!색깔도원하는색이구!엉덩이가타이트ㅠㅠㅠㅠㅠ!
namo42**|...진심실망했어요...색상양옆이완전찐한데가운데는허얘..흑흑 ㅠㅠㅠㅠ모야ㅠㅠㅠㅠㅠㅠㅠ발한번넣었는데구멍숭숭다뚤렸어요..ㅜㅜㅜㅜㅜㅜ모야모야진짜진심실망헀스무ㅜㅜㅜㅜ!
jina753**|ㅋ상품은만족하는데염.....근데좀긴것같기도;근데왜전양말이안왓죠?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ품절되서죄송하다는편지와사탕만 ㅡㅡ 별2개띠엇습니다
thgus04**|좋아요 ♥움 맨처음에 경비실가서 찾아왔을때얼룩무늬의 상자를 보고 딱알았어요 !아 저게 내꺼군아 라구요 그만큼 상자가 무지무지이뻤어요 ♥그리고 열어보니 앤디핫팬츠하고 바가지머리티 그리고 귀여운 양말까지 ♥근데 핫팬츠랑 같이 밸트가있더군요 ..깜짝놀랐어요 원레 바지만 주는지 알았거든여 ㅎㅎ ..쩃든 감사합니다아 !L을 샀는데 좀 헐렁 하더군요 ㅠㅠ .. 제가 164에 48이거든요 ?근데 S은 무리고 M사면 될꺼그래써요 ㅠ ㅁ ㅠ..음 근데 맨처음에 바지입엇을때 실밥 ? 음.. 아니 저거핫팬츠 밑에 이렇게 뜯겨진게좀 많이 떨어지더군요 ..쩝; 그래도 몇번 훝어주니ㄲㅏ 괜찮아 졌어요 !그런데 단추가 좀 많이 불편해요ㅠ ㅁ ㅠ..처음에 입고단추잠글때 좀 힘들었어요근데 벗으려고 하니까 단추가 안빠지는거예요 그래서 애좀 먹어쬬 ㅠㅠ ..^ 요런점은 조금 고쳐주세요 ♥아 그리고 배송 디따빨라요 제가 수요일날시켰는데 그날 바로 배송되서목요일날 왓어요 !!!!!! 이게 말로만 듣던 총알배송인가여 ... ?!말그대로 총알이예요 !!! 아 그리고 밸트 말인데여그거 진짜 이뻐여 다른 옷에서도 코디 해도괜찮을꺼같아요 ♥밸트하나 사자 라고 생각했는데 바로와서 디따 감사해요 ♥잘입을게요 ♥ > ㅁ<
thgus04**|좋아요 ♥ >ㅁㅇ
ss**|우왕ㅋ바지 징쨔 이뻐여 ㅋㅋㅋㅋㅋ전 스몰 삿는데 갑자기 급 살찌는 바람에 단추 잠그느랴 쫌 힘들었다능 ㅠㅠㅠ그래듀 완전 이쁌
ss**|우왕ㅋ징쨔 이뻐여 사진보다 실물이 나은듯근데 저한탠 쫌 커서 당황;;;그래두 정말 이뻐여 !!
rhrhdus**|바지 처음구매!스키니 처음 입어바요!!!!!!!!날씬해보인데서 산건데ㅋㅋ제가 162/52인데 27입음(27마지막한장남은거 얼른삼ㅋㅋ)근데 스판때매 잘들러가는데쫙붙어서 쫄바지 입은듯근데 완전편함 ㅋㅋ빅뱅 조아하는데 빅뱅양말줌ㅋ
joara52**|엄청 만족!!!정말이쁘네요 ><택배오자마자 입어봤는데 친구들도 이쁘다고하고!!그런데 옷입고벗을때 좀불편하단점..ㅜㅜ그래도 뭐 이쁘니깐 만족만족대만족!
yoojj78**|ㅇㅏ옼ㅋㅋ배송 진쨔 느림 <아직안옴ㅋㅋㅋㅋㅋㅋㅋㅋ>무슨 ㅇㅏ직도 배송준비중이얌^.^/아무리 예뻐도 점수 이 이상은 못줄듭/
ooosu**|이뻥ㅅㅋㅋ산지 쫌 된듯ㅋㅋㅋㅋㅋ수련회때입고가려고했지만인기가많아서ㅠㅠ늦게와서결국 못입업다능ㅇㅇㅋㅋㅋㅋㅋㅋㅋㅋ치마랑 입으려 했지만 막상 입어보니날씬하게 보여서핏이 잘 안살더군요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ그래도 핫팬츠랑 입으면 이쁨ㅋㅋㅋㅋㅋㅋㅋㅋㅋ별은 배송땜에 하나빼욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
tnak0**|트윈메신져백제가 키가작아서 가방끈이길거가탛서 살까말까햇느데진짜후회안데욧!!!전빨간색삿어요ㅎㅎㅎ저키는 158ㅋㅋㅋㅋㅋㅋ
tnak0**|고양이 카라티저능 회색삿는데요남색살껄후회해써요ㅜㅜㅜㅜ근데다좋아욬ㅋㅋㅋㅋㅋㅋㅋ핏완전마음에들어요!!!!!
tnak0**|컵스티완전다길어서 좋구여ㅎㅎㅎ핏진짜조아욬ㅋㅋㅋ저는 힌색사서 옷에 받쳐입여욬ㅋㅋㅋㅋ
tnak0**|모스카팋ㅎㅎ완전이쁘구여색깔사진보다 쪼금연한거 빼고는 다 좋아욯ㅎㅎㅎ
ses47**|대박이뻐요!ㅋㅋㅋㅋㅋㅋㅋ첨엔 진짜루 커서 깜놀햇지만요그래서 매보니깐 이뻐욯...저는 블루블루블루브룹르불브루!!!!!!!!!!!파랑색을 샀어용ㅋㅋㅋㅋ야영때 매고가야징..흣흣..><ㅎㅎ배송도 완전빨랐어요~! 입금한다음에 바로 3일뒤에 뿅~하구왓습니다용,.....대만족이에욬ㅋㅋㅋㅋㅋㅋ앞으로도 이용만이할꼐요~고고싱에서만 살꺼에요~!ㅎㅎㅎ
qhrud67**|시크뱅전 초코 브라운으로 삿는데용약간 색이 탁해요!사진으로보면 제머리색이검정색이잔아요근데 제머리색이 더밝구요흠 그리고 딱쓰고 머리 빗을때 제원래 앞머리가 길어서 자꾸 같이 빗겨요 ㅠㅠ그래서 자뀨 삐져 나와요 ㅠㅠㅠ하요튼 이쁜거같구요 머리숱도 적당하구 ㅎㅎ맘에들어요!ㅎㅎ
bong**|rnt상품은 굿사용후기도 굿면재질 굿레드 삿구여 흰티에 연나 잘어울려요근디가격이 따른 쇼핑몰보다 비쌋구여머 어쩔수 없죠 ..잘 보고사야겠어염..짱났지만...굿!배송 졸느려......4일걸림별 은 가격하고 배송땜시 뺌옷 굿
rhswbsn**|,진짜예뻐요^^어디에나 어울릴 티에요 ㅋㅋ근데 많이 길어요;;;;
rhswbsn**|,티 진짜 길어요 ;;;;;;;;ㅋㅋ토끼그림은 프린팅된거고 생각보다 크네요잘입을게요~
soyun27**|m바지가 이상해요 왜안찢어져잇죠바지가아예찢어져잇는게없는데잘못온건가요
heidi10**|빨강삿눈뎅역시 빨강이 진리인듯 ㅎ3ㅎ검정은 아는애가 매는뎅 이쁘긴한데 걍 무난하고 저는 약간 튀는 빨강이더 이쁜듯빨강사세여 후회안함
duswn07**|ㅎㅎ색깔은 사진이랑 거의흡사해요~! 근데 저는 아쉬운점이있다면 바지찢어진부분이 좀많이컷다는점..ㅠㅠ그치만바지는정말이뻐요!!!! 저는 28사이즈샀는데 핏도잘맞고 제친구들이 이쁘다내요 ㅎㅎㅎㅎ아무티에입어도잘맞는거같공 ㅎ.. 전박시한스타일을좋아해서 다른티도 구매했는데 이뻐여 ㅠㅠ여름에입기 정말좋은스키니구용~ 파스텔톤이나긴해도 이런바지하나쯤은 잇어줘야할꺼같애요!고민하시는분 파스텔톤이니까 한번생각해보시고 구입해보세요! 전이런거좋아해성ㅋㅋ
duswn07**|짱!!!!!!!!!!!!!!!!!!!짱이뻐요~ 제가 고고싱에서 여태까지샀던 바지중에서 전 이게젤이쁜거같아요 ㅠㅠ허리도 딱봐도 한 26정돈대 제가 바지를 28입거든요?ㅠㅠ 근데 밴드식이라 프리사이즈다보니 잘들어가고!게다가 늘씬해보여서 너무조아요 ㅠㅠ 다리가 길어보이공.. 내친구들이 다 처음보면 치마같대요!짧은치마입고싶은데 아슬할까봐 못입던분들 바로이거구매하세요!! 가까이서봐도 처음보는순간 치마라는생각이들정도로 넓구요~ 진짜치마같애요! 정말잘샀어요 ㅠㅠ 전 파란색샀는데 베이지색도이쁠거같내요~어떤색깔의 티도 잘어울리는거같아요! 전 개인적으로 흰티가 잘어울리는거같더라구요~이것때문에 고민하시는분 일단 지르고보세요 절대후회안하실꺼에요!ㅎㅎ
jangseonh**|왕리본!너무예뻐요처음보자마자딱 푸른색에 시원해 보이면서도큼지막해서너무예쁘고 귀여워요뒤에 머리묶고 삔으로 포인트주면짱짱짱임 호호ㅗ호
jangseonh**|good반바지길이도너무짧지도않은딱 핫팬츠 길이고!워싱도잘빠졋고예뻐요진짜무엇보다 가장 좋은점은 허리가 고무라는거예요편해염!호호ㅗ호
jangseonh**|모네스커트꺅너무예뻐염약간 뻑뻑한듯한 그 각잡힌 스커트가 너무예쁘고자세히 보면 별이랑 하트모양이 잇는 깜찍한 모양도 너무예쁘고색깔도 예쁘고입엇을떄 너무 예쁘교!!
jangseonh**|핑크구입투어나염티 핑크를 구입햇는데됴아 진짜 색깔 너무 잘빠졋고하이웨스트반바지에 입으면너무잘어울립니다!!!!!
jangseonh**|하얀색구입전 스타워즈티 하얀색을구입햇는데옷 재질 자체가 다른 면과는 달리너무 부드럽고 핏도 넉넉해서너무좋앗어염예뿜니당호호ㅗ호
jangseonh**|괜추네염괜추네염하얀색일줄알앗는데흔하지않은약간아주연한베이지?상아?그색깔이구욤프린트잘나왓고예뻐염^^*
jangseonh**|꺅너무예뻐엿저는이거 파랑색이랑 분홍색 두개 다샀거든요?!파랑색 먼저 삿는데 너무예쁘고 색깔도 딱 틔고진짜 고급스러우면서도 어떤코디에도 어울려서분홍색도 삿는데역시나분홍색도 너무예쁘고 색깔 너무이뻐여ㅠㅠㅠㅠㅠ꺄꺄꺄꺄
jangseonh**|너무이뻐욧꺅!!!너무예뻐요꺅!!하이웨스트반바지에다가입으면너무예쁘고!!티자체가 색깔도잘빠지고세련되고 너무예뻣욧꺄꺄꺄꺄!!!
vlakd**|..!저이거어떡하면조음 ..내가너무말라서벨트를해야함..ㅠㅠㅠㅠㅠ이럴수가그냥입으면징챠이쁠거가튼대..하유 ㅠㅠㅠㅠ근대바지너무..깔끔하구요너무 ㅠㅠㅠㅠ이뻐요내가갓고잇는거중에젤이쁜듭 ㅠㅠㅠㅠ
vlakd**|히힣저이거정말정말맘에들엇음..너무이뻐효 ㅠㅠㅠ목부분도특이하게되잇고앞에주머니도이ㅃ게되잇구요...정말정말날씬하게보임 ..흰색삿는데흰색이라더이쁜듯..<잉꼭사세요 !
vlakd**|깔끔하고이뻐영네넹..ㅇ거정말ㅇ ㅣ뻐요 ㅠ.ㅠ앞에글씨도입흐게되잇꾸 남색삿는데색깔도이뻐요> . <스키니에입으시면더더이쁠거가태용 ㅎ.ㅎ이거하나만입어도이쁨 ㅠㅠㅠㅠ사셔도후회안해용흑
이복남|이쁜듯요 ㅎ_ㅎ이거..훔제가 키도좀작고말라서쪼꼼컷짐안 ㅠ^ㅠ바지안에넣고입으면이뻐욤> .<사셔도후회안하실뜻!!사서이쁘게입으셔용
mory**|바지이뻐요 ㅎ.ㅎ비밀이벤트에 신청했다가 당첨 안되서 ㅜ,ㅜ 아쉬운맘 접어두고 바로 주문했어요~165/50 정도.. M 주문했는데 딱맞아요!(루즈하게 입고싶지만 허벅지에 살이많아서 *,*;;)실제로 온 상품도 사진하고 똑같구요~단지 아쉬운점이 있다면 왼쪽 오른쪽 길이가 좀 다른거같아요 ㅠ^ㅠ제단 과정에서 조금 실수할 수도 있고, 많이 차이나는게 아니라 괜찮지만살짝 걱정되네요.. 그리구 왼쪽 부분 데미지가 너무 심해서 천이 달랑달랑 떨어질거 같아 불안하네요 ㅠ.ㅠ저만 그런건가요 ㅠ.ㅠ 이거 두개 빼곤 다 맘에드는데...배송도빠르고 ~,~ 고고싱좋아요
s2jhj6**|블루후기색깔은진짜맘에들었어요~근데 미니백이라고하기엔 사이즈가좀큰거같아요그래도수술이달려있어서이뻐요 사셔도후회안하실듯^^
loveaudt**|우와~월욜에 입금해서 화욜에 받았어요~~신발자체는 신기가 쫌 불편하구 벗기도 불편해요~저는 네이비 색상을 구입했는데요 대게 이뻐요~오늘 신고갔는데 애들이 간지쩐대요~~ㅋㅋㅋ살까 말까 하시는 분들 질르세요~~
dhhdh9**|갠츈ㅎㅎ괜츈해요!그렇게 길진않구요, 이뻐요 ㅎㅎ
mokka19**|첫 구매우선 정말 빠른배송 감사합니다.주문한 시간은 6월 27일이었지만입금한 시간은 29일 16:15분 이었어요.도착한 시간은 30일 19:21분이었어요.여름이니까 교복에 입을려고주문했는데 괜찮은거같구요.간단하게 사복에도 괜찮을거같아요. 새옷냄새나네요아직입어보진않았지만 앞으로 자주 입을거같습니다.목부분 늘어짐같은거 없기를 바라며 고고싱 사랑해요!
ㅋ|생각보다작네요생각햇던거보다 너무작다는느낌이들지만 예쁨ㅋ
yuiop3**|여름하복안에입으면최고!여름하복안에 입을거 엄청찾았어여 소매가 길면 다밖으로 삐져나와서보기 싫었는데이옷이 좀 짧은거같아서샃죠!!근데 너무나도 싸고 빨아도 목이 잘안느러나고요! ㅋㅋㅋ정말최고임!!!산지가언젠진 모르겠지만 산지 꽤 오래됬어여 ㅋㅋㅋㅋ이제서야 올려요 ㄳㄳ
dmddk0**|우앙~굳>3ㅎㅎ요기서첨산거에용>_<!!진심이뻐요ㅠㅠㅎㅎ부모님한테잘쫄라서산거가테용ㅎㅎㅎ앞으로도고고싱~♥
nn02**|잘받앗습니다^^무난하고 정말 이뻐요 ㅋㅋㅋ저는 화이트바탕에 레드글씨인데진짜 이쁜거같아요 ㅋㅋㅋ그리고 글씨도 자수가 아니고다른거여서 더 이쁜거같아요정말사도 후회안함그리고 옆이 크다고해서 좀 망설엿는데크지도않고 전 딱 좋은거같아요^^그니까 사셔도 좋을거같아요또 배송!!! 정말 빨ㄹ리왓어요하루?인가 진짜 빨리와서 좋앗어요 ㅋㅋㅋ담엔 블랙도 ㅋㅋ 사고시퍼용 ㅋㅋㅋ
jwj08**|네이비 샀어용 ^ㅅ^3가지 색상모두 넘넘 이뻐서 고민하다가아이보리는 때 정말 잘탄다고 하더라고요 ~하늘색보다는 네이비가 더 끌려서 네이비로 구입구입^^넘넘 이뻤어요 !!위의 사진은 덤으로 같이 배송된 빅뱅승리군의 양말 ~항상 고고싱에서 양말덤을 주니까 주문하면서도 양말 뭐 올까 기대되는거 같아요 ~ ㅋㅋㅋ스키니에도 이쁘고 !!! 숏팬츠에도 이쁘고 !!!
whdpwl**|으악 완전>_이거 완전 이뿌요ㅋ히히히히히히받자말자 입어 봤다는.....단점 은없구요 ㅎㅎㅎ 양말 감사해요@_@
sdk52**|이뻐염흰색샀는데 아쥬맘에드네용 ♥망설일필요가없어요!아무데나 입어도 잘 어울리네요 ㅎㅎ
sdk52**|이뻐여빨간색샀는데 완전이뻐요그냥잠그면 좀 어쩡쩡하고...밑에잠궈야겠네욤..!
심경숙|ㅎㅎ!!이거목걸이은색살려다가ㅏ금색삿는데ㅎㅎㅎ금색사길잘한거같아요!!아그리고ㅠㅠ이거오늘모스카티랑같이왓는데ㅔ..목걸이가너무엉켜잇어서ㅠㅠ좀풀르기힘들엇지만그래도배송도빠르고이뻐서괜찮앗어요>ㅁ<ㅎ그럼ㅁ많이파세요!!
심경숙|ㅠㅠ!!!아진짜ㅏㅋ짱이에여ㅠㅠ이거배송오래걸릴줄알앗는데2틀만에왓구여ㅠㅠㅎ진짜ㅏ..색깔도완전똑같고요ㅠㅠ....배송도빨랏고 짱조앗어요!!!!아사은품ㅎㅎㅎ양말감사ㅏ해여>ㅁ<ㅎ다음에도고고싱ㅇ에서주문할게요~♡
guswn54**|이뻐용~!ㅋ깔끔하구 진짜예뻐요 ㅎㅎ사시면 절대 후회없을겁니당~^^
guswn54**|^^^맘에들어요!여름에시원하게입을수잇게 얇아서 좋구요!캐릭터도맘에들어용~^^♥아 ! 상품권(?)감사합니당~!ㅎ
오은지|레드색상샀어요~완전 이쁨 ㅋㅋ 좀 크긴한데 적당히 헐렁해서 귀엽구 이뻐요티 산것들 중에 제일 맘에 들어요~
오은지|너무 귀여워여 ㅋㅋ생각보단 끈이 좀 짧더라구요~~통통하구 기여운 가방 ㅋㅋ 소지품도 많이 휴대할수있을것같구요크기가 크기는 한데 투박하지도 않고 너무 이쁜것같아요 색깔도 블링블링~
오은지|이거 정말이쁜것가타요!적당히 박시하고 너무 이뻐요~어떤 스키니든무난하게 어울리는 티인듯
chaemin11**|기본티좋아요쫀쫀해요 ㅋㅋㅋㅋㅋㅋㅋㅋ
오은지|완전 이뽀요!!스판끼도 있구 타이트한 핏도 너무 이쁘구요색감도 정말 최고!
오은지|이거 너무 이뻐여~완전 기여븜 ㅋㅋ 너무 이뻐요~~유에스비 고장나서 착샷은 못올리궁 ㅠㅜ 암튼 완전 이뻐여!
mvp75**|^-^ 대박쩌러여~핏두 잘 살아있구완전 이쁘고그림보다 실물이 더 이쁜거같애여~~~^-^
mvp75**|완전 이뻐죽게써여~시간이 좀 지나서 이제야 후기쓰네여~바지를 받아서 입는순간사이즈도 딱맞구어디하나 빠질때가없는거같애여~라인두 잘나온거같구~완전 이뻐여^-^
mvp75**|완전 이뻐영~~~택배받구 시간이 쫌 지났지만이제야 후기를 쓰네여~루니투니티 완전 이뻐 죽게써여~무난하면서도~페인팅되있는게 너무 이뻐서~^-^여름이면 얼마든지 입을수있을꺼같애여~
rhswbsn**|^^평소에 바지를 26 입어서 S 주문했어요근데 딱맞고 좋아요^^ 길이는 너무짧은게 문제지만...;;;;;;흰티와 코디해도 잘어울려요^^ 전 파이브토끼티랑 ROCK티랑 코디하려구요^^예쁜거 사서 좋네요 ㅎ 앞으로 고고싱에서 자주 살께요^^
rhswbsn**|,원래 사려고했는데 품절이어서 엄청 실망하고 다른바지찾아보다가 그냥 씨리얼핫팬츠 생각나서 들어왔더니 S사이즈 하나 남았더라구요 극적으로 하나구했어요 ^^근데 받아보니까 이건 S가 아니라M 사이즈같아요 ㅠㅠ허리 진짜커서 주먹 세개정도 들어갈만큼 입어도 공간 남아요 그리고 바지가 A라인이에요 ㅠㅠ줄여야겠어요....제가 원래26 사이즈나 S사이즈 입는데 이건정말 크더라구요 ㅠㅠ근데 바지는 정말 예뻐요^^ 잘입을게요!!!!!!!!
김수정|2뻐여전 핑크삿는데 이뻐여가격대비 만족^ㅇ^ㅎㅎ
김수정|빈티지함근데 너무 큼ㅠ_ㅠ그래도 만족함..첨엔 완전 하얀색인 줄 알았는데ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ참고로 적당히 얇음
wldmsdl5**|뉴탑슈즈 후기 -맘에 듭니다! 만족만족ㅋㅋ이번에 세개 샀는데 모두 만족 +_+ㅋㅋ사이즈도 맞았구요 블랙인가?그거 샀는데 완전 이쁨ㅋㅋ 후회없습니다ㅋㅋ그리고 더울꺼 같았는데 별로 안더워요ㅋ신발도 가벼워요ㅋㅋ 완전 편함ㅋㅋ그리고 약간에 깔창?이라고 해야되나?ㅋ깔창?이 좋네요ㅋ 키가 작은데조금이라도 더 커보이니까ㅋㅋ완전 만족~ 감사합니다~
wldmsdl5**|완전만족완전 만족해요 _<진짜 이쁨!!ㅋㅋㅋ블랙샀는데 색깔은 똑같아요배송도 빨리 왔어요ㅋ 2일?정도아 ㅠㅠ 블루도 사고싶네요블루도 사야겠어요ㅋ아그리고 원래 핫팬츠 잘 안입는데이번에 산건 입을라고요너무 이뻐서요ㅋㅋㅋㅋ 감사합니다
wldmsdl5**|맘에 들어요후기를 2일후에 쓰는군요ㅋ너무 이뻐요!! _<화면보다 색깔이 살짝 연한거 같긴한데전 연한게 더 좋다고 생각함ㅋㅋ너무 맘에 들어요 감사합니다~
isb94**|앤디 핫팬츠이뻐요 워싱도 잘빠졋구여 데미지도 괜찮게잇어여ㅋ근대 한사이즈 좀더 큰게 잇엇음 좋겟어여 ㅜㅜ 여튼 이쁜팬츠ㅎ잘입을게요
jina753**|짱이뻐여~만족!상품은조아여^-^근데.....저는왜사은품이없나여;쪽지하나와함께............;사탕하나만;......................ㅅㅓ운ㅇ햇구여.......;...........;ㅋㅋ암튼이거바지는되게이뻐여^-^!!추천~
jeehae56**|ㅋㅋㅋㅋ아 왜 저는 목이 더 파일까염.. 혹시 가슴이 커섴ㅋㅋㅋ? 아닌데 그래도 중3인데..큰편도아니공..암튼 이쁜거같아요~ 근데 저 모델분은 안에 뭐 입으신건가요?제 속옷이 디즈니꺼라 케릭터 그려져 잇는데 , 나시안입으면 비치고 입으면 나시가 비쳐서요!아..고민이에영ㅋㅋㅋㅋㅋ그래도 이뻐요~ 사세요ㅋ
jeehae56**|옹만족합니다 ㅋㅋㅋㅋ이거랑 모델?티랑 같이샀는데.. 이게 더 날씬해보여서요 ㅎㅎㅎ타이트해서 이뻐요 ㅎ목디자인도 독특하구요
jeehae56**|정말 맘에드는 바지!제가 저체중이긴 하지만 엉덩이가 크고 골반 바로 아랫부분이 두꺼워서 바지살때 고민을많이하는데요이거 상품평보고 날씬해보인다고 해서 삿는뎅진짜 날씬해보여요!! ㅋㅋㅋㅋㅋ너무좋아용.색이 다르긴해요. 사진은 청색이지만 실제는 약간 회색? 이라해야되나?근데뭐..이쁘면되요 색이아쉽지만.. 회색바지가 있어서..암튼 핏은 정말 이쁜 청바집니다^^.그냥 사세요 ㅋㅋㅋㅋ
gyhong19**|기본ㅌㅣ!ㅋㅋㅋㅋㅋㅋㅋㅋㅋ저앙ㅁ...제가입으니까조금타이트한ㄷ느낌은잇음ㅠㅠㅋ;ㅋ;ㅋ;ㅋ;ㅋ;길이는원래입던기본티보다짧아서적응이안되ㅈ ㅣ만!진짜기대도안하구 이거라도입자 해서산건데ㅠㅠ이건말이안되뮤짱짱해서ㅈㅓㅇ말저아염ㅠㅠ휴팔부분이사진처럼뜨긴하지만ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ입다보면괜찬겟져..길이두..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ괜창ㄴ아염만족해요^.^!감사함니당
tvxq12**|맘에들어요꺼냈을때는 몰랐는데 입으니까 굉장히 딱 맞는거에요전 s 샀는데 아마그럴꺼예요근데 전 그게 맞을줄알았어요 ㅠㅠ맞긴맞는데 굉장히 딱 맞아서 살을 좀 빼야할것같아요 ㅠㅠ그래도 맞긴하니까 살을 좀만빼면 딱 좋을것같아요바지는 맘에 들어요 사진이랑똑같고 ~~
tvxq12**|완전 맘에들어요 ㅋㅋㅋㅋ딱 받아보고 입기전에 몸에 대봤는데 되게 큰거같은거예요입었는데 ㅋㅋ 좀 약간 원피스느낌 좀 엉덩이 덮고 그래가지고 좀 미니 원피스같기도 하고 ㅋㅋ안에 짧은 반바지 입고입으면 예쁠것같애요저한테는 많이 길지만 긴바지랑 안입고 짧은 반바지랑 입으면 되게 예쁠것같애요흰색샀는데 되게예뻐요 ㅋㅋ
sunny2**|너무너므 맘에드러요>진짜 너무너무 이뻐요 그리고 별로 크지도 않고 딱 좋구요검은색도 이쁠꺼 가타요진짜 배송도 빨리 왔고 양말두 너무 맘에들어여><그리고 배바지 해서 입기 엄청조은거 같아요!!진짜 너무너무 맘에 드는 옷이에염><!!
장정윤|좋아요바지는이쁘고 좋아요근데 받자마자 냄새가..좀많이나요그래서 빨아서입었는데그래도 많이나요냄새만안나면 진짜좋은데..ㅠ길이감도 괜찮고 이뻐요
mintlove1**|후기은근싼티나기도한데가격에비해 좋아요잘입을께요!!
yelim12**|뉴 원피스키가 작아서 반바지 안입어도 되고좋아요 ~
rainey4**|최고!!!!!!!!!111원래 인터넷에서 신발을 자주 구매하는 편이 아니라살까말까 고민을 많이 햇는데 디자인이 너무 맘에 들어서구매를했어요근데 이게 왠걸~ 너무 맘에 들고 예뻐서 제품 받자마자 친구만나러신고 나갔는데 이쁘다고 어디서 샀냐고 주목받았어요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ너무 괜찬고 사이즈도 딱 맞아요다른 신발도 한번 구매해보려고요!
wlgus04**|편하고 좋네요. ㅎ편하고 예쁘네요. ㅎ근데 발목이 두껍다 생각해 본적 없는데 처음에 끈 조절하면서 신는데 조금 힘들더라구요.ㅜㅜ계속 신고 돌아다니니까 괜찮긴 한데. ㅎ처음 끈 조절 부분만 빼면 다 맘에 들어요 ㅎ
이지혜|끈길이!!아레드색상삿는데 이쁘더라구요 그런데 안에 긴끈도있더라구요 끈길이를잘못하겟어요 ㅠㅠ하지만 너무이뻐요 별 5개 ㅋㅋ
이혜정|이쁨이쁜데배송이넘느렸어요저번주월요일에입금했는데목요일에배송되서택배는또오늘도착햇지몹니까--;택배사가안좋은것같아여...다른데맡겻스면맡겻다고전화라도한통해주던가...오늘열심히찾아다녓음...ㅠ.ㅜ
이지혜|너무늦게올렷어요!!저는 흰색으로삿는데 이쁘더라구요 해수욕장갈때입을라구하지용!!키가 158인지라 아래에 핫팬츠를입엇더리 다가리더군요 ㅋㅋㅋㅋㅋㅋ 아무튼짱이쁘고 잘입을꼐요사진은 ㅈㅅ해요 ㅋ
이혜정|친구가~이쁘다고하네욤ㅎㅎ제가입을건아니그싸서친구선물해줫는데근데사쥬미쓰넘커요...................뭐제가입고다닐게아니니깐뇨ㅋㅋㅋ잘입겟다네영
