kbg02**|너무 이뻐요♥♥     ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥그리고 살때 한치수 더 큰걸루 사야할것 같아요ㅠ그래도 맘에 들어요
ajm7**|딱. 딱 사진 그대로 색감도 그대로 입니다ㅎㅎ 가방들이 다 검은색이라 밝은색 코드에 검은색은 좀 아닌거같아서 무난하면서 어울리는게 이 색이더라구요ㅎㅎ 그래서 구매 했습니다!! 끈이 상당히 길어서 끝까지 줄였는데도 긴거같아서 구멍을 더 뚫었어요. 그리고 가죽이 잘리는 부분의 처리는 막 깔끔하진 않아도 지저분하진 않아요. 퀄리티가 엄청 높아보이지는 않지만 꽤 괜찮은 제품같아요. 딱 이 가격대의 가방같은. 무난하게 편하게 물품도 충분히 들어갈거같네요. 맘에듭니다!!
bjn66**|길이는 엉덩이 반쯤까지 내려오고 목 부분이 두껍게 되있어서 짱짱한 것 같아요 봄에도 이쁘게 입을 수 있을 것 같고 아무 곳이나 잘 어울리는게 좋아요 ! 옷도 가벼워서 만족합니다 ~
i3e**|생각보다 편하고 속 바지가 정말로 좋은 것 같아요~~ 그리고 블랙이라서 그런지 코디하기도 쉽고 되게 저의 발랄함을 잘 표현해주는 것 같네요~ 항상 고고싱에서 사는데 너무 좋은 것 같아요! 그런데 허리 사이즈가 약간 애매했어요 ㅋㅋㅋㅋㅋ
osm200**|M사이즈 샀는데 골반이 있눈 사람에게는 타이트함을 느낄것 같아요... 골반을 없애버리고 싶다... 치마 예쁜데...그래도 입을수는 있어서 다행이네요..길이도 적당 에이라인이라서 예쁨!!
osm200**|걍 핵존예 생각보다 두툼하고 좋음 밑단은 약간 늘어날것같은 기분이긴한데 니트라서 감안해야될점인듯해요ㅎ 이거 꼭 사세요♥
bjn66**|가볍게 운동하거나 집에서 간편하게 입으려고 샀는 데  따듯하고 부드러워요 ~ 조금 얇은 기모인데 따듯해서 좋고 가벼워서 간편하고 흰색줄이 포인트인 것 같네요 ! 정말 단품으로 입어도 이쁘네요 근데 조금 제 체형보다 부어보이긴 하네요 ㅎ
qhdud19**|깔끔★ 치마 아래 입기 좋음! 자 이제 양말을 샀으니 어울리는 스니커즈를 사야겠군요 ㅋㅋㅋㅋㅋ큐ㅠㅠ 잘 신을게요 기회되면 더 사는걸로..
ajm7**|처음에 옷 받아보고 너무 작아보여서 당황했네요ㅎㅎ 이게 입을 수 있는 사이즈인가 싶어서ㅎㅎ 옷은 늘어난다는걸 생각 못하고..ㅋㅋ 다 괜찮아요. 근데 목부분이 좀 쪼이더라구요. 제 목이 굵은듯..ㅠㅜ 옷은 넘나 이뻐요!! 무난하게 잘 어울릴듯. 만족합니다!!
qhdud19**|크림그린이라길래 민트색 오는 줄 알고 좀 쫄았는데 사진이랑 실물 색 똑같아요! 좀 춥긴 하겠지만 여행가서 입으면 존예각 ㅎㅎ 옷 다려서 잘 입을게요
qhdud19**|아니 50프로 세일하는 색상이라는건 뭔가 안 팔리거나 했다는 뜻인데 이해 1도 안됨. 개이쁜걸!!?! 동생이랑 트윈룩으로 맞춰입는데 개이득ㅎ 여러분 이 색 사세요 두번 사세요 햇빛아래에서 보면 특이하고 예뻐요. 이만 옷 다리러 총총
