fullmoon98**|박시해서 안에 옷을 두껍게 입고 입어도 공간이 남아요! 색깔도 예쁘고 핏도 괜찮아서 잘 입고 다니고 있습니다. 배송도 빨라서 좋아요
fullmoon98**|제가 좋아하는 스트라이프남장이예요!! 안에 비치지도 않고 오피스 룩처럼입기에도 좋고 캐주얼하개 압기에도 너무 좋아요
fullmoon98**|심플해서 너무 좋아요. 그런데 제 옷에는 리본이 같이 안왔네요...ㅎㅎ 개봉했는대 리본만없어서 리본은 따로사여하나찾아봤는데 같이오는거라고 되어았네요.. 리본없이 입긴했는데 좀 아쉽네요
m0v0**|사진에서보는 그대로구요 두께도 적당히 두껍고 봄에딱입기좋아요~ 친구들도예쁘다고하네요^^그런데 부들부들해서 그런지 소매를접어도 계속 펴지네요ㅜ
hyeji61**|요근래 옷 주문한것중에 제일 맘에들어요!!진짜 짱짱 너무 이뻐요 ㅋㅋㅋㅋㅋ바로 입고 나가서 여기저기 뽐내고 싶어요 ㅋㅋㅋㅋ
wldnjss40**|처음에 막상 입었을땐 너무 큰거 아닌가? 그런생각도 들었는데 계속 입고 있으니까 존예에다가 ㅜㅜ 사진도 잘나오구 엄청엄청 편햤어요!! 싼가격에 사서 딱히 막 기대는 안했었는데 삼만원에 팔아도 괜찮은 질에다가 ㅜㅜ 그냥 모든게 완벽했숨니당 원피스위에 입었는데 꺄 존예..!!!!!!친구도 엄청 막 이쁘다구 했어요 !! 고고싱 짱
hj01**|이가격에 이런 진을 사다니...!!!!!!!!가성비 짱짱입니다 ㅠㅠㅠㅠㅠ핏도 이쁘고 밑에 부분도 너무 마음에 듭니다!색도 잘 빠졌습니다! 근데 이게 밴딩이긴 한데 뱃살이 많으신분들은 허리쪽이좀 조일수도 있습니다! 그러니까 이점 참고하시고 사세요!!!암튼 정말 만족스러운 쇼핑이였어요!!
qbdtls**|여기저기 스커트에 입기 너무 좋은 옷이네요~ 원단도 좋은것같구 가격대비 좋아서 색별로 소장하면 좋을것같아여! 소매도 딱 예쁘게떨어지네요
qbdtls**|한번사서 봄여름가을 계속 울궈먹구있네요ㅋㅋ 색감도 너무예쁘고 편하고 기장도 딱 떨어지니 맘에들어요~ 저렴하면서 너무편하게입을수있어서 좋아요
qbdtls**|니트 조끼안에 레이어드할만한 옷 찾다가 발견했는데 가격도너무착하고 원단도 부들부들하니 좋아요~ 색별로 몇장더구매할까해요!
dbsroffk**|옐로우 색보고 딱꽂혀서 제일먼저 장바구니에 넣었습니당 봄이랑 너무 잘맞는 색인거같습니당 노랑노랑해요 저는 어깨에 끈묶는게 조금 어려웠어요ㅜㅜㅋㅋㅋ 마침 모델분이랑 비슷한 티 있어서 똑같이 코디해봤는데 제가 입으니까 엄청나게 떡대있어보이고 뚱뚱해보여요ㅜㅜ 다음에는 무난하게 흰티에 입어볼까합니당 초여름까지 입을 수 있을거같아요 반팔에다 입어도 이쁠거같아서 ㅎㅎㅎ 기장은 생각보다 짧아서 바람불면 조금 신경 쓰이긴 합니다!
hols**|오자마자 바로 개시했어요 길이도 길고 옷 자체 느낌도 좋아용 근데 손목에 조절하는 끈이 제멋대로 되어잇어서 어떻게 해야 이쁠지를 모르겟아요
qbdtls**|그냥 하얀 맨투맨이 필요해서 구매했는데 가격대비 너무예쁘네요ㅋㅋ  그냥 청바지에 입고 자켓하나만걸쳐도 예뻐요 가성비굿!!
hols**|기본으로 입으려고 흰색을 샀는데 딱 그냥기본이에요! 지금 입기에 좋은 두께이구요 분홍색이나 다른색도 구입할 예정이에요!!
hols**|생각보다 짧은감이 있긴 하지만 디자인은 이뻐요~~ 기본이라 어디든 무난하게 어울릴것 같아요 여름까지 입을수 있는 두께에요
qbdtls**|네이비 와인 두장구매했는데 색감이 너무예쁘네요!! 소매도길고 날 더 따듯해지고 겉옷없이 입으면 되게예쁠것같아요~
onjie**|가격대비너무좋네요 ㅎㅎㅎ원하던박시핏입니다! 색도 이뻐요 때타지않게조심히입어야하긴하지만 ㅠ 만족이예요ㅋㅋ
384589255**|옷이 좀 크게 왓지만 입으니까 엄청이뻐요고마워요 깨끗하게 이쁘게 잘입을께용~옷도 이쁜거 많앗지만..암튼 나중에 보고 더많이주문할께요 많이 번창하세요
hhh70**|양말너무부드럽고 좋아용
hhh70**|바지가너무예뻐요~!
57592867**|이거 너무 맘에 들어요요즘 화이트 치마들 입고 싶어서 사면속치마없어서 다 비치고 재질도 맘에 안들고 그랬는데 재질도 깔끔하고 속치마도 있어서 좋아요!
57592867**|민트색 색상도 맘에 들고 예뻐요!데일리로 편하게 자주 입을 수 있을것같아요^^길이감도 청바지에 입기도 치마위에 입기에도 적당해요 ㅎ
64774509**|생각보다 소재가 무겁고 부드러워요! 일반 트렌치코트 재질 생각하시면 안돼욥!! 검은색 베이지색 카키색 모두 예쁘구 마감처리가 잘되어잇어요!
lga87**|봄에 입으면 이쁠고닽어요
lga87**|한사이즈 더 크게 입는게 괜찬ㄹ을거갘앙요
lga87**|넉넉하게 나와서 좋아요
gogoa**|색상은이쁜데 청이 줄무늬처럼 보이는게?자체가 약간낯설어요ㅎㅎ 그냥가볍게입기는 좋을듯합니다 너무기대하면안되고 남방처럼그냥깔끔
gogoa**|좀더박시하거나 길이가좀길었으면 좋았을텐데ㅎㅎ그래도 색상도 수박색같고이쁘네요 이번엔 배송도빨라서 다행이었음
lsg12**|한번보자마자 구먜했어요색감도 이쁘고 길이도 좋아요블랙?도 사고싶어요.. 고민중ㅋㅋ고고싱옷 이뻐서 고민하게 만드네요이쁘게입고있어요~
33738795**|블라우스 이뻐용 색깔이 이뻐요 ㅎㅎㅎㅎㅎㅎ 사이즈도 적당해서 좋아용 ㅎㅎㅎㅎㅎㅎㅎㅎㅎ 감사합니당 ㅎㅎㅎ 많이 입을게요
33738795**|가격이 저렴해서 좋아용 ㅎㅎㅎㅎㅎ 그리고 무난무난해서 좋아용 길이도 엄청 적당해서 좋아용 허리도 엠사이즈여서 편해요 ㅎㅎ
33738795**|가디건이 넉넉하게 나와서 넉넉하게 입을수 있어요오 ㅎㅎㅎㅎㅎ 길이가 긴편인것같아요 ㅠㅠㅠㅠ자주 입을게요 감사합니다ㅎㅎ
qwe91**|포토후기 2등! 진짜 사진속 그대로예요! 색깔도 그대로고 그냥 할말이 없어요 ㅎㅎ 제가 키가 작아서 길이는 엉덩이 다 덮을 정도애요!-ㅋㅋㅋ 그리고 봄 가을용 두께정도구요 딱 이맘때 얇은겉옷이랑 입기 좋은곳 같아요 ㅎㅎㅎㅎ시험기간에 자주입을것 같네요
qkrtjsal**|생각했던것 보다 길이가 짧고 색이 밝긴 했지만 진짜 두께만큼은 장난아니에요.. 요즘 날씨에 이거 하나만 입고 돌아다녀도 될만한 두께에요! 가격에 비해서 완전 좋은거 같아요!
qkrtjsal**|박시하게 입는걸 좋아해서 봄옷으로 하나 장만했는데 요즘 날씨에 입기 너무 좋아요ㅠㅠ! 다들 사셔도 후회 안하실거에요! 정말 추천해요!
qwpoei**|옷은 귀여워요!!!일단 색은 상세컷보단 착샷에 가까워요착샷중에 제일 어둡게 나온 사진이 비슷합니다생각보다 더 오버핏이라 약간 왜소한 타입분들은 더 크게 느껴질수 있어요 참고하세요~
dkfkal12**|맘에들어요 낙낙하고 ㅎㅎ 색도이쁘고 이가격에 남방 진짜 잘산거같아요 이뻐욧ㅇㅎㅇㅎ오옹 배송도 빨랏구요 ㅎㅎㅎ 덩치잇는데 잘맞습니다 ㅎㅎ
dkfkal12**|배송은 빨랏구요퓨ㅠ소매가 역시나 접어입지않으면 너무길고 핏이별로에요 ㅎㅎ 그래도 접으면 이쁘구 그렇게 싼티나지도 않습니다! 이뻐요 잘입을게요 ㅎㅎ
dkfkal12**|생각보다 배송빨리왓고 빡시하고 ㅎㅎㅎ 근데어깨선때문에 덩치는 좀 있어보여요ㅠ 그래도 예쁘고 좋습니다!!!잘입을게여
alsgk10**|완전박스스탈일이예요.  제가 작아서 좀 큰듯한데 그래도 색상 디자인 넘 맘에들어서 그냥 입기로했어요.  다른색깔도 예뻐서 더 사고 싶어요.잘입을께요.
fpstid**|분홍색 가디건과 코디한게 예뻐보여서 구매했습니다☺️☺️옷 잘못사면 너무 박시해서 못입는것들이 많은데 맞춤 사이즈 처럼 딱 보기좋게 맞네요가격이 저렴해서 약간 걱정이 됐었는데, 살까말까 고민하시는 분들은구입하시는걸 추천할게요 여태 산옷중에 제일 만족입니당!
u3u**|옷이 라인이 예뻐요. 생각외로 많이 두껍지도 않고 그렇다고 옷이 많이 붙지도 않아서 편하게 입을수 있을것같아요! 이제 날씨가 따뜻해지면 꽃 구경 갈때 입으려고 해요^^ 마음에 들어요 예뻐요!!  마음에 들어요 예뻐요!!  마음에 들어요 예뻐요!!
alsgk10**|가격대비 너무 이뻐요. 색상도 이쁘고 기장도 딱좋아요. 제키에는,잘산거같아요. 맘에 쏙 드네요.엄마가 얌전하고 깔끔하고 원단도 괜찮다고 칭찬하시네요.
u3u**|살이 쪄서 그런지..ㅋㅋ 바지가 있는 게 지금 신상으로 나왔더라고요ㅠㅠ라인은 예뻐요 벨트도 이쁘고. 이 옷 라인은 겨울 모직도 샀었었는데 그냥 딱 기본 핏이예요! 예뻐요!  그냥 딱 기본 핏이예요! 예뻐요! 그냥 딱 기본 핏이예요! 예뻐요!
u3u**|라인은 예쁜데 엉덩이랑 많이 비쳐요ㅠㅠ그것만 빼면 예뻐요!  라인은 예쁜데 엉덩이랑 많이 비쳐요ㅠㅠ그것만 빼면 예뻐요!  봄에 흰 바지 슬렉스 원하시면 괜찮을것같아요! 그리고 발목을 쪼아주는 핏은 아니여서 더 편하게 입을수 있을것같아요
alsgk10**|베기바지처럼 편한스탈인줄 알았는데 그건아니네요.  예전 디스코바지같아요. 넉넉하게 입고싶다면 한사이즈 크게 주문하시는게 좋을듯합니다.
tree4**|제일 기대했던 원피스였어요 ! 거의 3주는 고민후에 샀는데, 통짜옷이라 잘못입으면 진짜 잠옷같은 느낌.. ㅠㅠ 하나만 입기엔 별로지만, 가디건걸치거나 끈을 매주면 예쁠것같아요 ! 일단 무늬가 너무 고급스럽고, 안감도 있어서 고급옷같아요 . 부해보이는 옷을 커버할만큼 퀄리티가 좋아서 만족합니다 ㅎㅎ  (거울이 더러운거 감안해 주세요 !)
altjs04**|길장도 롱 해서 원피나 남방에 레이어드해서 입고있아요 ㅎㅎㅎㅎㅎ 딴색도 구매하고 싶어요 ㅠㅠㅠㅠ 얇아서 봄에도 잘 입을 것 같아요 !
tree4**|새로나와서 후기가 없어 약간 불안했는데 너무 이뻐서 그냥 샀어요 ! 옷도 꽉 잡아주고, 무엇보다 천이 쫀쫀해서 잘 맞아요 !뱃살이 좀 있어서 후덕해 보이지만, 전체적인 실루엣이 너무 마음에 듭니다! 함께 산 티가 아직 안와서 그냥 집에 있는 옷을 입구 입었어요 너무 이뻐요( 거울이 더러운거 감안해 주세요 !)
