tndds**|진짜 완전 쫀쫀 그자체구요 그냥 옷만 펼쳐놓고보면 이게 어떻게 들어가나 싶을정도로 작아보이는데 또 들어가요 발목까지 완전 쫀쫀해요 허리도 완전 쫀쫀
mine21**|저 이거 되게 잘샀다고 생각합니다!! 제가 하비라 맞는 바지찾기가 되게 힘들었어요ㅠㅠ 그래서 넘 조아용ㅎ 이 바지는 허리에 맞춰서 사도 허벅지가 쫀쫀하게 잡아주면서 늘어나서 딱! 맞춘듯이 좋았슴닷ㅎ 앞으로도 이런 바지만 살거같아욤~
ds**|옆에 찢어져 있어서 노출을 좋아하지 않으면 별로일수도 있어요 저도 처음에 가격이 저렴해서 자세히 안보고 샀는데 옆이 찢어져 있어서 잘못 앉으면 다리 속까지 보이더라고요ㅠ 그래도 이쁘고 많이 입을것 같아요!
ehah**|일단 배송지연보장은 해주세요ㅠ.ㅠ 아무리 옷이이뻐도 한달은 너무했어요.. ㅜㅜ 제가주문할때 품절이란 말도 없었는데 .. 옷자체는 퀄리티굉장히 좋구여, 재질도 꺼끌꺼끌하지않아요 핏도 이쁘고, 제가 팔살이 많고 어깨가 넓은편인데도 넉넉하게 들어갔어요 옷은 만족도 100이네요. ㅎㅎ 배송은 늦었지만 입고예정일부터는 1일걸렸어요 만족해욤♡ 보상은 꼭해주세요.. 목빠졌다는 ㅠ
kisess**|생각보다 셔츠가 두껍고 많이 오버핏이라 놀래긴했는데 안에 넣어서입으니까 이쁘더라구요!ㅎㅎ 편하기 입고다닐수 있을거같아요~
kisess**|찢어진배기핏바지를 너무 사고싶었는데 고고싱에서 재입고 되자마자 바로 결제했어요 정말 후회 1도 없고 너무잘입고 다니고있습니다!!!!! 사이즈가S라서 걱정했는데 딱 예쁘게 맞아서 좋아요!!!!! 스판끼가 전혀없어서 조금 낑기는데 살빼야하니까...하하 아무튼 완전 추천합니다!!!!!
sp15**|흰색 구매했어요 ㅎㅎ 편하게 입을수 있어서 좋아요 ㅎㅎ지금 날씨에 입기에 딱 좋아요 ~~~가격도 저렴하고 배송 빨라서 좋아요 ㅎㅎ
sp15**|흰색 구매했어요 ㅎㅎ 편하게 입을수 있어서 좋아요 ㅎㅎ지금 날씨에 입기에 딱 좋아요 ~~~가격도 저렴하고 배송 빨라서 좋아요 ㅎㅎ
sp15**|카키색 구매했는데 지금 날씨에 입기에 딱 좋고옷이 너무 이쁘네요 ㅎㅎㅎㅎㅎ마음에 들어욯ㅎㅎㅎㅎ배송도 빨라서 좋앗어요 ㅎㅎ
jjwoo7**|배송은 엄청빨랐어요! 근데 얇기도 엄청엄청얇은대 후드달려있다보니깐 자꾸 후드가 무거워서인지 뒤로 처지고 주머니에 핸드폰넣으면 한쪽만 쳐져서 별로인것같네용 좀더 따뜻해지면 입기 좋을것같네요
lemon1**|다른원피스들은다짧아서입기좀어려웠는데이건길이가딱적당한것같아요제키가157정도되는데허벅지는다가려서좋아요옷도예쁘고귀엽고예쁘게입을게요감사합니다
rkdwl20**|너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다
rkdwl20**|너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다
rkdwl20**|너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다
lemon1**|살짝작은감이있어보이긴했는데몇번입고다니면괜찮을것같아요지금이시기에제일많이입고다닐것으로예상합니다ㅎㅎㅎ색도마음에들고그냥예뻐요
rkdwl20**|너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다너무 좋습니다
lemon1**|치마입었을때아진짜편하다했어요H화이트스커트하나필요했는데잘산것같고만족해요기본템이라서코디하기진짜좋아보이고예뻐요핏도잘나오고
msky1**|이거 진짜 너무이뻐요ㅠㅠㅠㅠ 소매 고무줄이 약간 찡기기는하지만 제 팔이 두꺼운걸루..ㅎ 암튼 색도 너무예쁘고 화면이랑 너무똑같아요! 한가지 단점이라면 허리가 너무 펑퍼짐해서 조금 붕 해보일수는있어요!!그거 빼고는 길이금도 딱 적당하고 넘너 좋습니다!!♡♡
lemon1**|처음엔신기하게생겼다고만생각했는데입고나서보니까진짜예쁘고다리도길어보이는게정말마음에들었어요예쁘게입고다닐게요좀자주입고다닐것같아요유용해서
lemon1**|보통바지L입으면적당한데이바지는M으로살걸그랬어요좀큰감이있어서벨트랑같이입는데도큰감이있는것같아요그거말고는바지예쁘고편하고정말마음에들어요
lemon1**|빨간색샀는데너무예뻐요ㅠㅠ이맨투맨진짜예쁜것같아요안그래도맨투맨하나살생각이었는데처음보자마자마음에들어서질렀더니실물도마음에들어서만족해요!
ekthadl12**|배송도 빠르고 좋네요! 두껍지는 않지만 요즘 날씨에 입기 좋아요! 베이지 기다리다가 카키 샀는데 만족합니다. 손목에 버클 줄이 잘 빠지지만 고정시키고 편하게 입기 좋아요 고민하시면 사시는거 추천! 주머니 위치도 좋고 박시해서 안어울리기 힘든 옷이네요
lemon1**|화이트주문했는데너무예쁘고깔끔해보였어요어디에입어도좋을것같고유용하게자주입고다닐것같아요돈만된다면네이비도사고싶었습니다개인적으로정말마음에들었어요
jessica98**|입고가 지연되어 배송이 늦어져서 그렇지 핏이나 재질 부분에서 제가 생각했던거랑 딱 들어맞아서 좋았어요. 기장도 딱 적당하고 봄, 가을용 아우터로는 좋은것 같네요. 조금 얇은 편이라 안에를 좀 두껍게 입고 입으면 괜찮을 것 같아요! 만족합니다!
parksulbi**|역시 생각 한 만큼 편하고 디자인도 이쁘게 나온거 같아요!! 키에 비해 길이가 좀 짧지만 예상햇던거라 괜찮아요~완전 만족합니당~ 잘입을게용::)
juha19**|포토후기1등이요! 오랫동안 기다려서 받았눈데 기대만큼 재질도 좋고 색감이 너무 좋았어요 블랙이랑 소라 고민하다가 산건데 블랙도 하너 같이시킬걸 그랫나봐요ㅠㅠ 이쁘게 잘입겟습니당
392304927**|신발 처음에 아 이게 뭐지 어떻게 신는걸까 하면서 30분째 실랑이 버리다가 드디어 신어 봤습니다ㅠ음...디자인은 이쁜데 새 신발이라 새 냄새가..너무 심한거 같아요..그리고 실도 막 튀어 나오고 디자인은 이뻐서 좋아요 그런데 오래는 못 신을거 같아요 양말은 꼭 신어야 할거같아여
392304927**|가디건이랑 신발이랑 블라우스 3개 일요일에 주문해서 오늘 왔어요 블라우스 가격에 비해 약간 좀 별로 였던거 같아요...단추도 채우기 많이 힘들고ㅠㅠㅜ그래도 저같은 키작은 저한텐 손이나 이런곳은 다행이 잘 맞아서 이쁘게 잘 입을거 같아요ㅎㅎ
lds04**|라운드 니트나 블라우스 입을 때 주로 입는데 목도 더 따뜻하고,  허전해보이지 않아서 좋아요! 포인트를 주니까 괜히 멋부린 느낌도 나구요ㅋㅋ 목이 살짝 매는 거라 그런지 길이도 적당하고 질감도 부드러워서 좋아요. 고고싱에 있는 다른 디자인으로 하나 더 사려구요~
oej98**|포인트로 신기 좋아요재질도 쫀쫀하고 발목부분도 딱 잡아주고 너무 마음에 들어요ㅎㅎㅎ다른거 때문에 배송은 일주일 걸렸지만 기다린 보람이 있네요
392304927**|일요일에 주문한것을 오늘에야 왓어요!!전 키가 작아서 그런지 가디건이 통통해 보이더라구요...그래도 귀염 귀염해서 봄에 입으먼 적당할거같아요~~
lds04**|색상은 사진상이랑 거의 똑같은 색이에요 재질이 부드러워서 촉감이 나쁘지 않구요! 소매 부분이 포인트인만큼 소매가 가장 예뻐요^^
oej98**|포인트로 신기 딱 좋은 양말이에요!재질도 쫀쫀하고 너무 마음에 들어요ㅎㅎㅎ다른거 때문에 배송은 일주일 걸렸지만 기다린 보람이 있네요
oej98**|처음에 재질이 얇을까봐 걱정했는데 피치면이라는 말 듣고 바로 구매했어요노트북도 넣고 다녀봤는데 튼튼하고 좋아요생각보다 크기도 크네용차콜색 에코백 갖고 싶었는데 가격대비 너무 마음에 들어서 만족!!
foool97**|역시 믿고 사는 고고싱이에요!ㅠㅠ 받은 순간 색깔 부터 너무 이뻐서 좋았어용 배송 또한 너무 빨라서 감덩했습니댜 ! 하지만 아쉬운 점은 생각보다 앞 뒤로 너무 파였다고 생각한 점과 생각보다 소매가 너무 넓다는 점이였어요! 그래도 정말 이쁘게 입을 수 있어서 좋습니당~♡ 앞으로도 많은 이용할게욨!!
dlathgml**|키가 작은편이라 길이고민이 많았는데 딱좋은길이에 소재도 괜찮고 심하게 얇거나 가볍지도않고엄청 맘에들어요 봄에입기 딱!
nayuni**|속바지가 붙어있어서 사봤는데 사이즈도 잘 맞고 아무래도 안에 바지가 있으니까 훨씬 더 편해요! 두께도 안 두껍고 색도 블랙이라 기본템으로 잘 입을 것 같네용
ekals82**|벨트 하나 필요해서 그냥 상품평 많은거로 삿는데 깔끔하고 예쁩니당ㅎㅎ검정색이라서 무난무난하고 어떤 바지에도 다어울리네용ㅎㅎ 완전 득템!!@
ekals82**|완전굿!! 저 하비인데 진짜 날씬해보여요ㅎㅎ 요즘엔 스키니보다 일자바지가 더 땡겨서 삿는데 진짜 가격대비 좋은 제품ㅎㅎ 근데 저번에 고고싱에서 바지 하나 삿는데 벌써 많이 늘어나버려서 이건 안늘어나길 바라고잇습니당ㅜㅜ
tmdrl06**|바지 진짜 이뻐용 후기 썻던걸로 아는데 또 뜨네요?? 안썼나ㅎㅎ 색깔 진짜 이쁘고 핏 완전 맘에들어요 한개더사서 쟁겨둘까도 생각중입니다ㅋㅋㅋ
ekals82**|고고싱에서 니트를 제일 많이 사는것같아유ㅎㅎ 봄이라서 핑크색 삿는데 완전 예뻐요 ㅎㅎ 그리고 생각보다 길이감이 잇어서 더 만족스러웟다능><세일할때 사서 완전 득템요!!@
nayuni**|브이넥 니트는 처음 사보는데 길이도 적당하고 두께도 곧 날씨 풀리면 입기에 적당해서 맘에 들어용 청바지에 잘 어울릴 것 같습니당~
ekals82**|딱맞을줄 알앗는데 생각보다 넉넉하네용?ㅎㅎ 그래서 더 좋앗습니당 제가 원래 니트같은거는 딱맞게 입는걸 별로 안좋아해서ㅜㅜ 저는 베이지색 삿는데 색도 밝고 봄에 입기에 딱일것같아요 안에 흰남방입고 입으면 완전 예뻐욯ㅎㅎㅎ 브이넥도 생각보다 많이 안파여서 좋습니당ㅋㅋ
ekals82**|완전 예뻐요ㅎㅎ 품이 넉넉해서 제일 좋은거같아요 ㅎㅎ전부터 사고싶엇는데 세일할때 사서 완전 득템요 !!밝은색상이여서 봄에 입기에 좋을것같슴돠^^
yunsh10**|봄이라 걸칠 옷이없어서 샀는데 좋음 길이도 길어서치마입어도 계단올라갈때 가려줘서 좋구 색도 여리하니이쁨어두운색도 사구싶음
sksdud1**|제가 한번샀고 저희 엄마가 이쁘다고 그러시더니 백화점가서 돌아보고 디자인이 다맘에안든다고 시켜달라고 해서 하나 다시 시켰어용!!이건진짜 이뻐요!!위에 자주색 조끼입고 안에 입어도이쁘고 단품으로만 입어도 이뻐요~고민하시는거면 그냥 사세요!!후회없어용 ㅎㅎ
