wlghclg**|넘나예뻐요>< 다음에도 또 사입고 싶어요 색깔별로 소장하세요ㅜㅜㅜ
qhfka**|완전완전 제스타일입니다  박시티를계속찾아다녀는데 아쉽없어서포기하려 할때고고싱에서있어  고민할것도없이 바로주문ㅎㅎ  낮에는더워서외투하나에이거입으면 좋을듯싶습니다
dbsk17**|무난한 색 블랙색상도 샀습니다ㅎㅎ 길이도 좋고 두께감도 요즘 날씨에 좋아서 더 자주 입는것 같아요ㅎㅎ 이쁘게 잘입겠습니당~~
qhfka**|제가머리가작아서인지는모르겠지만 좀크고요 색감은  굿!매일쓰고다닙니다
dbsk17**|있는 색상 다살려다가 3개샀네요...ㅋㅋㅋㅋㅋ너무 이뻐서ㅋㅋ 원래 핑크색을 좋아해서 핑크도 샀는데 실망시키지않은 제가 좋아하는 핑크색이여서 더 좋았어요 잘입을게요
dbsk17**|버건디 색상보고 바로 반해서 질러버렸죠ㅎㅎ 역시나 직접 입어보니 이쁘더라구요ㅎㅎ 역시 사길 잘한듯ㅋㅋ 잘입을게요^^
dbsk17**|핏이랑 다 이쁩니다. 근데 재질이 제가 생각한 재질이 아니라 조금 실망..ㅎㅎ 그래도 이쁘게 잘입을게요. 그점빼고는 다 맘에 들어요ㅎㅎ
icm**|전 블랙색상 구입햇어요 ㅎㅎ 조금 무거운감이 있긴하지만 그래두 쌀쌀한 날씨에 입으면 따듯하구 색도 그렇게 까만어두운것도 아니구 약간 밝은블랙이라 개인적으로 더예쁜것같아요 기회가된다면 다른색도 구입하고싶어요~~ 예뻐요!~~
dbsk17**|이건 진짜 너무 예뻤습니당ㅋㅋ 색도 이쁘고 옷 디자인도 이쁘고 다이쁨..ㅋㅋㅋ 더 추워지기전에 많이 입어둬야겠어요ㅎㅎ 꼭사세용 넘나 이뻐...ㅎㅎ
dbsk17**|생각했던것보다 조금 더 네이비색이었지만 그래두 이쁜건 인정ㅎㅎㅎ잘입고 다니고 있어요ㅎㅎ 검정색도 나왔으면..ㅎㅎ 잘입을게요~~
icm**|그레이 네이비 색상 둘다구입햇는데 개인적으로 네이비가 더예쁜것 같아요 ㅎㅎ 색도 칙칙한 네이비가 아니구 진짜그냥 깔끔한 네이비라서 더맘에들어요!! 지금까지 후드티 산것중에 제일 맘에드는것같아요~~~예쁜옷 더많이사입을게욬ㅋㅋ
dbsk17**|부츠컷이랑 입으면 이쁘겠다하고 샀는데 역시나 너무 이쁘네욯ㅎㅎ 갑자기 추워져서 잘 못입었지만... 이뻐서 걍 입으려구요 추워두...ㅋㅋㅋㅋ잘입을게요^^
dbsk17**|예전부터 살까말까 고민하다가 지금 아니면 못살거 같아서 질렀는데 역시 이쁘네요..ㅎㅎㅎ 그래도 단점은 재질이 맘에 안든다는점.. 잘 구겨져서 입을때마다 다려입어야 할거같은ㅎㅎ 그래도 좋습니다. 잘입을게요^^
yujung57**|옷은 예쁜데 너무 짧아요 158인 친구 선물해줬는데 그 친구한테도 좀 짧네요 165 정도 되는분들은 사시면 그냥 니트조끼 될 것 같아요 옷은 예쁘네요
yujung57**|딷ㄱ 기본티에요!! 지금 입기에 좋은것같아요 가격대비 짱짱 괜찮네요 다른 색깔도 사려고 생각중이에요 무슨 색깔이 예쁠지 고민되네요
965303286946839**|아이보리 갑이에요ㅎ 고고싱에서 산 니트중 제일 마음에 들었어요^^ 대학면접갈때 입고갈꺼에요!! 카키색 사고싶은데.. 품절이라네요ㅜㅜ  그것만 빼면 bb
icm**|요즘도 자주입고 있는 옷인데 ㅎㅎ 아우터 아무거나 안에 입어두 무난하니 예뻐요ㅠㅠ 목부분도 딱잡아주는게 좋구요!ㅎㅎ 이런기본티 하나 있어야겠다구 생각했었는데 이렇게 예쁜옷 갖게되서 넘좋아요 ㅎㅎ 가격대비도 좋가요 예쁘게입ㅇ을게요!
965303286946839**|와인색깔 진짜 와인와인하구요ㅎㅎ 전체적으로 크지도 안고 맞아서 좋은거 같아요~ 재질도 9000원인거에 비해 좋구요ㅎ
leekh**|색감도 이쁘고 길이감도 좋네요. 아무거나 같이 입기 좋고 이뻐요. 근데 올 때 주름이 너무 많이 져서 왔네요. 그래도 이뻐요.
965303286946839**|생각보다 짧아요ㅜㅜ 쫌 더 길었으면 좋겠지만 그렇다구 안예쁜건~ 전~~~~혀 아니에요ㅎㅎㅎ 구매 잘 한거 같아서 다른 니트도 사볼려구요ㅎㅎ
leekh**|사진처럼 도톰하고 이쁘네요. 아무거나 같이 입기 편하고 좋아요. 근데 냄새가 좀 나네요. 식초냄새같이.... 그래도 이뻐요.
without**|친구선물로 산 옷인데 친구가 너무좋아하네요ㅜㅜ깔끔하고 디자인도 이쁘다구  좋아해요!!길이도 적당하고 핏도 되게 좋구 만족입니당-!
km06**|완전 날씬해보여요   스판이라 옷도 편하고  아무거나 맞춰입기도 좋네요  색깔도 이쁘고  이옷은 아주 맘에듭니다 잘입을께요
dmdrud9**|받자마자 설레여서 바로입어밧는데너무따시구 겨울에 이거만 입을거같아여 ㅎㅎㅎ남에또구매해야겠어요!!두툼투투짱짱 입니다!!
seasky02**|아이보리 색상으로 주문했어요 ! 얇을 줄 알았는데 생각보다 도톰해서 조금 놀랐어요 딱 지금 날씨에 입으면 따뜻하고 좋아요 절개 부분이 이쁘구 브이넥인 것도 이뻐요
guseb**|블랙사고싶어서 장바구니에 넣어놨었는데 어느 날 보니까 품절됬더라구요 그래서 아쉬운 마음에 카키라도 사야겠다 했는데 블랙이 다시 입고된거보고 바로 구매했어요! 너무 귀엽고 간단한 소지품 넣어다니기에 너무 좋은거 같아요 생각했던거보다 물건도 많이 들어가고 구매하길 정말 잘한거같아요
qor13**|안쪽 면이 까끌거려서 좀 그랬지만 전체적인 디자인이 좋네요.절개된 부분이 이뻐요. 만족합니다. 잘입고다닐게요!!
guseb**|생각보다 통이 조금 크더라구요! 그리고 잘 늘어날것  같은 느낌...? 한번 입었다 벗었을  뿐인데 투둑 소리 나더니 터졌어요.....박음질이 조금 아쉬워요ㅠㅠ 다음엔 좀더 신경써주세요! 디자인은 데일리로 입기에 딱 입니다  두께도 요즘 입기에 적당합니다 잘 입고 다닐게요~
elf**|생각보다 많이 루즈하더라고요 ㅋㅋㅋㅋㅠㅠ 그래서 저는 못입었어요 대신 165인 동생 주니까 예쁘게 잘 맞더라고요 !!!
