krcam0**|오자마자 택배뜯어봣는데 진짜진짜 짱예뻐요 꽃무늬도 완전예쁘고 가격대비 재질이랑 비주얼도 좋고 검정치마에 입엇더니 진짜 딱이네요 ㅎㅎㅎㅎ
zoco00**|여름에도 입기 좋을꺼 같아요 ㅎㅎㅎ 예쁘네요
rlaskgus1**|질은 보통이고 크기나 레터링은 맘에들어서 그냥 가볍게 입고 나가기에는 좋을 것같은 티 입니당 ㅋㅋㅋ!!
didtpdms62**|너무 주름이 심하게 져 잇어서 당황햇어요..소재도 대단히 얇아서 다리미 같은 거 하기 겁나요 원래도 최대한 안하려고 하는데 말이애오.그리고 키가 작아서 인지 동네 아줌마같이 너무 넓어서 품 적당히 작게 잡아서 약간 리폼햇더니 좀 볼만해요키작은 사람이야 긴 치마 입기 겁나니까 그건 상관 없지만 주르미가,... 구겨놧다가 접어서 보낸 느낌이에요. 같이 주문한 반팔티는 그렇게까진 아닌데 말이에요
anne46**|진짜 옷 너무 예뻐요ㅠㅠㅠㅠ 좀 크긴하지만 하의 안에 넣고 입으니 되게 이뿐거같아요 블랙이라서 그런지 더 깔끔해 보이기듀 하네요
rlaskgus1**|너무 얇고 질이 제가 생각했던게 아니라 약간 당황했어요 ...! 좀더 이쁘게 입을 고민을 하고 입어야할것같아요 ㅠㅠ
rlaskgus1**|박시한 티 좋아하시면 사도 좋을 것 같아요! 근데 많이 얇긴해서 속옷이 색깔이 있다면 비칠것같고 질은 좀 아쉬워요..!
sm02**|검정색을 사서 그런지 날씬해 보여요~~~청바지에 입어도 예쁘고 치마에 입어도 예쁜거 같아요소매도 여리여리해보이고 제 스타일이여서 샀는데 만족합니당
rlaskgus1**|많이 짧긴한데 그래도 짧은 치마 좋아하시면 맘에 드실것같아요. 스판이 좋아서 움직이기도 편하고 언발커팅이 넘나 이쁩니다ㅠㅠㅠㅠㅠㅠㅠㅠ
kny82**|전체 샷 찍으려했는데 배송시킨거 이것저것 입다가 밑에는 완전 여름 바지를 입고있어서 가장 특징이 두드러진(?) 소매부분만 찍었는데 잘 나온건지 모르겠네요...ㅠㅠ근데 아무튼 제가 생각한 핏은 아니네요ㅎㅎㅎㅎ뭔가 여리여리한 분위기를 바랬는데 덜렁덜렁 같은 이 느낌은...기분탓이겠죠?ㅎ지금사도 얼마 못입겠다 싶어서 안사려다 걍 지른건데 개인적으로 핏이 좀...ㅠㅠ여리여리 살랑살랑한 느낌은 없네요...ㅠㅠ아직 제대로 옷 안입고 가서 그런걸수도 있어요!! 내일 한번 제대로 입고 가봐야겠어요ㅎㅎ
jjbak8**|프린팅도 이쁘고 마음에 들어요!! 많이 입고 다닐것같아요! 역시 기본 흰티가 짱인것같아요 ㅎㅎㅎ
rlaskgus1**|진짜 이쁘고 뭔가 고급진 이쁨이에요!! 산것중에 가장 맘에 들어서 후기 남깁니당ㅎㅎㅎ 약간 많이 파인것같긴한데 그래도 맘에 들어요! 키가 큰편임에도 긴편이라서 작으신분들에겐 좀 길이감이 있을것같아요!
jjbak8**|생각보다 옷이 크긴한데 이쁘게 잘 입을수있을것같아요! 프린팅이 몇번빨으면 깨질것같긴해요 ㅠㅠ
jjbak8**|몇번 빨래하면 해질것같은 옷이지만 색깔도 이쁘고 무난무난하게 잘입고다닐것같아요 ㅎㅎㅎ 편하게 입기딱입니다
kny82**|옷이 참 얇아요!!!! 진짜 짱얇아요!! 여름에 입어도 되겠다 싶을정도로 ...아니 왠만한 여름옷보다도 얇아욬ㅋㅋㅋㅋ실수로 옷 벗다가 화장품이 묻어서 물로 살짝 씻는데 옷 찢어지는거 아닌가 싶었어요...ㅎㅎ옷 너무너무 이쁘고 어디에 입어도 참 괜찮은 옷이에요! P.S. 단추 있는곳이 앞인줄 알고 찍었는데 단추 있는데가 뒤에군욬ㅋㅋㅋㅋㅋㅋㅋ어쩐지 검은라벨이 단추쪽에 있더라구요...ㅎㅎ여러분 사진에 나와있는건 뒤쪽이에욯ㅎㅎㅎㅎㅎ
dbwjd835**|오렌지라서 좀 부담스러웠는데 입어보니깐 시킨것중에 제일 예쁜것 같아요색감도 이쁘고 핏도 진짜 예뻐요!!!
mun132**|옷을 보고 헐...했었요 작은것 같아서 근데 막상 입아보니 맞기는 한데 어깨깡이..ㅋㅋ 훅 하면 뜯어질것같은 느낌적인 느낌이~~조심히 입어야겠습니다 . 이뻐요!
49763380**|옷은진짜이뻐요 진짜이쁜데 지금 할인해서 블랙 레드 둘다 구매한건데 오늘받아서 입어봣는데 일단 지금입을수는없을것같아요 입는다해도 날더워지면 금방 못입을것같아서 반품하려고해요 가늘이랑 봄에입기좋을것같아요 지금처럼 낮엔 엄청덥고 저녁엔 어느정도 선선해서 입을만하겟는데 낮엔 못입을것같아여 은근히 무게감도잇는것같고 ! 근데 옷자체는 이쁘고요 키163인데딱이쁘고요 색상 블랙 레드 둘다이쁘고요 사실분은 사시면 후회안하실겅요 전 당장 다음주에 입어야하는거라 아쉽게 반품 ㅠ 흑
dbwjd835**|흰색샀는데 안에가 다 비쳐요... 그래도 핏이랑 너무 이뻐서 여름에 반바지 안에 넣고 입으면 이쁠 것 같아요
dbwjd835**|160에55인데 M 좋게 맞아요!! 거기다 스판처럼 잘 늘어나서 입고 다니기도 편해용 !!!
jjbak8**|안쪽밴딩처리 덕분에 엄청 편해요! 밥 먹고 나서도 졸리는것없이 괜찮습니당 ㅎㅎ 처음에는 신냄새 같은게 심해서 빨아입어야할것같아요 ㅠㅜ 그것빼고는 길이도 적당하고 좋습니다!
mun132**|후기들 보고 키작은녀는 못 입겠구나 했는데 나보다 적으신 분도 입으셔서 한번 시켜보앗는데 어깨가 막 훅 하면 뜯어질것 같지만 이뻐서 맘에듭니다
dbwjd835**|아무옷이나 다 들고 다닐 수 있고 진짜 많이 들어가요!! 지금 날씨에 딱 좋아용 사세요!!
jjbak8**|편하게 입고 다니려고 샀는데 딱입니다 ㅋㅋㅋㅋ 그냥 무난무난하게 입을수있을것같아요 운동할때 입어도 될것같아요
mun132**|단순하면서 하트모양인게 너무 심플하고 이뻐요 !!!!!매일 팔찌하고 다녀야겠습니다!!!!!
kny82**|전에 어디서 샀던 슬랙스는 앞지퍼가 자꾸 내려가서...ㅠㅠ입고나가기 참 조심스러웠었는데 이건 지퍼가 잘 고정되있는거 같아서 안도감이 드네요...바지 이름처럼 다리가 참 길어보여요!!ㅋㅋㅋㅋ 슬랙스라 그런지 신축성은 없어서 앉고 일어날때 터지는거 아닌가하는 생각이 들지만..옷자체는 참 이쁜거 같아요! 사진은...제 비율이 안좋아서 바지가 빛을 못보는거에요 바지는 참예뻐요:) 모델언니처럼 핏이 안나오네요...ㅠㅠ
jjbak8**|재질이 많이 않 좋은것같아요 ㅠㅠ 너무 얇고 스판이 1도 없어요.... 길이는 괜찮습니당....
qksehfdk**|사진하구똑같구여!!여름에 바다쪽놀러가서 입으면 이쁠것같아여ㅎㅎ얇고 괜찮아요!!재질은 그냥그렇구여
mun132**|단순하고 너무 이뻐요~근데 제대로 안 놔두먼 엉켜서 못할것 같고 심플하게 하고 다닐수 있었서 너무 좋아요!!
qksehfdk**|딱맞아요!제가 살이찐건지 너무딱맞아요ㅠㅠㅠ색은 근데 제가 생각한 진한 진청은 아니었어서 너무 아쉬워요전에 고고싱서 산 중청 다른반바지랑 색차이가 별로없어여ㅎ
jjbak8**|얇고 이뻐요! 하지만 아이보리는 아무래도 색이 밝아서 그런지 안에가 다 비쳐서 나시같은걸 꼭 입어야합니다 ㅠㅠ
dbwjd835**|160에 55인데 M 딱 좋았어요!! 사이즈는 잘산것 같고 무릎부분 쭈그려 앉으면 뚜둑소리나긴한데 이뻐요!
