wjdtjs2**|친구 선물용 으로 샀는데 무난하게 하고 다니기도 좋고 좋아요 다만 목도리 끝에 메이드인 있어서 조금 아쉬워요 그것 말고는 좋아요!
khm95**|포토후기3등이요~그레이후기입니당!!!옷은정말예뻐요 기본으로무난하게어디에입어도예쁠거같고요같이구매한 애니원면스키니랑같이코디했어요ㅎㅎ그런데확실히가로줄이다보니 뚱뚱해보이는건 어쩔수없는거같아요 좀비싼가격이라고민하긴했는데 사고나니 질도좋은거같아요 되게따뜻하고...ㅎㅎ만족합니당 완전예뻐요ㅎ
wldus67**|XS 사이즈를 찾고 있었는데 이렇게 취향저격인 바지에 저 사이즈도 있어서 바로 구매 했어요 ~~ 근데 밑부분이 쫙 붙지않고 퍼진다고 해야되나 ㅠㅠ 그게 조금 아쉬웠어요 근데 그건 둘째치고 바지가 너무 예쁘고 아무 옷 이랑 매치 잘 될거같아서 죠읍니다 ^ㅡ^
hyeinl**|항공점퍼가 필요해서 하나사려고했는데 마침 저렴하게 행사하고 있어서 샀어요 ㅎㅎ 역시 고고싱양털안감이라 따뜻하고요 추운날 입고나갔는데 주머니에는 양털이 없어서 그거 아쉬운거 빼고는 정말 만점 항공점퍼예요 ㅋㅋ 와펜도 저정도면 많이붙어있고 정말 가격대비 퀄리티짱! 고고싱은 저렴하면서 합리적인 소비가 가능한거 같아요 ㅎㅎㅎㅎ
mom98d**|고고싱가입하고 처음 산 옷인데 코코아색과 검정색 둘 중 하나를 골라서 검정색상을 구입! 기대이상으로 예쁘고 만족스러웠어요! 적당한 두께도 좋았구요! 하지만 소매 부분과 몸통 길이가 조금 애매했지만 이정도 가격이면 기대이상이였습니다! 굿!
khm95**|진짜진짜예뻐요ㅎㅎㅎㅎ가격대비도정말좋아요 발목부분까지스키니하게 핏도예쁘고 키가작아서바지사면 길이가길어서 접어입는데 바지가안길어서 너무마음에드네요!ㅎㅎ배송도 금요일에 주문하고결제해서 월요일에받았구요 잘입겠습니다!ㅎ
811327632326479**|와 이거 물건이예요저이거사고 애들한테 귀여움받아요 ㅋㅋㅋㅋㅋㅋ진짜 의외예요 이게 은근따뜻하고 두꺼워요이거 털도 부들부들해서 애들이 자꾸만져요 ㅋㅋㅋㅋㅋ전이거 진짜 잘산거같아요!!!! 색도 이뻐서 아무렇게 입어두 다 잘맞아요
811327632326479**|이거 진짜좋아요!!!원래롱패딩 안좋아하고 어색한데 아무생각없이 사놓고 요즘 맨날입어요 진짜 따뜻하고 그핏도 어쩡쩡하지않아사 좋았어요 손목에 시보리도 짱짱해서 좋았습니다!자크가 뻑뻑해서 힘들지만 시간지나면 잘올라오겟죠 !
kimhj06**|진짜 이쁩니다 가격도 저렴하고 되게 귀여워요 색깔도 배치가 잘되있어서 진짜 맘에 듭니다 핏도 딱맞고 길이도 딱맞아서 되게 좋아요 진짜 사도 후회안합니다 아무렇게나 입어도 이뻐서 좋습니다 패딩조끼라도 은근 따뜻해요 진짜 고민하시는분들 얼른 사시길!!
yb31**|피팅사진 브라운은 살짝 밝은브라운인데 저기에보이는것보다는 색이 좀진하고어두워요 그래도 이뻐요 목도리는 교복에도 막입고다닐수도있으니까 내일부터 착용할예정이랍니당!! 질도 좋아요 고고싱에서 산것중에는 크게실패한게 없어요!ㅎ 잘쓰겠습니다
khm95**|금요일날에주문하고결제해서 월요일에받았어요!ㅎ배송빨라서좋았구요~사이즈가m이었는데 허리부분은크게나온거같더라고요 바지는 진짜편했어요ㅎㅎ하비라 약간헐렁하지않고 좀붙는느낌은있는데 정말편하고 재질도좋은거같아요 잘입을게요~ㅎㅎ
811327632326479**|진짜 리뷰 잘안쓰는데 옷받은지 좀되구 입고나서 후기써봐요회색사구싶엇는데 품절이라 검정색삿는데 진짜 검정색 짱!!!요즘같이추운날씨에 입어도 저는 괜찮더라구요그리고 두꺼워서따뜻하구요 길이감도 길지도짧지도않아서 좋았어요 그리고 아쉬운건 스웨이드라 먼지가잘붙는다고 해야하나? 그거빼고는 정말 마음에 짱짱 들었어요 !!!
kimhj06**|진짜 이쁘네요 가격대가 있는편이라서 약간 고민이 됬었는데 인기가 좋길래 사봤어요 근데 진짜 사길 잘한거 같아요 색깔도 무난하게 베이지로해서 이쁘구요 핏도 맘에 들고 길이도 맘에 들어요!! 폴라라서 따뜻하고 두께감도 좋아서 겨울에 입기 좋네요
yb31**|얘가제일 수량이부족해서 빨리받지는못했지만 웬만한 다른곳들보단 빨리온거같고 계속 고고싱에서 문자도보내주셔서 더좋았습니당!!ㅎㅎㅎ 니트 소라색상너무이뻐요 진짜 입어보고 색이 너무취향저격 근데 제가 팔이긴편인데 짧더라구요 그건 제가 인정해야되는부분이니까 만족합니당
yb31**|이런색상코트가 없어서 세일하길래구입했는데 저한테좀큰느낌이있더라구요 디자인은이쁘긴한데 군데군데 구김이라긴 약한정도? 잡혀있어서 다리미질을하고입어야할꺼같아요싼거치고는 괜찮아요 코트겉면에 작은 실들이 많이불어있더라구요 그것도 다때고 잘입겠습니당
khm95**|고고싱에서 금요일에주문해서 주말지나고 월요일에받았어요 배송빨라서좋았구요ㅎㅎ옷은 후기대로 s치고넉넉하게나온거같아요팔부분이좀헐렁해요 그래서소매접는게이쁘더라고요ㅎㅎ허리부분도들어가고핏예뻐요!색도예쁘고잘입을게요ㅎㅎ
yb31**|저번에 항공점퍼를 다른곳에서 샀는데 너무작은사이즈를 사가지고 못입고다녀서 이번에사는김에 둘러보니까 점퍼가 후기보니까 구겨져있다는평이많아서 고민하다 샀는데 받고보니까 별로그런느낌없더라구요ㅎ, 안에 털도있고해서 다른항공점퍼보다 따뜻할꺼같아서샀습니다 팔폭이 좀넓은게 단점이지만 그건 봐줄수있어요ㅋㅋㅎㅎ이뻐서용 잘입겠습니다
hnr02**|생각보다 너무 얇아용..ㅠㅠ봄,가을에 입어야되요~!겨울에 입으려면 안에 스타킹이라도 신고 입으세요!!배송하나는 진짜 빨라요 인정..ㅎ그리고 입으면 정말 편해요!생각했던 재질이 아니라서 실망은 했지만 그래도 검정이라 무난하게 착용가능할것 같아요^^!
sjfmf**|우와 너무 좋습니다!! 제가 살이있어서 ?????조금 작은감이없지않아 있는데 어깨랑 팔쪽은 큰데 밑에 쪽이 위쪽보다 훨씬 작은거같아요 ~ 골반쪽이요~ 면도 비오는날에도 방수 잘되고 탈탈 털어내니깐 꺠끗해지고 좋아요카키가 짙은 색이라 색감도 좋구요 블랙있었으면 하나더 샀을꺼예요~ 첨엔 얇게 와서 안따뜻할꺼 같더니 팡팡두드리니 완전 빵빵해졌네요~ 잘입을께요~
yb31**|옛날부터 고고싱오면서 눈여겨봤엇는데 이번에 새해기념으로 드디에사보내요!!아직못들고나가봤지만 빨리 쓰고싶어요 재질도좋고 싼티도안나고 냄새도별로안나는거같습니다ㅎ 근데처음에배송와서 비닐봉지에쌓여있을때 남색으로보여서 심장이 덜컹했지만ㅋㅋㅋ뜯어보니까검정색이었어요안에도 빨간색이라 이쁜거같아용 잘쓰겠습니다
kmhma**|사진에서봤을때도이뻤는데 실물도이뻐요 그런데 코디하기가조금아쉬워요 생각보다너무길어서 ㅠ제가키도큰데 엄청길더라구요 그래도 믿고사는고고싱이니까 자주입을께요 천도생각보다얇아서않에많이껴입을수 있어서좋은거같아요
kmhma**|아진짜바지달린 치마사고싶었는데 ㅠㅠ이렇게사서 너무좋아요 그리고색도 와인이라 가을이나봄에입으려고쟁여놨어요♡ 고고싱사랑해요진짜매번옷살때여기서만사는거같아요ㅠㅠ 코디도잘맞고 길이도적당해서 자주입을꺼같아요♡
hwa18**|솔직담백완벽한 후기!! 솔직히 처음입었을때는 당황스러울만큼 박시해서 놀랬어요ㅋㅋ근데 계속입다보니 적응?이 되더라구영ㅎㅎ 원래 핑크색시키려고했는데 너무 핑크핑크할꺼같아서 브라운색하나만 구입했는데 대만족!! 기모들어서 안에도 따뜻하고 두꺼워서 안에껴입기도좋아용 그리고지금 13300원에 겟가능!!
hwa18**|3등인가영ㅎㅎ제가시킨 스커트가 재고가없어서 택배는 일주일정도걸렸어요 소라색완전이뻐요!!팔길이가 7부인거 그게제일 아쉬워요ㅜ 길이도짧아서 다리가 길어보이게 만들어주네영♡ 가격도착하고 목늘어남도없어여!! 소라색진짜 추천합니당
yyj94**|나름만족해요~ 색깔이 약간 더 밝은?느낌이긴하지만 꽤이뻐요~ 어깨가 넓은편이라 약간부해보이나 싶기도 햇다가 어떻게보면 아닌거같고?싶은 생각이드는데 핏은 이뻐요~ 털빠짐이 좀잇는거빼면 만원대에 잘 득템햇다싶어요~ 감사합니다^^
sujin1**|기모 맨투맨 찾고 있었는데 딱 맞게 이옷이 눈에 들어 와서 색깔은 카키로 샀엉여ㅛ 옷 카키색 하나 있었으면 좋겠다고 생각해서 소매가 좀 긴데 그래도 안에 기모가 들어서인지 역시 따듯해요ㅕ!!근데 마른 사람들이 입으면 많이 클것 같아요 어깨도 괜찮아요 !!
sh9811**|목폴라 니트 찾다가 고고싱에서 크림색 니트하나 샀어요 ! 핏이 일단 너무 예쁘고 팔길이도 적당하고 ! 목이짧아서 그런지 략간 깁스한 느낌이 살짝 들어요 ㅎ 근데 너무 예쁘고 청바지는 물론이고 원피스랑 매치핵듀 정말 예쁜 코디가 될것같아요 ! 저는 그레이나 핑크로 하나도 주문하려고요 ! 그리고 박시해서 통통하신 분들 걱정허지 마시고 고민하지말고 얼른 사세요 ! 감사해요
sujin1**|외투 찾고 있었는데 옷도 이뿌고 세일 까지 해서 바로 샀는데 사길 완죤 잘한것 같아요 ㄷㄷ 아져씨 옷 같다는데 저는 좀 살이 많아서 그런지 그렇게 크지는 않는데 조금 헐렁한정도 완존 편해요 ㄷㄷ 너무 커도 보기 싫은데 이옷은 딱 알맞게 사이즈가 맞는것 같아요 어깨도 파워어깨 안되고 완죤 좋아요 꼭 사세요 !!!
sh9811**|롱코트 하나 사고싶엇는데 고고싱에서 겨울 새일하는거 보고 바로 샀어요 ! 화면 색상이랑 달라서 더 연하거나 엄청 진하면 어떻하지 햇는데 색감이 너무 예쁘고 아무옷이랑 코디햐도 다 맞는 것같아요 ! 핏이 일단 예쁘고 길이도 적당해요 ! 무엇보다 이가격에 이런 코트 못사요 ! 또 박시해서 통통하신 분들도 걱정하지 마시고요 ! 주문 폭주라 그런지 배송이 너무 늦어졌는데 기다린 보람이 있제요 ! 감사해요 고고싱 ❤
ljhh10**|보자마자 코코아색이 너무ㅇ 이뻐서 바로 삿는데 받아보니까 생각했던것보다 색이 좀 연하다고해야하나,? 그래도 코코아색이 진짜 이쁜거같아요!!!!!!!!!!!!!!! 편하게 자주 입을수있을거같아요 다른색깔도 사고싶어요~!
sh9811**|추운 겨울에 입을 따뜻한 원피스를 찻고있었는데 마침 고고싱에서 세일하는 원피스를 보고 카키살까 검정살까하다가 검정은 품절이더라구요 ㅠㅠ 그래서 카키색으로 주문햇어요 제가 통통한데핏도 예쁘고 폭도 딱 맞아서 함께산 몰폴라 아이보리 니트랑 같이 코디했어요 워낙 카키색을 좋아해서  너무 예뻐요 ㅠㅠ 자주입을것같아오 ! 통통한 분들도 고빈하지마시고 추천드려요 ~ 저는 키아작아서 너무 길어요 ㅠㅠ 그래서 한 7cm정도 짜른것같아요 감사해요 !
wjdgywjd01**|목선을 아주 꽉 잡아주내요 답답한거 싫어하시는 분은 비추입니다 생각보다 두툼해서 코트 안에 입기에는 좀 부담이 되더라고요 단독으로 입으시기 위해 사시는 걸 추천할게용 날씨 풀리면 단독으로 입을 준비 중 입니다 예쁘게 입도록 노력할게요...ㅎㅎㅎㅎㅎ
ljhh10**|생각했던것보다 얇을까봐 걱정했는데 많이 얇진않아요!! 근데 길이가 조금 애매해서..ㅜ키작은 분들이 입으면 딱 이쁠거같아요,,! 그리고 어깨 넓어보인다ㄱ는 후기때문에 고민했느데 진짜로,, 좀 어깨많이넓어보이긴하네요; 그래도 잘 코디해서 편하게 막입고다닐수있을거같네요~
wjdgywjd01**|음........ 생각보다 많이 두꺼운편입니다 코트 안에 입기는 좀 무거워서 단독으로 입도록 해야겠습니다 근데 재품설명할때와 다르게 좀 구멍이 숭숭 나있는 것 같습니다 그렇게 심하진 않아영 사시는 분 참고하시라고. 생각보다 짧은 점! 그 외 다 좋아요~~
wjdgywjd01**|코트 핏 마음에 들어요 다만 부풀이 좀 있는 편이라 좀 그러네요......  보풀 싫어하시는 분들은 비추입니당 목선까지 잡아주니까 겨울에 따뜻하게 입을 수 있습니당 생각보다 가볍고 엷아서 편허게 입고 다닐 것 같아욯ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ고고싱 앞으로도 좋은 재품 많이 부탁할게용
wjdgywjd01**|맘에 들어요 얇은 편이여서 코트 안에 입기 편하고 검은 샥인지라 걍 데일리오 입기 무척 좋습니다. 마음에 들어서 다른 색상도 규매의사가 있습니다. 질도 좋은 것 같아요ㅎㅎㅎ 고고싱 생각보다 괜찮은 쇼핑몰이네요 앞으로 많이 애용하겠습니당
eunsol09**|배송 오고나서 며칠 후에 입어봤는데 처음엔 어깨가 빵빵하고 저한텐 좀 큰것같아서 별로라고 생각했는데 입다보니까 진짜 맘에들어요 핵예쁨 ㅠㅠ 가격에 비해 진짜 따뜻하기까지 ! 배송도 나름 빠른편이었고 감동 ㅠ 고고싱 자주 애용할께요 (하트
dlth**|제가 딱 원하던 가방이라 너무 만족해요ㅠㅠㅜ 가방에 이것저것 많이 넣는편인데 그래도 모양 흐트러짐 없이 딱 그대로라 예쁘고 디자인도 깔끔하게 딱 떨어져서 더 만족하고 만족해요!! 안에 이것저것 많이 넣어도 널널한 공간까지 다른 색상들도 구매 하려구요!
dbfl53**|동생입으라고 줬는데 맘에들어하네요!!!ㅎㅎㅎ너무이뻐용첨엔 길다고 뭐라하더니 막상입어보니예뻐서 좋아하네요!!후드랑입기에도예쁘고 맨투맨에도예쁘고!!! 감사해요!!근데 장식이 좀화려?하다고해서 자기가 떼버렸네요...ㅋㅋ무난한게좋나봐여..ㅎ 아무튼 착한가격에 좋은상품구매해서 좋습니다! 감사해요! 많이파세요!! 아그리구 조금 늦게 배송했다면서 죄송하다고편지적어줘서고마워요..감동받았네욯ㅎㅎ 새해복많이받으세용!!
dlth**|아무생각없이 보다가 바지가 너무 예뻐서 한겨울에 추운데도 불구하고 질러버렸어요! 입어보니까 허리라인도 잘 잡아주고 쫀쫀한게 핏도 너무 예쁘게 나와서 만족하고 또 만족해요! 밑에 퍼짐도 적당하고 짧은건 조심해서 다니면 될것 같아요 이제 여름오면 열심히 입구 다닐께용
dhwm07**|옷진짜이뻐요!!근데 좀 작게나온듯.... 허리 38으로작힌 스키니보다 하리40인 이바지가 더딱맞아여..... 근대 색은 진짜 봄 여름에 입으면딱일 듯한 밝고 산뜻한...? 그런색이에요. 가을,거ㅔ겨울에 입기에는 너무 밝은...그런....? 암튼 옷자체는 이뻐요!!
ths081**|포토후기3등입니다.아무도 제목란에 적은 분이 없으니 적용되겠죠?일단 브이넥 니트 사려했는데 색도 똑같고 깔끔하게 입을수있는 맨투맨으로 골라서핑크색 삿어요!!진짜 이뻐요 급한대로 교복위에 입고 사진찍었는데...교복에도 너무 잘어울리네요그리고 소매부분도 탄탄하게 잡아줘서 만족합니다가성비 최고입니다!^^고고싱에서 옷사면 거의 만족하고 이뻐서 항상 잘 사용 하고 있습니다..아!!그리고 클렌징 물티슈도 주셔서..엄청 잘쓰고 있어요^^다들 망설이지말고 구매하시길~ㅎㅎ
algus10**|가디건이라서 조금 쪼이는건줄알았는데 펑퍼짐하고 단추잠궜을때 핏도 이쁘고 좋아요! 보풀이조금 일어나긴하네요ㅜㅠ 근데 겨울옷이고하니 그정도는 감안하고 입기엔 편하고 좋은제품인거같아요!! 골반밑까지 내려와서 부담스럽게 잛은것도아니라서 좋네요!
dbfl53**|헝...28입는데...ㅠ품절되서 L사이즈시켰더니 역시크네요..ㅋㅋㅋ앉으면 속옷이보이고..바지가내려가요....ㅠ교환하기귀찮아서..그냥입어볼께요...ㅎ 사진으로보는거랑똑같이이뻐용!!!M이였으면완전완벽했을텐데...ㅠ아무튼이가격에 예쁜바지사서너무좋아용!!감사해요!!많이파세요!!
lindagh**|기모가 아니라 요즘같은날씨에 입기는 좀 추운데 아우터 안에 입으면 되니까요..ㅎ근데 블랙 진짜 이뻐요 완전 그냥 취향저격.. 심플하고길이가 그렇게 길지 않아서(제 기준으로 한 골반까지? 왔던 것 같아요) 바지랑 같이 입으면 다리도 길어보이고 저는 맨투맨 입으면 약간 부해보이는데 부해보이지도 않고교복에 입어도 이쁘게 어울리고! 진짜 잘산것같네요 완전만족
siwoon07**|도톰해서 겨울에입기도좋고 멜빵원피스안에 입어도이쁠꺼같아요 안에 기모고 또 엄청 두꺼워서 추위걱정은 없을꺼같네유!!핑크색 품절이여서 못샀지만 다음에 되면 핑크색도 겟겟하구싶을정도로 활용성좋고 잘입어질꺼같아요 ㅎㅎ짱짱
ths081**|정사이즈 사지마세요...원래m입는 저에겐 너무 꽉끼었고요....하비인것도 문제지만 스판기 없어요..고고싱에서 바지 처음사는데 실망입니다...배송도 늦게 왔으면서 제품도 별로 라  ..하지만 디자인은 이뻐요...살짝 통통하신분은 정사이즈 보다 살짝 크게 사시는걸 추천합니다..더 편하게 입을수 있을거에요
lindagh**|일단 되게 편하게 입을 수 있어요어느 옷에나 무난하게 두루두루 다 잘 어울리는..?딱히 눈에띄게 이쁘다 생각은 안 드는데 어디에 매치해도 어울리니까 유용하게 입을 수 있을것같아요!근데 팔 길이가 좀 애매해서 저는 두어번 걷어입어요그래도 가격대비 진짜 예쁜 옷 산거같네요!
diana04**|옷 끝처리가 깔끔하게 잘되어있다기 보다는 올 하나라도 풀리면 끝날것 같이 아슬아슬하게 마감이 되어있어요 그래도 저렴하니까 요정도는 눈감아줄 수 있는것같아요ㅎㅎ 저는 블랙성애자라 베이지랑 같이 주문하면서 당연히 블랙이 더 예쁠줄알았는데 세상에 베이지 색상이 너무 예쁘더라구요ㅠㅠ 이렇게 고급스러운 색깔이라니ㅠㅠ 암튼 옷 길이도 적당히 짧아서 좋았어요 전반적으로 얇지만 목부분이 따뜻해서 그런가 엄청 춥진않았어요 싼맛에 괜찮은 터틀넥니트 건지고 싶으시면 사셔도 괜찮을것같네요~ 좋은 질은 바라지 않으신다면 만족하실거에요
diana04**|베이지랑 카키 중에 고민 많이 했는데 후기 색상이 약간 올리브 색상처럼 보여서 베이지로 주문했어요 베이지 색상이 정말 정말 고급스러운 색상이에요 색상 걱정은 안하셔도 될것같아요 상세이미지 색상이랑 꽤 비슷한것같습니다 목도 적당히 감싸줘요 너무 널널하지도 않고 조이지도 않고 딱 적당해요
diana04**|핑크 색상 너무 예쁘게 나왔네요 그레이가 품절이라 핑크 하나만 샀는데 고고싱에서 파는 홀리카가디건보다 주관적으로 느끼기에 질이 훨씬 좋은 것같아요 가격은 똑같이 저렴한데 지컷미니 니트가디건이 좀더 탄탄하고 짜임 사이의 구멍이 거의 없을 정도로 꽤 훌륭해요 색깔도 사랑스러운 핑크고 다른분들이 후기에 올려주신 핑크가디건 색상 고대로에요 너무 예뻐요 색깔ㅠㅠㅠ 홀리카가디건에 비해 지컷미니니트가디건 너무너무 만족합니다! 짧은 길이도 너무 좋아요^^
diana04**|아이보리 색깔이 일단 좀 누리끼리한 아이보리에요 하얀색은 아니라는거! 네이비는 색깔 무난하게 예뻐요~안에 까만색 원피스입고 입으려고 했는데 가디건 바느질 사이 구멍이 커서 아이보리 가디건 사이로 까만색이 비칠수도 있을 것같아요큐ㅠㅠㅠㅠ 옷이 싸서 훌륭한 질을 기대하면 안될것같아요 그치만 저는 많은 쇼핑몰을 뒤져봤음에도 불구하고 이런 짧은 길이의 가디건은 못찾아서 구매는 후회하지 않아요~
jmyun10**|항공점퍼 저런거 있었으면 좋겟다 생각해서 바로 질렀음.. 근데 왠열, 엄청 이쁨 ㅠㅠㅠ 핏도 박시해서 막 껴입어도 괜찮고  지퍼 올려도 굉장히 이쁨 싸서 좀 얇을줄 알았는데 따듯해염 ㅇㅅㅇ 넘나 맘에듬 비싸보이거나 뭐 싼감은 없지않아 있지만 가격대비 맘에듬 !!
kimsunah**|드디어왔네요...ㅎ처음에입기전에는 코트가너무무거워서 왜케무겁지했는데입어보니까 무거운이유가있더라구요 후리스안감이라서그런지 진짜따뜻하더라구요조아요♡
diana04**|길이가 짧은거랑 소매폭이 좁은거 이거 두조건만 보고 산거라 저는 만족했어요 길이도 적당히 짧았고 팔에도 딱 달라붙어서 좋았어요 그레이가 다른 색상에 비해 제일 소매폭이 좁았어요 그레이만 유일하게 팔에 딱 달라붙더라구요 제가 팔에 살이 정말 없는편인데 놀랬어요 이 점은 너무 좋았어요 근데ㅠㅠㅠ옷이 시스루도 아니고 그..뭐라 해야 되지 바느질 사이사이가 구멍이 좀 많이 큰편이에요  블랙은 안에 입은 흰티 색깔이 군데군데 비쳐서 별로더라구요 안에 무조건 까만색 상의를 입어야 될거같아요 만천원에 뭘 바래겠냐만은 이건... 좀 감안하셔야 될거에요 질은 기대하지마세요 그래도 팔부분 달라붙는거랑 길이 짧은거는 정말 마음에 드네요 싼맛에 산거니까 잘 샀다고 생각하고 있어요~
answldnjs9**|음.. 생각보다 좀 박시하네요.앞에는 중간 기장의 패딩처럼 되어 있는데,뒤는 박시하게 돼있어서 다른 느낌이 좋아요.다만 제 키가 160인데 저보다 작으신 분들은 너무 크실 것 같고, 제 키와 같거나 좀 더 크신 분들이 입으시면 더 예쁘게 입으실 수 있을 것 같아요~
answldnjs9**|아 솔직히 이거 대박.계획에 없는 쇼핑하게 함..ㅋㅋㅋㅋㅋㅋㅋ터틀넥도 도톰해서 마음에 들구요.다만 조금 아쉬운 점은 터틀넥 부분이 조금 넓어서 목을 포근하게 감싼다는 느낌은 없는 것 같아요그래도 과거로 돌아가서 사라고하면 다시 살거임 b
lhe**|비싼거랑질차이가 많이나는데 싸니깐 걍입을께여 사진에보는것처럼 많이비치네요ㅜㅜㅜ회색살껄 후회되구 배송 주말끼여서6일걸렸고 이것땜에 늦게왓어유ㅠㅠㅠ 좀빨리배송해주시고 옷이얇은건가격이싸니깐 어쩔수없네요ㅜㅜ겨울엔못입을것같아요
answldnjs9**|꺅 진짜 너무 예뻐요!!!제 키가 160인데 길이도 너무 길지도 않고 포근해서 지금 같은 날씨에 입기 좋은 옷이예요. 비록 제가 사고 나서 이만원 더 싸졌지만,, 그래도 돈이 아쉽지 않은 예쁜 옷 인.정.새벽에 잠깐 나갈 때 모자 쓰고 저거 입으면 완전무장ㅋㅋㅋ
hyunseul5**|골덴즈 박시남방 베스트리뷰될게욤ㅋㅋㅋㅋㅋㅋ완전 이쁘네요 ㅎㅎㅎㅎㅎ 처음에 핑크색 보자마자 완전 맘에 들어서 ㅎㅎㅎㅎ 다른거 살거 고르다가 이제야 삿네요 ㅎㅎㅎㅎㅎㅎ이게 사실 이 남방입고 모직누빔코트? 그레이 그거랑 입으면 ㅎ 나름 예뻐요 ㅎㅎㅎㅎㅎ레이어드 하기에도 괜찮고 이거 단독으로 입어도 나쁘지 않은 거같은데 아우터러 입는게 더 이쁜거같아여 고민하시는 분들 당장 사세요 ㅎ ㅎ ㅎ
autoco**|우오모므ㅡ모이 코트는 진짜 좋은것같아요!! 얇은거 빼고...회색사고싶엏는데 계속 입고가안되서 카키로 바꿨는데저한테는 카키색이 더 잘 맞는색인것같아서 참 다행이에요무튼 이쁘게 잘 입겠습니다추운날 후리스랑같이 입어도 예쁜데 덩치가 커보일수도있어요..
lhe**|진짜찐짜이뻐요ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ살게있어서 적립금떄문에 급하게찍느라 이렇게못생겨보이지만 색깔도 진짜 이쁘고 한번접어도이쁘고 두번접어도귀엽고 하나씪사는거추천해여~!!~!~!~~~!!~!이거랑목폴라샀는데 이것만계쏙입고있어요ㅋㅋㅋㅋ쿠ㅜ다시이쁘게찍고와서 사진바꿀께여!
autoco**|색상이 정말마음에들어요!!허벅지통이 생각보다 엄청커서 고민중이긴하지만잘입으면 괜찮을것같아요같이 산 니트하고 코트하고 풀장착으로 입어봐야겠네요니트는 조금 기다리느라 애좀먹었지만 바지하고 잘 어울릴것같으니 기분좋네요ㅎㅎ
csmin64**|디자인은 이뻐요 레드색상 구입했는데 버건디삘 나서 분위기 있어보이고 괜찮네요 배송 왔을 때 택배 오면서 떨어진건지 어쩐건지는 모르겠지만 케이스에 글루건 묻어있고 기스도 나있고 태슬 부분이랑 분리되어있던게 좀 아쉽네요 그냥 집에 있는 글루건으로 다시 고쳤어용 이쁘긴 이쁘네요
jhazel02**|이번에 샀던 옷들이 이벤트 상품으로 싸게 구매해서 적립금이 안되는 부분이 아쉽지만ㅠㅠ(이뻐가지고 후기를 올리려고했지만...)그래도 이 옷을 리뷰 남기려고 합니다.다른 옷들은 다 만족했는데, 아쉽게도 이 상품이 제일 아쉬움에 남기네요ㅠㅠㅠ그 이유는 단 하나 너무 컸다는 점입니다. 프리사이즈라 그런지 크게 나온거 같은데 뭐랄까 원피스로 시킨 기분?진짜 거짓말 하나도 안하고 재질이 정말 맘에 들고 그 기모도 잘 들어있어서 좋고 그냥 옷자체는 이쁘고 좋아요!!!그런데 커서....저한테...커서...결국 다른 짝을 만나게 되었답니다...ㄸㄹㄹ
tyoungg**|상품이 검색되지 않네요 ㅠㅠ 후기 써도 될지 모르겠지만 그래도 관리자분이 보실까 싶어 씁니다.일단 요 니트는 봄~ 여름직전까지만 입을수 있을거같구요 지금입기엔 많이 얇아요. 저는 봄용 얇은 니트가 필요해서 감안하고 샀어요. 소라색이 차분하고 부담스럽지 않어여 그레이색이 뭔가 흔해서 질린분들은 이거 소라색 사세요 진짜 이쁨
hs122807**|따뜻하구요단순하게 생겨서 오히려 더 좋습니다.그리고 터치 굉장히 잘 먹네요ㅋㅋ장갑은 처음 사봤는데 생각보다 만족하구요!제거 사는 김에 엄마 것도 같이 샀는데 엄마도 만족하십니당이 값에 이 정도면 정말 잘 샀다고 생각이 들고요자주 애용할게요~
fawnhw34**|싸서 사게 됬어요!!! 조금 많이 커서 아빠옷 같았어요...ㅜㅜ 그리구 소매도 쪼꼼 짧았구요..ㅜㅜ!!그래도 무늬가 이뻐서 진ㅉㅏ 좋았어요!!! 싼가격에 좋은옷 사서 좋아요!!!!!다른 분들도 꼭 사셨으면 좋겠어요!!!!
hs122807**|생각보다 얇아서 놀랐어요ㅋㅋ그래도 꽤 따뜻하고 무엇보다 진짜 이쁩니다ㅠㅠ사진 못 첨가하는게 아쉽네요ㅠㅠ그냥 단순하게 입어도 옷 자체가 이쁘다 보니 무지티에 옷 입어도 이쁩니다ㅋㅋ진짜 잘 입고 있어요!고고싱 진짜 자주 애용해야 겠어요ㅋㅋ♥
hyunseul5**|포토후기 2등이요 ㅎㅎㅎ완전 맘에들어요 ㅎㅎ 박시하긴 엄청 박시한데 호 진짜 대박 ㅎ 사실 오빠 주려고 삿는데 ㅎㅎ 제가 좀 입어야 겟어요 ㅎㅎㅎㅎ저는 팔이 좀 많이커서 걷어 입지만 이것도 나름 느낌잇네요 ㅎㅎㅎㅎㅎㅎㅎㅎㅎ완전 맘에 들어요 ㅎㅎㅎㅎ
fawnhw34**|색은 카키와 크림으로 구매했어요!!! 둘다 실이 짱짱하게 짜져서 너무 좋았구 핏도 적당히 박시했어요!!!!♥♥특히 둘다 색이 너무 이뻤어요ㅠㅠㅠ나중에 다른색도 사고싶은 예쁜 니트에요! 꼭 다른색도 사야될것같아요!!!!♥ㅁ♥
