760366330840784**|친구와 같이 트윈룩으로 구매했습니당~~끈도 다양한곳에해도 되서 너무 좋았습니다 너무만족해요!
dlatth5**|편하게 입을 수 있을 것 같긴한데 예쁜 건 잘 모르겠어요.. 그냥 기본티인거 같아요!조금 아쉬워요
dlatth5**|제가 어깨가 좁아서 이 블라우스를 입으니깐 더 강조되는 것 같아요. 그냥 친언니 줬어요...
dlatth5**|길이도 너무 길고 허리는 밴드가 불량인건지 정말 이상해요.. 환불하려다가 그냥 귀찮아서 환불은 안했고요.. 절대 안 입을 것 같네요
52926648**|입고 지연돼서 배송이 조금 늦긴 했지만 그래두 마음에 들엇어요! 노란색이라 더 화사하고 시원해보이는 느낌이라 청반바지에 입으니까 잘어울렷어요
neworld9**|오자마자 입었는데 정말 편하네요^^ 밴딩인데 끈으로 조절이 가능해서 좋구요~ 화이트로 샀는데 걱정했던거보다는 덜 비치는거 같아요 ㅎㅎ 오늘처럼 바람없이 햇살이 비추는날 시원하게 입을수있을 바지에요. 길이도 짧지않아서 좋아요~ 나갈때 입기 그러면 집에서 입는 바지로도 괜찮을거같아요~ 너무 편해서^^
dlatth5**|너무 귀엽고 예쁩니다! 여름에 입기 정말 좋은 것 같아요!! 리본도 귀엽고 길이도 짧지 않아 딱 좋습니다!! 바람이 많이 불 때 날리긴 하지만 속바지만 단단히 입으면 정말 괜찮을 것 같습니다!!
dltnsrb47**|허벅지 통이 생각보다 커요 ㅠ 속바지를 입고 입어야할것같긴한데 다리가 얇아보여서 그럭저럭 만족합니다!
dlatth5**|슬랙스 바지 처음으로 입어봤는데.. 너무 좋아요... 사무실 갈 때 정말 자주 입고 있습니다!! 스판도 잘 되 있어서 너무너무 편하고 밴드형식이라서 허리도 정말 편합니다! 무엇보다도 재질도 괜찮아서 이 가격에 산 게 믿기지 않을 정도입니다!! 또 구매하고 싶어요!
dltnsrb47**|너무 예쁜 상품이에요 사이즈도 딱맞았고 무엇보다 색감이 너무 이쁜것같아요 어깨쪽의 주름이 너무 마음에들어요!
dlatth5**|제가 요새 살이 쪄서 m으로 구입했는데 엉덩이랑 종아리, 길이 전부 잘 맞는데 허리가 조금 커요..ㅠㅠ 그래서 그부분이 조금 아쉽지만 굳이 허리띠까지는 안해도 될 것 같아요. 그리고 노란끼가 정말 있긴 한데 위에 옷 어울리는 색깔로 하면 촌스럽지 않고 예쁘게 코디 가능합니다!
dltnsrb47**|배송이 좀 오래걸린 상품인데 옷은 너무 마음에 들어요~ 얇은데 그렇다고 린넨재질처럼 까슬거리지도않아요! 실이 완전 흰색이 아니긴한데 별로 티도안나고 예쁜 상품이에요!
dlatth5**|구매한 옷중에서 제일 만족하고 있습니다. 그냥 예뻐요... 진짜 정말 아끼는 옷이에요. 재질도 좋고 이쁘고.. 바지든 치마든 어떤 옷에도 다 어울리고 고급집니다! 이옷 본 친구들은 하나같이 예쁘다는 소리를 하더라구요~~
neworld9**|린넨 제품 처음 도전해보는데용ㅎㅎ 우선 너무 가볍구요~ 빳빳하게 생겼는데 되게 부드럽네여^^ 앉았다 일어났다하기도 편하고 되게 얇아서 더운 여름에 아주 애용할거같아여~ 허리가 조금 큰데 밴딩이라 허리조절이 안되니까 한번 접어서 입을라구요~ 그만큼 허리도 넉넉하다는 말이에요ㅎ 길이는 키작은 제가 입었을때 발목까지와요~
dlatth5**|정말 잘 입고 있습니다. 제가 어깨가 좁은 편이라서 세로줄 옷은 잘 안 어울리는데 벌룬소매라서 어깨가 좁아 보이지 않아요!! 정말 이쁩니다. 한가지 단점은 잘 구겨져서 항상 다림질을 해야한다는 것입니다! 근데 다림질이 어려운 것도 아니니깐 저는 정말 만족합니다!
dlatth5**|그냥 딱 보면 이뻐요!! 길이도 적당하고 재질도 괜찮습니다. 초여름에서 초가을까지 입을 수 있을 것 같아요!! 검은색으로 구매했는데 완전만족!!
neworld9**|바이올렛 색으로 샀는데 화면 그대로 밝고 진한 보라색이 너~무 예뻐요^^ 아이보리색은 안이 비칠진 모르겠지만 옷 두께도 싼티 안나게 적당하구요~ 길이도 좋구!!! 싸고 품질좋구 굳굳!
46310939**|수요일에 구매했는데토요일에 받았어요 배송도 나쁘지않고 무엇보다 옷이 너무 예뻐요치마가 너무 예뻐요
71815826**|길이가 생각보다 짧았어요ㅠㅠ그래도 바지안에 넣어 입기에는 무리멊을거같아요!다만 너무 얇고 몇번빨면 늘어날거같은 재질이라 걱정이에요ㅠ색은 사진보단 좀 더 탁한느낌이에요!파란색에 회색두방울 넣은 느낌?
71815826**|오프숄더를 한번도 입어보적이없어서 처음 사봤어요!제가 도전같은건 잘 못하고 부끄러워서 이걸 언제쯤 입을지는 모르겠는데 놀러갈때 입으려구요ㅎㅎ과한 오프숄더도 아니라 저처럼 처음도전하는분들 좋을거같아요ㅎㅎ
71815826**|생각보다 많이 보들보들해서 놀랬어요!맨 살에 닿아도 전혀 까실함없고 계속만지고싶은ㅎㅎㅎ♡블라우스는 너무과하고 티셔츠는 너무 꾸미지않아보일때 입기 딱좋을거같아요!
71815826**|여러번빨아도 늘어날거 같지 않은 재질이라 좋아요!길이도 적당히 박시해서 좋구요ㅎㅎㅎ빨간색 옷 업었는데 잘산거같아요!!!
tkdtmdgksm**|진짜 너무 예뻐서 인생샷 남겼습니다. 친구들이 다 어디서 샀냐고 물어봐서 추천도 해줬어요 ㅜㅠ. 그정도로 예쁩니다. 정말 실물갑. 체크가 촌스럽게 크지도 않고 딱 정당하고 길이랑 뒤에 리본도 커서 싼티 안나요. 정말 다들 사서 공주되시면 좋겠어요. 정말 꼭 사세요. 이말밖에 할 수가 없어요. 여러분 진짜 사세요.
beast11**|진짜 원피스 산 거 중에서 이게 제일 예쁜것같아요 무난하기도 하고 정말 잘 어울려요 조금 짧은감은 없지않아있는데 너무너무 예뻐요 ㅠㅠㅠ 꼭꼭 사세요 얘의 단점은 바람불때 날린다는점 ..? 근데 너무 예뻐요 ㅠㅠㅠ
jihye2**|아무래도 흰색이고 얇으니까 당연히 비침은 있고요하의 아무거나 입어도 깔끔하게 입기 좋아요!
jihye2**|얇고 시원해요길이도 너무 짧지 않고 단정하고 귀여워요색상도 모니터로 봤을때랑 큰 차이 없어요 거의 같아요
wldbs59**|여름철 꽃블라우스찾고있었는데 이쁘네요 소매가 넓긴하지만 잘입을거같아요아이보리색이라 약간비쳐요 나시입고입어야될듯..
750731873**|베이지가 생각했던 것 보다 좀 칙칙한 색이에요. 그래도 여름철에 가볍게 입고 다니기엔 좋아요. :)
tls76**|그냥 가격이 싸서 급하게 산건데 너무 예뻤어요 ㅎㅎ 가격에 비해 재질도 너무 좋고 목 부분도 튼튼해서 잘 안 늘어날 거 같아요!
wldbs59**|뒤에 고무줄로되있고 허벅지까진 사이즈가맞는데 종아리가 너무 헐렁거려요ㅠㅠㅠ 편하긴한데 핏이 이쁘게떨어지는거같지않아요ㅠㅠㅠㅠ 얇아서 여름에 입기좋은거같아요
