wkaocjs**|빨리 올줄알았눈데 좀 늦었네요. 그래도 바로 입고 외출~ㅎㅎ 좋아요 부들부들 하니 부드럽습니다
woovd**|짱짱!! 말이 필요없어요 ㅋㅋㅋ 안에 밍크털? 때문에 따뜻하고 스타킹이라 두꺼운데도 다리가 많이 두꺼워보이진 않아요 ㅋㅋㅋ 좋아요
woovd**|아 ㅠㅠㅠ 이건 샀는데 할인 들어가서 너무 슬퍼요.... 그레이 샀는데 갈색?? 도 사고싶어요 이뻐요 두툼하고!!
woovd**|음 생각보다 핑크라기보다 좀 빨간색 섞은 .... 진짜 이름처럼 딸기라떼 느낌이네요! 데일리로 입기 좋아요~!!
woovd**|이거 핑크랑 갈색 두개 샀는데 좋아요 !!! 목이 많이 쨍쨍해서 가끔 답답한데, 나중에 늘어날수도 있으니까 그게 더 좋은거같아요
woovd**|이거 핑크랑 갈색 두개 샀는데 좋아요 !!! 목이 많이 쨍쨍해서 가끔 답답한데, 나중에 늘어날수도 있으니까 그게 더 좋은거같아요 !!
woovd**|이뻐요 !!! 생각보다 니트조끼가 좀 작고 얇았지만, ㅠㅠ 그건 제 몸이 문제인거죠.... 옷은 화면이랑 똑같아요 ! 이뻐요!
osy4**|양털 자켓 사고 싶어서 찾다가 저렴하길래 샀는데 입어보니 너무 부해보이고 자켓이 커서 반품했어요ㅠ
woovd**|좋아요 !! 검은색 있는데 베이지 또 샀어요 ~ 색깔별로 가지고 있으면 좋을 기본템입니다 !! 생각보다 두툼해요 !
osy4**|브라운 주문했었는데 밴드 자체는 이쁜데 저랑 안 어울려서 반품 신청했어요...주룩ㅠ 벨벳소재라서 보들보들해서 느낌은 좋았어요!
gmlwn59**|얇김 하지만 핏은 이뻐용~봄에 입고 다니면 좋을 것 같아용 치마 길이도 너무 짧지 않고 좋아욘
nanggu1**|안녕하세요. 옷이 이뻐서 구매하게된 남자인데요. 평소사이즈 100입는데 저한테도 넉넉하게 잘 맞네요. 정말 좋아요. 그리고 따뜻해요 정말! 잘 샀습니다.
nanggu1**|안녕하세요. 저는 남자인데 그냥 옷이 이뻐서 사봤습니다. 평소사이즈는 100정도? 입는데 잘 맞고 좋네요. 팔길이가 제가 원하는 만큼 되서 정말 좋았어요!
dltmdgml**|이번에잘못산듯해요..ㅠㅠ저번꺼는너무커서그래서이번에는작은사이즈샀는데ㅠㅠ그냥L살껄그랬어요허리27에하비이신분은L사세요..저는살빼고입을라구요..ㅠ
dltmdgml**|발폭이좀많이큰데디게이뻐용!!!친구들이이쁘다구해줬어여ㅎㅎㅎ흰색도사볼려구데일리하게입을수도있고두께감도꽤있어요
dltmdgml**|디게박시했어용히트택같은재질은아니고그냥면재질이예요얇기는보통이고후드티나남방에입으면될것같아요무난합니다
seung**|정말 내 마음에도 쏙 내 몸에도 쏙 정말이지 쏙쏙 듭니다. 아직도 쏙쏙 드는 것들이 많아서 고고씽을 떠날수가 없네요..
gmlwls09**|이거 진짜 이뻐요 ㅠㅠㅠㅠㅠㅠ냄새가 심해서 밖에다가 놔두니 냄새 금방 빠지네요 근데 처음에 당황...신었는데 발이 안들어가서...끈을 조금 풀면 신어지더라고요 딱 맞아서 느무 좋아요!!!강추합니다!!
seung**|떡볶기 코드를 살려고 벼르고벼르다가 고고씽에서 본순간 바로 이거다 하고 질렀지요 받은순간 내 선택이 제데로된 선택이라는걸 알았어요 넘넘 이뻐요
seung**|받은 옷을 보니 마음에 쏙들었습니다.  색감도 너무 좋고 핏도 너무 좋고 어디 하나 흠잡을때가 없습니다 앞으로도 고고씽 많이 애용할꼐요
36372483**|사진처럼 입으면 코트안에 셔츠나 원피스같은거 입고 걸치기 좋을것 같아요모양은 야구점퍼스타일인데 몸에 착 감겨서 어느옷에나 아우터로 잘입을것같아요
seung**|주문한날 바로 배송 문자가 와서 너무 기뻤습니다받은 옷들도 마음에 쏙듭니다 화면에 보여지는 것보다 더 이뻐요 !!!
36372483**|기본양말이에요 근데 생각보다 많이 얇아요겨울에 스니커즈에 신을 생각이였는데얇아서 실망이긴해요
tpwls12**|진짜 부드럽구 따듯해용ㅋㅋㅋㅋ 질도 좋구! 바지 입는것 보다 따듯한 것 같아요 ㅜ 저렴한 가격에 겨울 잘 날것 같네요 잘입을게여!’
suzyk**|이 니트 정말 잘 산 것 같아요ㅜ.ㅜ 겨울에 이거 하나만 입으면 추워서 안에 다른 목티도 같이 입었는데 이쁘네요ㅎㅎ 봄에는 이거 하나만 입어도 이쁠 것 같아요! 일반 니트처럼 동그란 라인이 아니라 V라인으로 파여 있는 디자인이라 흔하지 않아서 정말 맘에 듭니다~ 예쁘게 입을게요 :)
suzyk**|무늬없는 치마를 찾다가 고고싱에서 구매했네요! 무늬가 없으면 자칫 밋밋할 수도 있는데 이 치마는 언발포인트가 있어서 너무 예뻐요ㅎㅎ 차콜색상은 약간 교복치마 느낌이 있긴 하지만 블랙색상보단 검정티뿐만 아니라 다른 색상티에도 잘 어울려서 매우 맘에 들어요~ 잘 입을게요 :)
min186**|리뷰가 없어서 걱정했는데 사진 그대로네요 !! A라인이라 더 날씬해보이구 프릴도 막 뜨지않아서 너무 예쁘네요 그리구 일요일에도 배송해주셔서 빨리 받았습니다 :)
toddlf8**|이건 진짜 대박 예뻐요.. 옷이 완전 청순하고 귀엽고.. 리본이 진짜 대박 포인트에요ㅠㅠ 잘입을께요!
toddlf8**|완전 예뻐요.. 엄마도 예쁘다고 탐냈어요ㅎㅎ 제가 마른편이어서 허리가 남네요 벨트로 예쁘게 매칭해서 잘 입고 있습니다
toddlf8**|완전 보들보글하고 따뜻해요ㅠㅠㅠ 색깔도 사진이랑 똑같구요ㅠㅠㅠ 짱 예뻐요ㅠㅠ 요즘은 레이어드 해서 많이 입어요 진짜 짱입니더!!
toddlf8**|완전 따뜻하고 좋아요~~ 가격도 착하고 부드럽고 좋아요 겨울에 신기 딱 좋아요! 잘신을께요!
674101952**|딱 여름에 입기좋은 치마에요!여름되면 이런스타일 찾을것같아서 미리 구매했는데 저렴하고 너무 귀엽네요ㅜㅜ
suzyk**|생각보다 크고 널널하네요! 색깔은 사진이랑 똑같구 겉재질은 까슬한 편이지만 안은 부드러워서 입기엔 편하네요ㅎㅎ목선이랑 쇄골이 도드라지는 옷이라 봄에 입으면 좋을 것 같구요. 청/블랙스키니진이랑 같이 입으면 정말 예쁠 것 같아요~ :)
21340267**|그레이 샀다가 인디블루 색 추가돼서 고민하다 전화로 바꿨는데 너무 잘바꾼거같아요~~!!많은 후기들이 입증하듯이 핏도 사진이랑 똑같고 두꺼운 편이라 3-4월에 잘 입고 다닐것같아요!! 인디블루 너무 튀지도 않으면서 봄느낌 나서 짱예쁨! 특히 물결 소매부분 ! 고고싱에서 산거 다 예쁘고 만족스러워요 짱인듯 정말♡
dkdusv**|속 안에 입어도 예쁘고 그냥 폴라티만 입어도 예뻐용날씬하게 보이고 구매 만족합니당~^^ㅎ!!
suzyk**|하루만에 도착해서 놀랐어요!! 처음에 사진보구 네이비색깔이 너무 예뻐서 고민 안하고 바로 장바구니에 넣었는데 실제로 받아보니까 더 영롱하고 예쁘네요ㅠㅠ 두께도 두꺼운 편이고 기모재질이라서 따뜻하게 입고 다닐 수 있겠어요ㅎㅎ 길이는 짧은 편이긴 한데 저는 짧은 걸 좋아해서 매우 만족합니다!! :)
571671308**|나중에 신을땐 스타킹+양말을 신을 거라 두께감 있는 양말을 신는다고 아무거나 집은게 저거라서 죄송... 원래 운동화는 235~240 신어서 245로 샀는데 딱 맞고 발 볼에 거슬리는 거 없이 걷는 데 아무 지장이 없어요!! 진짜 편하고 로퍼나 워커는 인터넷에서 사서 성공한 적이 한 번도 없는데 이건 진짜 넘모 성공적이에요 젤 맘에 들어여!!!
571671308**|만족스러워요!! 지퍼가 올라가는 부분이 고무로 돼있어서 꽉 끼는 느낌도 전혀 없고 지퍼도 쭉쭉 잘 올라가요 지금은 찍는다고 입은 거라 그냥 입었지만 나중에 스타킹이랑 같이 입으면 핏이 너무 예쁠것 같아용
sash9912**|이거완전 이뻐요 여리여리해보여욬ㅋㅋㅋㅋㅋ 저 사고 동생이 너무 이뻐서 동생도 하나샀어요 진짜 너무 이뻐요
571671308**|넘모 넘모 만족스러워요 핏이 어정쩡하면 어쩌나 걱정됐는데 역시 믿고 사는 고고싱인것 같아요 개예쁨 물론 나 말고 옷
omdjy**|진짜 너무 이뻐요!! 핏도 좋고 색깔도 이쁘네요!!ㅎㅎㅎㅎㅎㅎ다들 사세요~~~~~ 너무 좋아요!! 글구 배송도 완전 빨라서 첨에 걱정했는데 완전 다행이었어요 ㅎㄹ
omdjy**|진짜 너무 이뻐요!! 핏도 좋고 색깔도 이쁘네요!!ㅎㅎㅎㅎㅎㅎ다들 사세요~~~~~ 너무 좋아요!! 글구 배송도 완전 빨라서 첨에 걱정했는데 완전 다행이었어요 ㅎㄹ
omdjy**|진짜 너무 이뻐요!! 핏도 좋고 색깔도 이쁘네요!!ㅎㅎㅎㅎㅎㅎ다들 사세요~~~~~ 너무 좋아요!! 글구 배송도 완전 빨라서 첨에 걱정했는데 완전 다행이었어요 ㅎㄹ
omdjy**|진짜 너무 이뻐요!! 핏도 좋고 색깔도 이쁘네요!!ㅎㅎㅎㅎㅎㅎ다들 사세요~~~~~ 너무 좋아요!! 글구 배송도 완전 빨라서 첨에 걱정했는데 완전 다행이었어요 ㅎㄹ
omdjy**|진짜 너무 이뻐요!! 색깔도 이쁘네요!!ㅎㅎㅎㅎㅎㅎ다들 사세요~~~~~ 너무 좋아요!! 글구 배송도 완전 빨라서 첨에 걱정했는데 완전 다행이었어요 ㅎㄹ
625994560891952**|원래 입고 사진찍으려고햇는데 늦게 와서 사진은 못찍엇어요ㅜㅜ 아쉽지만 평소에도 입기 좋아보이니 입을거에요
625994560891952**|스판끼가 쫀쫀해서 아주 맘에들어요. 기장도 적절하구요. 근데 물 많이 빠질거 같아서 흰옷이랑 입을땐 조금 신경쓰여요~!
dustjs8**|생각한 그느낌입니다! 사진이랑 똑같아요 이뻐여~ 재질도 겨울에 입기 딱인거같아여 잘입겠습니다~
dustjs8**|그냥 딱 생각한 그느낌이에요! 이번에 옷 6개정도 삿는데 다 맘에들어요~
dustjs8**|아직 같이입으려고 산 치마랑은 추워서 못입는데 느낌되게좋아요 부들부들하고 폭신폭신해여!!
5208920**|옷은 이쁜데 보풀이 잘 일어날꺼같아요~ㅠ 몇일 입었는데 팔쪽에 보풀 기미가 보여요 ㅠ
5208920**|색상 화면 그대로네요~ 핏은 너무 박시하지 않으면서 이뻐요~!!후회하지 않으실꺼예요~
5208920**|길이감 , 두께감 좋아요~근데 잘 늘어날꺼같아요 ㅠ 좀 아쉽네요
5208920**|생각보다 옷이 두툼해서 좋아요~두툼한만큼 가볍지는 않네요~근데 옷이 까슬거려서... 안에 긴티를 입고 입어야겠어요~
5208920**|굿굿굿많이 박시하게 나왔네요~생각보다는 기장이 길진않아요~그래도 딱 이쁜 길이네요~^^
5208920**|저렴한 가격에 좋은 물건 받았네요~검은색이라 확실히 먼지는 많이 붙어요 ㅠ
oms01**|배송도 빠르고 옷도 생각했던것보다 이쁘고 따뜻해요 다른 색상도 사고 싶을 정도로 ㅋㅋㅋ예쁘고 좋아염 촉감도 좋고
5208920**|소재도 탄탄하니 좋아요~세일해서 좋은 가격에 좋은 제품 특템했습니다~
kkkds**|저는 금요일에 시켰는데 일요일에 발송해주셔서 월요일에 받았어요ㅎㅎㅎ 재질은 15200원 치고는 좋았어요 후기에서 봤던것처럼 주름 많이 심해요...저는 그냥 세탁소 맡기려구요 그래도 색깔도이쁘구요 핏도 꽤 괜찮아요 주름 피면 더 이쁠것같아요 감사히 잘 입겠습니당ㅎㅎ!!
tjgus10**|라인도 잡아주고 약간 편안한느낌이였어요ㅠㅠㅠ사이즈 미스나면 어쩔까 걱정햇는데 전혀안그래요!!!!강추아이템이에용
tjgus10**|약간 지퍼가 있었으면 벗고입기 편햇을텐데 그게없는게 아쉬운거같아요ㅠㅠ그래도 이쁘니까 만족합니다출근룩 완성 룰루♡
tjgus10**|블라우스랑 같이 구매해서 코디했는데 밴딩이라 쫄리지도 않고 넘나이쁜 인어스커트ㅠㅠㅠ다리가 이뻐보이는 효과까지...추천합니다
tjgus10**|일단 제가키가 좀작아서ㅠㅠ많이고민했는데 니트랑 같이 소화하면 잘 어울릴거같은 느낌이에요...!!!!확실히 골지티는 안어울리는거같더라구요ㅠㅠ그래도 이쁘게 입을게요♡
tnwls95**|지금 2번째 샀는데 조금 약한 거 빼고는 가격대비 좋아요! 조금 약하다는 것도 그냥 운동을 한 계절했을때 살짝 예전 같지 않다는 점?? 그것 빼고는 좋아요!
koop**|실밥이 살짝보이고,주머니가 생각보다 뒤에있어서 조금 놀랐지만 그래도 입을때 따뜻하고 옷색상도 이쁘고 만족해요
suhee42**|색상은 사진 그대로 이뻐요!키가 작은편이라서 치마가 너무 길지 않을까 걱정했는데 괜찮았어요체격이 작은 편이라 치마 품이 너무 크지 않을까 걱정했는데 끈으로 조일 수 있어서 좋았어요!검은색 니트 위에 입으니까 이쁘더라구요!고고싱에서 처음 구매해봤는데 일요일에 주문했는데 화요일에 배송왔어요 진짜 배송은 엄청 빠른 것 같아요~~
698459537**|158/49장점 -싼티가안난다,길이가 적당하다,속치마가 있다,(철벽치마다),단정하다,생각보다 두께가 얇지않다,허리사이즈에 따라 조절가능단점 -지퍼가 스무스한건 아니다,혼자 리본 예쁘게 못묶겠다사담:단정한 원피스 찾고있었는데 지그재그를 통해 고고싱으로 오게되었어요! 고고싱은 처음인데 예쁜옷 너무너무 많네용 앞으로 자주들를게요~~
sumin78**|너무 생각보다 얇아요 이렇게 얇을 줄이야... 봄이나 가을에 입어야겠어요 너무 얇은데요ㅠㅠ 그레이 색상이 좀 밝아요 차콜색은 아니고 밝은 그레이도 아니에요 참고하세요~
sumin78**|바지 자체는 좋아요 제 몸이 그래서 그렇죠.... 신축성도 좋고 길이도 괜찮아요 근데 일자가 살짝 슬림핏 일자인거같아요 종아리 두꺼우신분들은 고민해보시는게 좋아요
sumin78**|제가 원하는 핏이여서 너무 좋아요!! 색바랜 검정색도 아니고 쨍한 까만색이여서 짱 좋아요!!!다른분들 안사셨으면 좋겠어오 ㅎㅎ저만 입게욯ㅎㅎ
kjin12**|바지 예뽀여 재질도 좋아요~!스판기도 좋고 가격대비 짱짱 입니당색이 쫌 연해서 그렇지만 ,, 예뻐여
girl051**|옷장 속에 있는 제 옷의 색깔들이 흰색이나 검정색 아님 회색.. 뭔가 흔하지않는 색깔의 도전해보고 싶었는데 이 옷은 컬러가 진짜 다양했고,그 다양한 컬러 중에 올리브 색의 도전을 해보았습니다!진짜 실물 갑이에요ㅠㅠㅠ!!!!색도 예쁘게 잘 나왔습니다!그리고 제가 목이 짧아서 목 부분이 너무 길어서 돌돌이 목티를 목부분을 접어서 입지는 않을까 걱정했는데 딱 좋았어요!!이게 목 끝부분이 돌돌이라서 턱에만 잘 맞추어서 목부분 만져주면 괜찮아요!!진짜 너무예뻐요ㅠㅠㅠ고민하지 마시고 구매하세요!
codms98**|오늘 처음 입어 봤는데 예상 외로 엉덩이를 다 덮을 정도의 기장이었어요! 좀 놀랐긴 했지만 귀여워서 괜찮은 것 같아요! # 털이 가끔씩 빠지는 것 같아서 바로 입지 마시구 한번 빨아서 입으시는게 나을 것 같아요!
codms98**|일단 제일 마음에 들었던게 쫀쫀하고 잘 늘어나는 부분이랑 허리가 맞다는 점이예요! 저는 항상 허벅지는 맞는데 허리가 헐렁해서 허벅지에 맞춰사서 허리를 줄이는 편인데 그런 불편함이 없어서 좋은 것 같아요. 자주 애용할 것 같습니다! 하지만 기모가 들어가있지 않아서 봄이나 가을에 입어도 맞을 것 같아요!
seung**|옷이 엄청 배송도 빠르고 모니터상으로 보던거 보다 훨씬 이쁩니다. 입어보니 핏도 잘살고 가격대비 너무 만족스럽습니다.
ldg57**|평소에 엠사이즈입어서 이것도 엠사이즈 구매햌ㅅ는데 다리는 정말 맘에드는데 허리가 커요ㅠㅠㅠ 색감이랑 핏은 정말 최고
alswl38**|생각보다 두꺼웠어요!!!  손목 부분 포인트가 예뻐요 키가 164 인데 기장은 허벅지 저금 넘는가 같았어요 참고 하세요 ㅎㅎ
alswl38**|예뻐요 ㅠㅠㅠ 질도 좋고 두꺼워요!!!! 특히 목이랑 손목 부분에 있는 포인트가 귀여워용ㅎㅎㅎ
dudtj66**|목요일날 입금해서 월요일날 받았어요!받자말자 너무 이뻐서 처음엔 놀랬고 이렇게 많을줄은 몰랐는데 생각보다 귀걸이도 엄청 많았어요!! 바로 껴볼려고 했지만 그래도 혹시 몰라서 소독용 알코올로 귀걸이 하나하나를 다 닦았는데 역시나 귀걸이 한개에서 이상한게 닦여서 나왔어요ㅠㅠ 잘 닦이지도 않아서 엄청 열심히 닦았네요 그래도 이 많은양에 10000원이면 엄청 짱인거 같아요 그리고 저 링 귀걸이는 착용하기 좀 불편했어요 착용할때 손이 아프더라고요ㅠㅠ 뭐 그치만 저는 너무 맘에 들었다는 사실! 고고싱 짱
699525176**|색이 아주 약간의 형광보라색이에요! 쨍한 보라색인줄알아ㅛ는데 차이가 조금 있네요ㅎㅎㅎ그래도 핏은 예쁨니당ㅎㅎ
699525176**|아주 그냥 짱짱합니다!!!!!!!!!몇개 더살까봐요!!!!!하비 체형인데 너무 편해요!!쭉~~눌리면 약간의 비침이 있습니다
wkdtjsgml**|후회안해요 아주 예쁘게 잘입고있어요 사이즈도 고민 ㄴ많이 했는데 아주 잘맞았어요 ㅎㅎ굿굿
699525176**|제가 팔이길어서 그런지 레이어드한 보라색니트랑 같이 샀는데 망사티가 조끔 짧더라구요 더 길게 잘보였으면 예뻤을텐데ㅠㅠㅠ암튼 예쁘긴합니다!!!
maximu**|생각보다 좀 큰감이 있긴 햐요 그치만 예쁜것 같아요ㅋㅋㅋ 무난하게 스커트든 바지든 잘 어울리고 좋아용
maximu**|블라우스랑 함께 구매했는데 핏이 딱좋어용 허리도 잡아주고 색상도 좋고 원단도 조은것 같아서 만족했어용
maximu**|예뻐요ㅋㅋㅋ 생각보다 다양하게 활용할수 있어서 좋은데 거기에 약간의 유니크?한 매력도 있으니까 넘 죠았어용
kim02hs**|신상 뜨자마자 눈에 들어왔던 옷이예요 ㅋㅋ 아이보리랑 블랙 고민하다가ㅜㅜ아이보리 했는데 조아여~! 블랙도 사고싶은..? 치마랑 코디했는데 넘 맘에들어요
kim02hs**|예뻐요오오!!! 프릴이 있어서 귀엽구 스커트,팬츠 구분없이 다 어울리는 디자인이예여 블랙말고 다른색상도 구매하고 싶네용 ㅋㅋ
kim02hs**|예전부터 살까말까 하면서 겨울엔 추워보여서 안사다가 이번에 봄신상 많이 올라오고 그래서 구경하다가 또 눈에 띄여서 이번엔 샀네요 ㅋㅋ 예뻐요.! 재질은 얇아요 뒷 밴딩이 있어서 편하고 길이감도 적당합니당지금은 좀 추울것 같고 봄에 입기에 좋을 것 같아여
699525176**|결혼식갈때 매고갔는데 친구들이 어디서 샀냐고 너무 저렴하게 잘샀다고 다들 칭찬일색이었어요ㅎㅎ엄청 작지도 않고 파우치도 들어가구 지갑이랑 핸드폰까지 들어가더라구여ㅎㅎ잘들고 다니겠습니다ㅎㅎ
tkdghk39**|깔끔하게 입을만한 코트를 찾다가 이 코트를 구매했어요! 색감도 예쁘고 기장도 딱 적당해요! 근데 핏이 좀 뻣뻣하고 부해보여요. 그것빼고는 괜찮아요!
kim02hs**|구매한지 좀 지났는데 이제서야 리뷰쓰네요 ㅋㅋ치마 길이 짧다는 평이 많아서 조금 걱정하긴 했는데 전혀....!! 걱정안하셔도 될 것 같아요 길이 딱 좋아요 베이지색 샀는데 넘 조아요 ㅜㅜ
kim02hs**|고고싱 봄신상 예뿐거 왜이렇게 많이 올라와요...? 신상 뜨자마자 바로 구매 했어요ㅋㅋ우선 청바지랑 코디해봤는데 넘 만족합니다!리본이 분리 되서 상황이나 옷에 따라 하거나 안하거나 할 수 있어서 좋네요
tkdghk39**|정말 중요한 날에만 입을만한 옷일줄 알았는데 평소에도 입기 좋은 블라우스 같아요! 여성스럽고 여리여리한 옷이라 데이트룩으로도 좋을 듯 해요! 핏도 예쁘게 떨어지고 전체적으로 다 마음에 들어요!
tkdghk39**|전체 밴딩이라서 편하기는 하지만 핏은 조금 애매하게 잡히는 것 같아요! 전체적으로 살짝 붕 뜨는 느낌도 있고... 그래도 편하게 착용 가능한 옷이라 자주 꺼내입을 것 같아요!
803728046441862**|치마길이가 짧은편이긴한데 뒤쪽이 잘늘어나는 밴딩으로되어있어서 편해요!!딱저랑 키비슷한분들이 입기좋을꺼같아요 키크신분들은 똥꼬치마정도일듯생각보다 저렴해보이지도않고 핏도이쁘네요단점이라면 상의안쪽이 까끌거려서 나시입어도 팔부분이랑목부분이 따가워요 안에 티하나 입어야할꺼같아용그래두 결론적으로 이쁩니다
tkdghk39**|원래 블랙을 사려고 했는데 품절이라 포기할까 하다가 핑크라도 사자 해서 구매한 옷이에요! 반쯤은 오기로 구매했는데 산 옷들 중에서 제일 마음에 들어요... 상세페이지에 있는 색보단 좀 더 쨍하고 짙은 느낌이 있는데 전혀 부담스럽지 않고 이뻐요! 핏도 완전 예쁘게 잘 빠진 것 같고 너무 마음에 들어요!
dkfus41**|생각보다  양말이 길어서 놀랬지만 이뻐요ㅠㅠㅠ 아이보리도 이쁘고 오트밀?도 이쁘고 블랙도 다 이뻐요!!!
dkfus41**|이옷 진짜 너무 이뻐요ㅠㅠㅠ 회색밖에 없어서 고민했는데 인디블루 들어온거 보고 바로 결재했어요 !!! 냄새도 안나고 이뻐요 완전 ㅠㅠㅠㅜ 배송도 빨라요
yunmihh19**|입고 기다리느라고 배송은 빨리 받지 못 했지만 제품은 정말 마음에 드네요! 길이는 좀 짧고 박시한 핏은 아닌대~ 적당히 낙낙하게 이쁘게 편하게 딱 맞았어요!!ㅎㅎ 그리고 두께감도 있어서 겨울에도 코트 안에 입으면 따뜻할거 같네요~ 단아하고 지적인 분위기라서 회사다닐때 즐겨 입게 될거 같고, 레이스 느낌의 목부분과 소매가 여성스럽고 이뻐요! 그리고 치마에나 청바지나 슬렉스나 다 잘 어울려서 코디하기도 편할거 같네요ㅎㅎ 맘에 들어요!!!
dkfus41**|생각했던거보다 따뜻해요 !!이너로 입어도 좋고 그냥 입어도 이뻐요 ❤️배송도 완전 빨라서 너무좋아여ㅠㅠㅠㅠ
703698872**|아이보리 색 구매했는데 너무 예뻐요ㅠㅠㅠ사진 그대로 똑같이 생겼고 생각보다 질이 나쁘지않은것같아서 놀랐어요. 진짜 엄청 매우 앎아요..완전 봄에 입어야지 안추울것같은??리본은 살짝 벨벳소재같은데 앎지만 꽤 탄탄해요! 옷에서 떨어질것같진않습니다ㅎㅎ저렴한 가격에 잘산것같아요
tjsdk15**|저 가격에 가방이 두개라고 해서 제가 저런 가죽같이 생긴 가방이 없어서 급하게 산건데 나름 이뻐요 색도 제가 코코아색인가 갈색인가 산걸로 기억하는데 흔한 색 아니라서 이ㅡ쁘고요 아무데나 잘 어울립니다 근데 컷팅이 박음질로 마무리 된 게 아니라 그냥 컷팅 그대로 잘려잇어서 약간 빈티나긴 해요 하지만 저 가격엔 너무 만족해요 미니백도 귀엽고 짱짱해요 결론 : 이 가격에 이 퀄리티면 나라면 사겠다
yunmihh19**|브라운색 니트 사고파서 샀는데 너무너무 맘에 들어요!! 평소에 루즈핏 좋아해서 박시하게 입는편인데.. 엉덩이 덮는 사이즈에 많이 낙낙해서 이쁜거 같아요! 안에 남방 받쳐 입어도 이쁠거 같고 날씨 따뜻해지면 그냥 입어도 이쁠것 같아서 활용도도 있고 맘에 듭니당!ㅎㅎ 브라운컬러 톤도 이쁘게 잘 빠져서 좋아요!!
tjsdk15**|사세요...고민하지 마시고 사주세요...넓직하니 물건도 많이 들어가구요 가격도 싼데 수납공간이 안이랑 밖에 따로 있어서 작은물건 뭐 빗이나 이어폰 자주꺼내는 립스틱 지갑 마스크 등등 안이나 밖에 있는 작은 수납공간에 넣어서 쉽게쉽게 꺼낼 수 있습니다 골덴도 ㅈ짱짱하고 탄탄하니 오래 맬 수 있겠네요결론 : 사세요 웅앵웅
tjsdk15**|짱짱한 양말이에용 오래 신을 수 있을것 같아요
whro080**|진짜ㅠㅠ이거대박이에요 색감도짱이쁘고 근데모델언니가 착용한색보다는 아니고 조금더 연한보라색이에요ㅠㅠ 그래도 진짜존예! 올해트렌드색이 퍼플이잖아용 진짜 꼭꼭 구입하셔야될것같애요ㅎㅎ그리고 니트재질도 두껍고 따뜻하고요 반폴라라서 답답하지도 않고 손목 크게접는부분도 넘 여성스럽다는ㅠㅠ 대박나세오
45984059**|마른편이지만 종아리가 두꺼워서 웬만한 스커트는 부담스러웠는데 길이도 딱 가려줄만큼의 길이고 가격대비 정말 예쁜 스커트예요 ㅠㅠㅠ 얼른사세요❣️
sslee64**|26을 잘 못 사서25로 입고 다니는데, 생각보다 기장이 좀 짧아요. 그치만 두껍고 색상도 이쁘게 잘 빠져서 아주 잘 입고 다닙니다
whro080**|너무꼭사고싶었는데 이번에 구입했어요 무난하게 블랙으로 구입햇구요 진짜 너무이뻐요 손에 버클장식이 너무귀엽고 생각보다 도톰하고 따뜻했어요ㅎㅎ너무너무이뽀요 꼭사시길 추천드려요 근데 저는 조금더 길이가 길엇음 해서ㅠㅠ 그부분이 마니 아쉽네요 그거빼고는 다만족 핏도예쁘고ㅎㅎ고고싱 짱짱
sslee64**|무릎쪽이 조금 언발란스 한 감이 있긴한데, 바지색상 맘에 들어요. 기모안감이여서 두꺼울거라 생각했는데 생각보다 두껍지 않아요! 겨울에 입기엔 좀 추울듯
sslee64**|생각보다 두툼해서 한 겨울에도 이거 하나입어도 충분 할것 같네요! 생각보다 편해서 또 좋네요 근데 입고나면 바지가 살짝 울어서 신경이 살짝 쓰이긴하네요ㅠ
love124**|이거 진짜 예뻐요ㅋㅋㅋㅋ전 같이 코디된 거랑 같이 샀는데 이거 단독으로도 진짜 이뻐요 울엄아가 잘샀다고 칭찬해줬어옇ㅎㅎ
mays7**|후기 보면서 두껍다는 말은 들었지만 생각보다 더 두꺼워서 안춥게 잘 입고 다닐 수 잇어요 치마랑 셔츠 따로 다 매치해도 어울리고 이뻐요 추천합니다!!
sang45**|너무 ㅣ이쁘네요 싼가격에 좋은것같아요 굿굿봄에 개강하면 들고다닐라고 샀어요 너무 이뻐요~ㅎㅎ
mellisa**|코트색상이 쇼핑몰 사진과 다를까 걱정했지만 색상도 너무나 마음에들었고 재질도 정말 좋았던것같습니다 가성비가 정말 마음에 들었고 빠른배송이 가장마음에들었습니다 앞으로도 자주 이용하겠습니다!! 앞으로도 좋은 상품기대하겠습니다!! (길이는 엉덩이 다가리는정도?)
heosg07**|색부터 정말 이뻐주금 처음에는 핑크별로일거같다고 생각했는데 진짜 이뻥❤️ 그리고 제일 만에드는게 소매끝부분이 넓어서 손목이 얇아보여요‍♀️ 진짜 그점에서 훅감 다른색도 사보고싶ㄷㄴㄴ 생각들정도로 이뻐요
heosg07**|허리가 좀 있는편이라ㅜ작지않을까 걱정했는데ㅜㅠㅠㅠ 고무줄땨메 맞아요ㅠㅠㅠ 그리고 치마끝부뭌 언발란르라해서 다리가 좀더 얇아보이고 길어보여ㅜㅜㅜ❤️❤️최고예요진쨔
cocomao**|질이 진짜좋아요!! 완전 꿀템
cocomao**|고민하다가 L사이즈로 샀는데 엄청편하네요ㅜㅜ 진짜좋아요
cocomao**|여리여리한게 사진에 이쁘게나와요ㅜㅜ
cocomao**|엄청 귀여워요ㅎㅎ
cocomao**|정말 편하고 넉넉하고 생각보다 재질도 좋아서 잘 입고다니게되요ㅎㅎ
