wkaocjs**|빨리 올줄알았눈데 좀 늦었네요. 그래도 바로 입고 외출~ㅎㅎ 좋아요 부들부들 하니 부드럽습니다
dawoon12**|이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요
asdf07**|일단 너무편하고 예뻐요 배송오고 몇일동안 이것만입고있어요y존부각도 안되고 진짜 7,900원이 믿기지않아요 또사야겠어요 아주만족합니다!!
jane25**|이 바지 진짜 좋아요 항상 허리가 좀 크게 나와서 이거도 좀 크긴한데 이만한 퀄리티면 완전 만족이여
jane25**|사이즈 괜찮네요 가벼워서 좋은데 품이 핏되서 더 좋아요. 추천 합니당~~~ 아이보리도 괜찮을거같아여
cvbn5**|데일리로 좋은것같아요딱 맞는 흔한 니트라 어디에든 괜찮아요 퍼플이라 적혀있는데 보라는하니고 하늘색에 살짝 보라색 섞인거라 특이하고 이쁘네요 괜춘
cvbn5**|데일리로 좋은것같아요딱 맞는 흔한 니트라 어디에든 괜찮아요 당근색이라 튀는 색일주 알았는데 조금 어두운 주황색? 이라 괜춘
cvbn5**|세일하는데 오렌지색밖에 없어서 오랜지 색 샀는데 너무 튀는 색이네여 그래도 날풀리면 입을수 있을것같아요엄청 두꺼워요
cvbn5**|진짜 이뻐요 굿핑크색 샀는데 어두운 핑크라 데일리로 자주 입을것 같아요 손목부분도 넓고 길어서 흔한 니트랑은 다른 느낌이에요
akal03**|조으요 이뻐요조으요 이뻐요
cvbn5**|뒤에가 밴딩이라 사이즈는 잘맞고 언발이라 이뻐여짧지도 않고 굿 모직이라 겨울에 입을수 있을것같아요
cvbn5**|이뻐보여서 구매했는데 지하상가에서 똑같은 옷봤어요9900원 하더라고요 팔끝이 흐늘흐늘해서 아니겠지 했는데 배송오고 봣는데 똑같더라고요 팔부분은 마감도 잘안되있고 실밥풀려있어서 싼티나요
alzlalsl73**|평소에 롱치마 하나 갖고 싶었는데 이 제품보고 딱 이거다 싶어서 샀어요 치마 주름 디자인 길이 다 예쁜데 다른 리뷰처럼 벨트가 튼튼하지 않아요 그리고 배송이 너무 느립니다,,
alzlalsl73**|팔길이가 적당하고 소매 돌돌이가 너무 귀여워요 목라인도 너무 파여있지 않아서 부담스럽지 않아요! 근데 배송이 좀 늦어서 별하나 뺏어요~
dbrud38**|핑쿠색인 블라우스를 오랜만에 사보네요 아니 처음으로! 근데 받자마자 진짜 너무 예쁘네요 리본이 안커서 부담도 없구 감사해용 프릴스커트랑 입으면 존옐 것같아서 꼭꼭 입고 나가려구용. 착용샷그대로 사서 후회없어용 예쁘네용 생각보다 기대한만큼은 아니지만ㅠㅠ 그래도 예쁘게 입어볼게용 감사합니당
dbrud38**|와 보자마자 땀흘림 너무 존예라서 이런거 찾고있었는데 고고싱이 바로 올려줘서 이거보자마자 바로 홀린듯이 결제.. 진짜 예쁘네요 요즘에 이런거 꽂혀가지고 맨날 살까말까 하다가 진짜 착용감도 굿 진짜 존예;; 살까말까 하는사람들 꼭 사세요 존예 진짜 블라우스에 입으면 진짜 굿일둡ㅎㅎㅎ 감사합니당~~~!!
dbrud38**|와 졸귀 진짜 귀여워요 하얀색 샀는데 졸귀 아직 추워서 못 입지만 진짜 예쁘네용 약간 커서 불편함이 있지만예뻐용 친구들도 귀엽다고 했네용ㅎㅎ 날씨풀려서 봄에 제대로 입고 나가고 ㄱ싶네용 나들이갈땡ㅋㅋㅋ 감사합니다 잘입을게용 항상 배송은 고고싱!!♡
dbrud38**|진짜 와 진주 그뤠잇,, 진짜 존예탱구리 보자마자 감탄하고 바로 입고나간 가디건입니당 입고지연이 이해됩니다.. 존예.. 진짜 바지랑 매치해서 입었는데도 예브고 치마랑 입어도 진짜 너무 예쁘네요! 잘입을게용 꼭 그레이색사세여~~~!! 진짜 친구들도 예쁘다구 그러구 진짜 마음에 들어용
dbrud38**|와 존예 진짜 색깔 진짜 존예 왜 안사는거죠.. 품절될까봐 조마조마하면서 샀는데 받자마자 감탄했어요 진짜 예뻐요 이런 밝은색 잘 어울리는데 진짜 너무 예뻐요~~!! 예전에 옷핑크 샀는데 예뻤는데 또 재구매를 하게 되어서!! 잘입을게용~~!ㅋㅋㅋㅋ진짜 존예 꼭사용
n9806**|생각보다 이뻐서 좋고 봄에입기에 좋을거같아요~
you04**|아이보리,블랙둘다샀는데..일단아이보리가 너무이뻐요디자인도그렇고블랙도사고싶은데 3월입고라서어쩔수없이 취소했어요
klj06**|배송도 빠르고 너무 좋아요 치마만있었ㄷㅏ면 너무 짧을것같았는데 바지가붙어있어서 편하게 입을수있고 좋을것같아요!! 허리도 딱맞아서 편해요ㅎㅎㅎㅎㅎ
klj06**|포토리뷰1등이네용ㅎㅎㅎ 우선 핑크체크로샀는데 색상이 봄봄스럽고 이쁘네요 기장도 딱이예요 짧을줄알았는데 알맞아요 허리도 27입는데 크지드않고 작지도않아요 항상 고고싱사이즈가 조금 타이트했는데 이번엔 좋았어요!! 잘입을께용ㅎㅎㅎ
mini01**|우선 배송이 진짜 빨리 와서 감동받았어요 ,, 너무너무 감사합니다 ㅜㅜㅜ ♥️ 그리구 길이도 제가 원한만큼인 것에 한번 더 감동받구 코트에 입으면 여자여자한 느낌 짱이에요 ,, 겨울에 입기엔 약간 추울수도있는데 봄 가을은 거의 맨날 입고다닐 수 있을정도로 제 최애템이 되고야말았답니당 지금도 옷 하나 더 주문하려고 들어왔다가 후기 쓰고있어요 ㅎㅎㅎㅎ 정말 이런 예쁜 옷은 널리날리 알려야돼요 사랑해요 고고싱
698187161**|깔끔하고 너무 예뻐용 촉감도 매끄럽고 잔실이 안나와있어서 좋아요! C 모양이 더 고급스럽게 보여주게 하는 것 같아용!! 수납공간도 널널하네여
